data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Rivonia,Rivonia,Q614689,0,0,1,town in South Africa,,Q3957|Q188509,,Rivonia
Rivonia,Rivonia,Q16979736,0,0,1,song with lyrics by Hamish Henderson,,Q105543609,,Rivonia (song)
Rivonia,Rivonia Trial,Q1639868,0,0,1,South Africa trial which imprisoned Nelson Mandela,Rivonia trial,Q8016240,,Rivonia Trial
Rivonia,Rivonia Pillay,Q108954112,0,0,1,South African water engineer,,Q5,,
Rivonia,Rivonia Square,Q7338976,0,0,1,former name of a retail centre in South Africa,,,,Rivonia Square
Rivonia,Rivonia Primary School,Q97331753,0,0,1,"primary school in Gauteng, South Africa",,Q9842,,
Rivonia,Rivonia Library,Q139691337,0,0,1,"Public library in Rivonia, Johannesburg, South Africa",,Q28564,,
Rivonia,Rivonia: The Story of Accused No. 11,Q56170356,0,0,1,memoir published in scholarly journal,,Q13442814|Q1002697|Q112983,,
Rivonia,Rivonia,Q15948234,0,0,1,Wikimedia disambiguation page,,Q4167410,,Rivonia (disambiguation)
Rivonia,Johannesburg,Q34647,0,0,2,largest city in South Africa,"Jo'burg|eGoli|Jozi|Johannesburg, Gauteng|Johannesburg, South Africa|Johannesburg, Gauteng, South Africa|ZAJNB|joburg",Q515|Q1549591|Q51929311|Q11271835|Q208511|Q1066984,,Johannesburg
Rivonia,Johannesburg,Q25097099,0,0,2,album by Mumford & Sons,,Q482994,,Johannesburg (EP)
Rivonia,Johannesburg,Q743171,0,0,2,"census-designated place in Kern County, California","Johannesburg, California|Johannesburg, CA",Q498162|Q17343829,,"Johannesburg, California"
Rivonia,Johannesburg,Q6217141,0,0,2,racehorse,,Q726,,Johannesburg (horse)
Rivonia,City of Johannesburg Metropolitan Municipality,Q2346838,0,0,2,"metropolitan municipality in Gauteng, South Africa",City of Johannesburg|City of Johannesburg Metro|City of Johannesburg Municipality|Johannesburg Metropolitan Municipality|Johannesburg Metro|Johannesburg Unicity|Johannesburg Municipality,Q1530824,,City of Johannesburg Metropolitan Municipality
Rivonia,Soweto,Q217426,0,0,2,township of South Africa,"Johannesburg/Soweto|Soweto, South Africa|Soweto, Gauteng|Soweto, Johannesburg",Q519630|Q515,,Soweto
Rivonia,Johannesburg,Q24065597,0,0,2,crater on Mars,,Q1475691,,
Rivonia,Union Observatory,Q2564753,0,0,2,decommissioned astronomical observatory,Johannesburg Observatory|Republic Observatory|078 JB,Q1254933,,Union Observatory
Rivonia,Johannesburgia,Q18098555,0,0,2,genus of insects,,Q16521,,
Rivonia,OR Tambo International Airport,Q821750,0,0,2,"international airport serving Johannesburg, South Africa",O.R. Tambo International Airport|JNB|FAOR|Johannesburg International Airport|Johannesburg Airport|ORTIA,Q644371|Q94993988,,O. R. Tambo International Airport
Lebus,Lebus,Q37126816,1,0,1,family name,,Q101352,,
Lebus,Lebus,Q26362,1,0,1,"town in Brandenburg state, Germany",Lubusz|Lubusza|Lubus,Q3957|Q42744322|Q902814,,Lebus
Lebus,Lebus,Q14950161,1,0,1,genus of insects,,Q16521,,
Lebus,Lebus,Q32090747,1,0,1,,,Q2221906,,
Lebus,Lebuser Vorstadt,Q11753438,1,0,1,"city area of Frankfurt (Oder), Brandenburg, Germany",,Q28050899,,
Lebus,Lebusa,Q551519,1,0,1,municipality of Germany,,Q116457956,,Lebusa
Lebus,Lebuser Vorstadt,Q109560866,1,0,1,"tram stop in Frankfurt (Oder), Germany",,Q2175765,,
Lebus,Lebusch,Q106403911,1,0,1,family name,,Q101352,,
Lebus,Lëbushë,Q13042354,1,0,1,village in Kosovo,Ljubuša,Q532|Q486972|Q28822032,,
Lebus,Lebuser Straße,Q81071575,1,0,1,"street in Berlin-Friedrichshain, Germany",,Q79007,,
Farnborough,Farnborough,Q547071,2,0,1,"town in Hampshire, England",,Q3957|Q7897276,,"Farnborough, Hampshire"
Farnborough,Farnborough,Q5435975,2,0,1,"village and civil parish in Warwickshire, England, UK","Farnborough, Warwickshire",Q532|Q1115575,,"Farnborough, Warwickshire"
Farnborough,Farnborough,Q2299479,2,0,1,"village and civil parish in Berkshire, England, UK","Farnborough, Berkshire",Q532|Q1115575,,"Farnborough, Berkshire"
Farnborough,Farnborough,Q123229,2,0,1,"area of London, within London Borough of Bromley","Farnborough, Kent",Q532,,"Farnborough, London"
Farnborough,Farnborough International Airshow,Q1396967,2,0,1,"seven-day international airshow and trade fair for the aerospace business, which is held biennially at Farnborough Airport in Hampshire, England, UK",Farnborough International Airshow,Q1070669|Q57305|Q15275719,Q1070669,Farnborough International Airshow
Farnborough,Farnborough,Q24674466,2,0,1,Wikimedia duplicated page,,Q17362920,,
Farnborough,Farnborough F.C.,Q2978308,2,0,1,association football club in England,Farnborough Football Club,Q476028,,Farnborough F.C.
Farnborough,Farnborough Airport,Q1231271,2,0,1,airport in the United Kingdom,TAG London Farnborough Airport|Farnborough Aerodrome|FAB|EGLF,Q1248784|Q695850,,Farnborough Airport
Farnborough,Farnborough,Q30697047,2,0,1,"locality in Queensland, Australia","Farnborough, Queensland|Farnborough, Queensland, Australia",Q3257686,,"Farnborough, Queensland"
Farnborough,Farnborough Hall,Q5435978,2,0,1,"Grade I listed country house in Warwickshire, England, UK",,Q2087181|Q1343246|Q16884952,,Farnborough Hall
Farnborough,Ively Roundabout,Q126173295,2,0,2,roundabout in Farnborough,Farnborough Airport roundabout,Q1525,,
Farnborough,Farnborough College of Technology,Q5435976,2,0,2,further and higher education college in Hampshire,,Q4671277|Q21822439,,Farnborough College of Technology
