data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Département Composants Silicium,Département Composants Silicium,Q123208352,0,0,1,Department in CEA-Leti,DCOS|Silicon Components Department,Q334453,,
Département Composants Silicium,CEA-Leti,Q1023249,0,0,2,French research institute for electronics and information technologies,LETI|Laboratoire d'électronique des technologies de l'information|CEA Leti|CEA LETI|DRT/LETI,Q31855,,CEA-Leti: Laboratoire d'électronique des technologies de l'information
Département Composants Silicium,CEA-LETI (liaison blanc-blanc),Q134487000,0,0,2,,,Q15915771|Q22808404,,
Département Composants Silicium,department of France,Q6465,0,0,2,administrative subdivision in France,departement|departments of France|French department|department,Q20667921,Q583865|Q12357832|Q12357832|Q12357920|Q192611|Q643589|Q41773366,Departments of France
Département Composants Silicium,department,Q643589,0,0,2,term for an administrative territorial entity in some countries,departments|département,Q15617994,Q56061,Department (administrative division)
Département Composants Silicium,Charente,Q3266,0,0,2,French department,Department of Charente|Charente Department|département de la Charente|Département de la Charente,Q6465,,Charente
Département Composants Silicium,government agency,Q327333,0,0,2,"organisational part of a government responsible for specific public services, such as health, judiciary, education, transportation, foreign affairs, etc",government body|government entity|gov agency,Q10541491,Q2659904|Q10541491,Government agency
Département Composants Silicium,Diamaré,Q2583656,0,0,2,department of Cameroon,Diamare|Département du Diamaré,Q2306813,,Diamaré
Département Composants Silicium,departement,Q20572379,0,0,2,administrative divisions in France from 1792 to 1814,,,Q192498,
Département Composants Silicium,Department of Aller,Q1191346,0,0,2,former department in the Kingdom of Westphalia,Département de l'Aller,Q20572379,,
Département Composants Silicium,Bénoué,Q2442627,0,0,2,department of Cameroon,Benoue|Département de la Bénoué,Q2306813,,Bénoué
Département Composants Silicium,Mayo-Kani,Q2444363,0,0,2,department of Cameroon,Departement du Mayo-Kani,Q2306813,,Mayo-Kani
Département Composants Silicium,ministry,Q192350,0,0,2,type of top-level division of public administration,ministries|government ministry|government ministries|line ministry,Q10541491,Q327333,Ministry (government department)
Département Composants Silicium,Ceará,Q40123,0,0,2,state in the Northeast Region of Brazil,State of Ceará|CE|Ceara State,Q485258,,Ceará
Département Composants Silicium,Cea,Q14624557,0,0,2,genus of insects,,Q310890,,
Département Composants Silicium,Alternative Energies and Atomic Energy Commission,Q868550,0,0,2,French research organisation,CEA|Commissariat a l'energie atomique,Q43229,,French Alternative Energies and Atomic Energy Commission
Département Composants Silicium,Campbeltown,Q1012490,0,0,2,"town on Kintyre, Argyll and Bute, Scotland, UK",Ceann Loch Chille Chiarain|Ceann Locha|Cammeltoun|Kinlochkilkerran|Campbelltown,Q3957|Q7543008,,Campbeltown
Département Composants Silicium,end,Q12769393,0,0,2,termination of something,terminal point|arrival|terminus|final point|termination|endpoint|end point|destination|conclusion|stop|stopping|discontinuation|ceasing|ending|🔚,,Q20203388|Q1190554,
