data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Ibra,İbrahim Baylan,Q3055916,0,0,1,Swedish politician,Ibrahim Baylan,Q5,,Ibrahim Baylan
Ibra,Abraham,Q9181,0,0,1,foundational legendary figure among adherents of the eponymous Abrahamic religions,Abiraham|Ibrahim|Avraham Avinu|Avrohom|Abram|Avraham|Abraham the Patriarch,Q20643955,,Abraham
Ibra,Ibra,Q12486199,0,0,1,"village in Southeast Maluku Regency, Maluku, Indonesia",,Q26211545,,
Ibra,Ibra,Q1655950,0,0,1,"town in Ash Sharqiyah Region, Oman",,Q3250615,,Ibra
Ibra,İbrahim,Q343153,0,0,1,male given name,,Q12308941,,
Ibra,Frantz Fanon,Q193670,0,0,1,French West Indian psychiatrist and philosopher (1925–1961),Frantz Omar Fanon|Ibrahim Fanon|Ibrahim Omar Fanon,Q5,,Frantz Fanon
Ibra,Ibrahim,Q30091560,0,0,1,family name,,Q101352,,
Ibra,İbrahim Abdülkadir Mazini,Q4165852,0,0,1,Egyptian poet and writer (1889-1949),Ibrahim Abd al-Qadir al-Mazini,Q5,,Ibrahim al-Mazini
Ibra,Ibrahima,Q5984801,0,0,1,male given name,Ibrahima (first name)|Ibrahima (given name),Q12308941,,Ibrahima
Ibra,Ibrahim I,Q168776,0,0,1,18th Sultan of the Ottoman Empire (1640–1648),Ibrahim the Mad|Ibrahim I of the Ottoman Empire|Ibrahim bin Ahmed|Sultan Ibrahim,Q5,,Ibrahim (Ottoman sultan)
Ibra,Ibrahim,Q1768161,0,0,2,forefather of the Abrahamic religions from the Islamic perspective,Islamic views on Abraham,Q5|Q18563354,,Abraham in Islam
Ibra,Ibrahim,Q892211,0,0,2,male given name (إبراهيم),Ibrahim (given name)|Ibrahim (first name)|ʾIbrāhīm,Q12308941,,Ibrahim (name)
Ibra,Ibrahim,Q219906,0,0,2,14th chapter of the Qur'an,Surah 14|Sura 14,Q234262,,Ibrahim (surah)
Ibra,Ibrahimovic,Q37192116,0,0,2,family name,,Q101352,,
Ibra,Ibrahimović,Q56546774,0,0,2,family name,,Q101352,,Ibrahimović (surname)
Ibra,Zlatan Ibrahimović,Q46896,0,0,2,Swedish association football player (born 1981),Zlatan Ibrahimovic,Q5,,Zlatan Ibrahimović
Ibra,Becoming Zlatan,Q24211107,0,0,2,2015 film by Fredrik Gertten,,Q11424,,Becoming Zlatan
Ibra,Ibrahimović,Q1278851,0,0,2,Wikimedia disambiguation page,,Q4167410,,
Ibra,Ibrahimović umoran od fudbala,Q17785280,0,0,2,Wikinews article,,Q17633526,,
Ibra,Ibrahimoviç: Fishkëllimat e tifozëve të Interit më motivojnë edhe më shumë,Q25708059,0,0,2,,,Q17633526,,
Ibra,Ibrahimović čeka priznanje od Engleza,Q17785285,0,0,2,Wikinews article,,Q17633526,,
Ibra,"Ibrahimović i Pogba nominowani do ""jedenastki"" roku UEFA",Q97396765,0,0,2,Wikinews article,,Q17633526,,
Ibra,Ibrahimović kažnjen sa tri utakmice,Q17785275,0,0,2,Wikinews article,,Q17633526,,
Arnsbach,Arnsbach,Q697316,1,0,1,river in Germany,,Q4022,,Arnsbach (Usa)
Arnsbach,Arnsbach,Q187186,1,0,1,human settlement in Germany,,Q253019,,"Arnsbach, Borken"
Arnsbach,Arnsbach,Q32237672,1,0,1,"river in Thuringia, Germany",,Q4022,,
Arnsbach,Arnsbachtal,Q31884202,1,0,1,"valley in Thuringia, Germany",,Q39816,,
Arnsbach,Arnsbach (Probstzella),Q697310,1,0,1,human settlement in Germany,,Q253019,,
Arnsbach,Arnsbach,Q697301,1,0,1,Wikimedia disambiguation page,,Q4167410,,Arnsbach
Alvares,Alvares,Q448439,2,0,1,civil parish in Góis,Alvares (Góis),Q1131296,,Alvares (Góis)
Alvares,Alvares,Q36968399,2,0,1,family name,,Q101352|Q11455398,,
Alvares,Alvares,Q115250253,2,0,1,"innhabited place in Corvera de Asturias, Spain",,Q5756064|Q3055118,,
Alvares,Alvarès,Q104837822,2,0,1,family name,Alvarès (family name)|Alvarès (surname),Q101352,,
Alvares,Álvares,Q2605629,2,0,1,family name,,Q101352|Q11455398,,Álvares
Alvares,Alvares,Q448435,2,0,1,river in Spain,,Q4022,,Alvares (river)
Alvares,Alvares,Q4737900,2,0,1,ski resort in Iran,,Q130003,,Alvares (ski resort)
Alvares,Álvares de Azevedo,Q250754,2,0,1,"Brazilian poet, essayist, short story writer and playwright",Alvares de Azevedo|Job Stern|Manuel Antônio Alvares de Azevedo|Manuel Antônio Álvares de Azevedo,Q5,,Álvares de Azevedo
Alvares,Alvares,Q112231622,2,0,1,"human settlement in Llanera, Asturias, Spain",,Q13526752|Q3055118,,
Alvares,Alvares E. Burnap,Q111227437,2,0,1,"American politician – Minnesota -- ""A."" House 1876 (District 9); House 1878 (District 9)",Alvares Burnap,Q5,,
Alvares,Álvaro,Q3576980,2,0,2,male given name,Álvaro (given name)|Álvaro (first name),Q12308941,,Álvaro
Alvares,Alvaro,Q37527599,2,0,2,family name,,Q101352,,
Alvares,Alvaro,Q19869019,2,0,2,male given name,Alvaro (given name)|Alvaro (first name),Q12308941,,
Alvares,Álvaro,Q250789,2,0,2,civil parish in Oleiros,Alvaro,Q1131296,,
Alvares,Alvaro Lopez Solis,Q113029025,2,0,2,particle physicist,,Q5,,
Alvares,Àlvaro,Q63123890,2,0,2,family name,Àlvaro (family name)|Àlvaro (surname),Q101352,,
Alvares,Alvaro,Q108480825,2,0,2,catholic bishop,,Q5,,
Alvares,Álvaro Morata,Q48770,2,0,2,Spanish footballer,Álvaro Borja Morata Martín,Q5,,Álvaro Morata
Alvares,Álvaro Arbeloa,Q250901,2,0,2,Spanish football manager and player (born 1983),,Q5,,Álvaro Arbeloa
Alvares,Álvaro de Luna Blanco,Q251455,2,0,2,actor (1935-2018),Alvaro de Luna|Álvaro de Luna,Q5,,Álvaro de Luna (actor)
Alvares,Álvaro de Figueroa,Q46658,2,0,2,Spanish polo player,Alvaro de Figueroa|Álvaro de Figueroa y Alonso-Martínez|Alvaro de Figueroa y Alonso-Martinez,Q5,,Álvaro de Figueroa
Alvares,Álvaro de Albornoz,Q251413,2,0,2,Spanish politician (1879-1954),Alvaro de Albornoz|Álvaro de Albornoz y Liminiana,Q5,,Álvaro de Albornoz
Alvares,Doda Miranda,Q250793,2,0,2,Brazilian equestrian,Álvaro de Miranda Neto|Álvaro Affonso de Miranda Neto,Q5,,Álvaro de Miranda Neto
Alvares,Álvaro de Castro,Q251430,2,0,2,Prime Minister of Portugal (1878-1928),Alvaro de Castro|Álvaro Xavier de Castro,Q5,,Álvaro de Castro
Alvares,Álvaro de Marichalar y Sáenz de Tejada,Q6172979,2,0,2,Spanish Explorer; Sportsman; Entrepreneur and Lecturer,Alvaro de Marichalar y Saenz de Tejada,Q5,,
Alvares,Álvaro de Sousa Monteiro,Q108595918,2,0,2,Portuguese terrorist,,Q5,,
Alvares,Álvaro de Bazán,Q428341,2,0,2,2000 Álvaro de Bazán-class frigate,Spanish frigate Alvaro de Bazan,Q161705,,Spanish frigate Álvaro de Bazán
Alvares,Álvaro de la Iglesia Santos,Q6172985,2,0,2,Cuban journalist,Alvaro de la Iglesia Santos,Q5,,
Alvares,Álvaro de Assis Osório Mendes,Q10395886,2,0,2,Brazilian politician,,Q5,,
Alvares,"Alvaro de Sotomayor, Conde de Caminha",Q110588448,2,0,2,,,Q5,,
