data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Germany,Germany,Q183,0,0,1,country in Central Europe,Federal Republic of Germany|DE|DEU|FRG|BRD,Q3624078|Q619610|Q4209223|Q63791824|Q6256,,Germany
Germany,German Reich,Q1206012,0,0,1,"official name for the German nation state from 1871 to 1945, and name of Germany until 1949",German Realm|German Empire|Imperial Germany|Germany,Q179671|Q960541|Q19953632|Q11514315|Q3024240,,German Reich
Germany,Weimar Republic,Q41304,0,0,1,Germany in the years 1918/1919–1933,German Reich|Weimar Germany|Germany|German Republic|Republic of Germany|German People's State,Q11514315|Q3024240|Q859563,,Weimar Republic
Germany,Germany,Q37444958,0,0,1,family name,,Q101352,,
Germany,Germany,Q138527606,0,0,1,1875 chapter,,Q1980247,,
Germany,Germany,Q139776664,0,0,1,,,Q1980247,,
Germany,Germany,Q133933103,0,0,1,male given name,,Q12308941,,
Germany,Germany men's national association football team,Q43310,0,0,1,German men's national association football team,German National Football Team|West Germany national football team|Germany national football team|Die Deutsche Fußball-Nationalmannschaft Der Männer|Die Fußball-Nationalmannschaft|Germany national association football team|Germany men's national football team,Q135408445,Q1194951,Germany national football team
Germany,Nordhausen,Q7033,0,0,1,town and administritative center of Nordhausen District in Thuringia in central Germany,"Germany Nordhausen (Thuringia)|Nordhausen (Thuringia, Germany)",Q1547289|Q57318|Q134626|Q1401585|Q1548518|Q707813|Q1187811|Q42744322,,"Nordhausen, Thuringia"
Germany,Germany national under-21 football team,Q314851,0,0,1,national under-21 association football team representing Germany,,Q6979593|Q21945604,Q1203196,Germany national under-21 football team
Germany,German Empire,Q43287,0,0,2,German nation-state in Central Europe from 1871 to 1918,German Reich|Imperial Germany|Second Reich|German Empire (1871-1918),Q11514315|Q3024240|Q3624078|Q48349,,German Empire
Germany,Deutsche Reichspartei,Q495497,0,0,2,far-right political party in West Germany,German Empire Party|German Imperial Party,Q7278,,Deutsche Reichspartei
Germany,Reichstag,Q160208,0,0,2,parliament of Germany from 1871 to 1918,German Empire Reichstag,Q35749,Q20007287,Reichstag (German Empire)
Germany,German Empire of 1848/1849,Q18285930,0,0,2,German national state (in establishment) 1848/1849,,Q3024240|Q3624078,,German Empire (1848–1849)
Germany,German Empire field army,Q105754856,0,0,2,field army sized unit of German Empire,field army (German Empire),Q21506450,Q51977,
Germany,coat of arms of the German Empire,Q4136271,0,0,2,coat of arms of the German Empire in 1871–1918,the German Empire coat of arms|German Empire coat of arms|Coats of arms of the German Empire,Q645466|Q14659|Q2139378,,
Germany,German postal history 1919-1945,Q1203692,0,0,2,German Post during the Weimar Republic and National Socialism (the ‘Third Reich’),German Empire stamps,Q17524420,,
Germany,women in the German Empire,Q107343234,0,0,2,social status of women and girls in the German Empire,girls in the German Empire|women and girls in the German Empire|German Empire women|German Empire girls|German Empire women and girls,Q18340514,,
Germany,German Empire–United States relations,Q115804563,0,0,2,bilateral relations,,Q15221623,,German Empire–United States relations
Germany,German Democratic Republic,Q16957,0,0,2,"1949–1990 country in central Europe, unified into modern Germany",GDR|DDR|Deutsche Demokratische Republik|Communist Germany|East Germany,Q3024240|Q325261|Q7275|Q17007978,,East Germany
Germany,East Germany,Q108527339,0,0,2,the country of East Germany as depicted in the Star Trek multiverse,German Democratic Republic|GDR|DDR|Star Trek GDR|Star Trek East Germany,Q57663042|Q99281788,,
Germany,East German Navy,Q508647,0,0,2,1956-1990 naval warfare branch of East Germany's military,Volksmarine|People's Navy of East Germany|German Democratic Republic Navy|GDR navy,Q4508,,Volksmarine
Germany,East German Land Forces,Q557432,0,0,2,land warfare branch of East Germany's military forces,Land Forces of the National People's Army|National People's Army Land Forces|East German Army|army of East Germany|ar East Germany|German Democratic Republic Army|army of the German Democratic Republic|LaSK,Q37726|Q781132,,Land Forces of the National People's Army
