data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Neujmin,Neujmin,Q7001851,0,0,1,lunar crater,,Q1348589,,Neujmin (crater)
Neujmin,Neujmin,Q106874459,0,0,1,NASA Lunar topographic orthophotomap,LTO 101C1,Q4006,,
Neujmin,1129 Neujmina,Q136240,0,0,1,asteroid,Neujmina,Q3863,,1129 Neujmina
Neujmin,28P/Neujmin,Q2462508,0,0,1,comet,28P/Neujmin 1|Neujmin 1|Comet Neujmin 1|28P,Q11416914|Q1713740,,28P/Neujmin
Neujmin,25D/Neujmin,Q959363,0,0,1,comet,Comet Neujmin 2|25D/Neujmin 2|Neujmin 2|25D,Q11416914|Q1713740,,25D/Neujmin
Neujmin,Grigory Neujmin,Q445187,0,0,1,Russian astronomer (1885–1946),Grigory Neuymin|Grigory Nikolayevich Neujmin,Q5,,Grigory Neujmin
Neujmin,Neujmin Regio,Q21851350,0,0,1,regio on Gaspra,,Q3423535,,
Neujmin,NEUJMIN'S COMET,Q80879254,0,0,1,scientific article published on 01 August 1929,,Q13442814,,
Neujmin,Neujmin,Q112032636,0,0,1,Wikimedia disambiguation page,,Q4167410,,
La Hire,Laurent de La Hyre,Q59894,1,0,1,French painter and engraver (1606-1656),Laurent de la Hirr|G. la Hire|Laurent De La Hyre|Laurent de la Hire|Laurent de la Hyre|Laurent De La Hire|Laurent de Hiere|Laurent de Lahire|Laurent de La Hire|De'la'Hire|Laurens de la Hire|L. de la Hyre|L. La Hire|De Le Hire|Laurence de La Hire|scolaro di Desargues Lorenzo de la Hire|Le Hyre|L'Hair|Laurent de Lakire|Laurent Lahire|Lahyre|La Hire|L. de le Hire|Lau. de la Hyre|Lawrence de la Hire|l. de la hire|Laurentius de la Hyre|Laurent De Lahire|laurent de la hire|D. La Hire|L. De La Hire|Laur. De la Hyre|L. Lahirre|Laurent de Lahyre|Lahire|La Hyre|L. de Lahire|Laurent delaHire|Lahir|De Lahire|De l'Hair|De la Hyre|Laurent de l'Haire|Dela Hire|Le Hyer|Laur. de la Hire|De la Hirr|Delahire|L. Delahire|De la Hire,Q5,,Laurent de La Hyre
La Hire,La Hire,Q290247,1,0,1,15th-century French military commander,Etienne de Vignolles|La Here|Étienne de Vignolles,Q5,,La Hire
La Hire,La Hire,Q106874430,1,0,1,NASA Lunar topographic orthophotomap,LTO 40A4,Q4006,,
La Hire,La Hire,Q131705426,1,0,1,,,Q1229765,,
La Hire,Philippe de La Hire,Q371890,1,0,1,French mathematician and astronomer (1640-1718),Philippe de La Hyre|Philippe De La Hyre|Lahire le fils|Lahyre le fils|fils Lahir,Q5,,Philippe de La Hire
La Hire,La Hire at Paris Observatory: A Contribution to Modern Astronomy,Q140927995,1,0,1,"scholarly article published in Archives Internationales d'Histoire des Sciences, vol. 69, no. 182-183 (2019) (DOI: 10.1484/J.ARIHS.5.122111)",,Q13442814,,
La Hire,La Hire,Q342670,1,0,1,Wikimedia disambiguation page,,Q4167410,,La Hire (disambiguation)
Fracastorius,Fracastorius,Q64815329,2,0,1,genus of Hemiptera,,Q16521,,Fracastorius
Fracastorius,Fracastorius,Q1440331,2,0,1,lunar crater,,Q55818,,Fracastorius (crater)
Fracastorius,Fracastorius,Q106806545,2,0,1,Lunar astronautical chart,LAC 97,Q4006|Q25106976,,
Fracastorius,Fracastorius cornutus,Q118734481,2,0,1,species of insect,,Q16521,,
Fracastorius,Girolamo Fracastoro,Q318593,2,0,1,Italian physician,,Q5,,Girolamo Fracastoro
Fracastorius,"FRACASTORIUS, ATHANASIUS KIRCHER AND THE GERM THEORY OF DISEASE",Q81086194,2,0,1,scientific article published on 01 April 1910,,Q13442814,,
Fracastorius,Fracastorius and the origin of syphilis. II,Q75805614,2,0,1,scientific article published on 01 August 1951,,Q13442814,,
Fracastorius,Fracastorius and the origin of syphilis,Q75805598,2,0,1,scientific article published on 01 August 1951,,Q13442814,,
Fracastorius,"FRACASTORIUS, THE POET OF SYPHILIS",Q76545960,2,0,1,scientific article published on 01 November 1963,,Q13442814,,
