data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Bay of Qoboto,,,0,0,0,,,,,
meisho-e,meisho-e,Q3304751,0,1,1,painting of famous views of Japan,,Q1792379,Q1683295,
meisho-e,One Hundred Famous Views of Edo,Q165190,0,1,1,series of 119 woodblock prints by Hiroshige,Meisho Edo Hyakkei|One Hundred Views of Edo,Q19960510,,One Hundred Famous Views of Edo
meisho-e,Thirty-six Views of Mount Fuji,Q227494,0,1,2,woodblock printing series by Katsushika Hokusai,Fugaku Sanjūrokkei|36 Views of Mount Fuji|Thirty-six Views of Mt. Fuji|36 cảnh núi Phú Sĩ,Q19960510|Q1396354,,Thirty-six Views of Mount Fuji
meisho-e,Thirty-six Views of Mount Fuji,Q2525862,0,1,2,series of woodblock printing by Hiroshige,Fuji Sanjū-Rokkei|36 Views of Mount Fuji,Q19960510,,Thirty-six Views of Mount Fuji (Hiroshige)
meisho-e,The Great Wave off Kanagawa,Q252485,0,1,2,woodblock print by Hokusai,"Kanagawa-oki nami-ura|Kanagawa oki nami ura|La gran ola, de la serie 20293 seis vistas del monte Fuji|Under the Wave off Kanagawa|Thirty-Six Views of Mount Fuji- The Great Wave Off the Coast of Kanagawa|The Great Wave, from the series Thirty-six Views of Mount Fuji|The Great Wave|Great Wave off the Coast of Kanagawa|Thirty-Six Views of Mt. Fuji – No. 1: The Great Wave off Kanagawa|The Great Wave of Kanagawa|Great Wave off Kanagawa|Great Wave",Q28913685,,The Great Wave off Kanagawa
meisho-e,Thirty-six Views of Mount Fuji,Q1195182,0,1,2,Wikimedia disambiguation page,,Q4167410,,Thirty-six Views of Mount Fuji (disambiguation)
Thirty-six Views of Mount Fuji,Thirty-six Views of Mount Fuji,Q227494,0,2,1,woodblock printing series by Katsushika Hokusai,Fugaku Sanjūrokkei|36 Views of Mount Fuji|Thirty-six Views of Mt. Fuji|36 cảnh núi Phú Sĩ,Q19960510|Q1396354,,Thirty-six Views of Mount Fuji
Thirty-six Views of Mount Fuji,Thirty-six Views of Mount Fuji,Q2525862,0,2,1,series of woodblock printing by Hiroshige,Fuji Sanjū-Rokkei|36 Views of Mount Fuji,Q19960510,,Thirty-six Views of Mount Fuji (Hiroshige)
Thirty-six Views of Mount Fuji,The Great Wave off Kanagawa,Q252485,0,2,1,woodblock print by Hokusai,"Kanagawa-oki nami-ura|Kanagawa oki nami ura|La gran ola, de la serie 20293 seis vistas del monte Fuji|Under the Wave off Kanagawa|Thirty-Six Views of Mount Fuji- The Great Wave Off the Coast of Kanagawa|The Great Wave, from the series Thirty-six Views of Mount Fuji|The Great Wave|Great Wave off the Coast of Kanagawa|Thirty-Six Views of Mt. Fuji – No. 1: The Great Wave off Kanagawa|The Great Wave of Kanagawa|Great Wave off Kanagawa|Great Wave",Q28913685,,The Great Wave off Kanagawa
Thirty-six Views of Mount Fuji,Thirty-six Views of Mount Fuji,Q1195182,0,2,1,Wikimedia disambiguation page,,Q4167410,,Thirty-six Views of Mount Fuji (disambiguation)
Thirty-six Views of Mount Fuji,Mount Fuji,Q39231,0,2,2,"volcano in Yamanashi and Shizuoka Prefectures, Japan",Mt Fuji|Fuji Mountain|Fuji-san|Mt. Fuji|Fujisan|Fuji-yama|Fujiyama|🗻,Q1330974|Q3393392|Q11571545|Q169358|Q11588709|Q8502,,Mount Fuji
Thirty-six Views of Mount Fuji,Fujisan,Q17212214,0,2,2,,Fuji-san|Mount Fuji,Q798625|Q648899|Q11381412,,
Thirty-six Views of Mount Fuji,Mount Fuji,Q49392407,0,2,2,painting by Minol Araki,,Q3305213,,
Thirty-six Views of Mount Fuji,Mount Fuji,Q112200960,0,2,2,painting by Painter: Maruyama Ōzui; Calligrapher: Ōta Nanpo,,Q3305213,,
Thirty-six Views of Mount Fuji,Mount Fuji,Q106767913,0,2,2,painting by Ike Taiga 池大雅,,Q3305213,,
Thirty-six Views of Mount Fuji,🗻,Q87581497,0,2,2,Unicode character,U+1F5FB|MOUNT FUJI|Mount Fuji emoji|mountain emoji,Q29654788|Q1049294,,
Thirty-six Views of Mount Fuji,Mount Fuji,Q79412063,0,2,2,painting by Kano Tan'yu,,Q3305213,,
Thirty-six Views of Mount Fuji,Mount Fuji,Q78754492,0,2,2,painting by Kawanabe Kyōsai,,Q3305213,,
Thirty-six Views of Mount Fuji,Mount Fuji,Q102968773,0,2,2,print by Hiroaki Takahashi,,Q11060274,,
Thirty-six Views of Mount Fuji,Mount Fuji,Q50813837,0,2,2,"item EA1973.115 in the Ashmolean Museum, Oxford, UK",,Q50488927,,
Thirty-six Views of Mount Fuji,ukiyo-e,Q185905,0,2,2,"Japanese art genre, fl. 17th–19th c., consisting of woodblock prints and paintings of such subjects as female beauties, kabuki actors, sumo wrestlers, scenes from history and folk tales, travel scenes, landscapes, flora, fauna, and erotica",ukiyoe|uikyo-ye|ukiyoye,Q1792379|Q968159,Q603399,Ukiyo-e
Thirty-six Views of Mount Fuji,ukiyo-e artist,Q33082999,0,2,2,Person who drew Ukiyo-e,Eshi painter|ukiyoeshi,Q28640,Q1028181|Q11606851,
Thirty-six Views of Mount Fuji,UKIYO-E,Q115919677,0,2,2,"video artwork by Mia Makela, 2002",,Q838948,,
Thirty-six Views of Mount Fuji,Ōta Memorial Museum of Art,Q3815442,0,2,2,"art museum in Shibuya, Tokyo, Japan",Ukiyo-e Ōta Memorial Museum of Art,Q207694,,Ukiyo-e Ōta Memorial Museum of Art
Thirty-six Views of Mount Fuji,ukiyo-e print technique,Q3516842,0,2,2,,,,Q271588|Q11177771,
Thirty-six Views of Mount Fuji,Ukiyo E Ruiko,Q106577465,0,2,2,artist's book by Kitao Masanobu,,Q1062404,,
Thirty-six Views of Mount Fuji,Ukiyo-e#6,Q50324083,0,2,2,painting by Kim Anno,,Q3305213,,
Thirty-six Views of Mount Fuji,Ukiyo E Ruiko,Q106577466,0,2,2,artist's book by Shukuei Itakura,,Q1062404,,
Thirty-six Views of Mount Fuji,Ukiyo-e Fuzoku (Styles of Dress in the Floating World) Yamato Nishiki (Japanese Brocades) Tan'e Jidai (The Tan'e Period) (reproductions),Q105095928,0,2,2,print by Goyo Hashimoto and Kiyokata Kaburagi,,Q11060274,,
Thirty-six Views of Mount Fuji,Ukiyo E Ruiko,Q102975692,0,2,2,artist's book by Artist Unknown,,Q1062404,,
Mitate (Parody) of the Immortal Kume#(TNM),Mitate,Q11489265,1,0,2,"dissolved municipality in Tamura district, Fukushima prefecture, Japan",,Q18663566,,
Mitate (Parody) of the Immortal Kume#(TNM),mitate,Q3317047,1,0,2,Form of metaphor in traditional Japanese culture,,Q182545,Q18534|Q170539,
Mitate (Parody) of the Immortal Kume#(TNM),Mitate,Q30824397,1,0,2,hill in Mozambique,,Q54050,,
Mitate (Parody) of the Immortal Kume#(TNM),mitate-e,Q11630233,1,0,2,Japanese woodblock prints,,Q1792379,Q185905|Q3317047,Mitate-e
Mitate (Parody) of the Immortal Kume#(TNM),Mitate,Q111705293,1,0,2,Japanese family name (見立),見立,Q19914123|Q101352,,
Mitate (Parody) of the Immortal Kume#(TNM),Mitate Kawabe,Q17990267,1,0,2,Japanese painter,,Q5,,
Mitate (Parody) of the Immortal Kume#(TNM),Allusions to the Seven Planets,Q61948834,1,0,2,Series of ukiypo-e prints by Tsukioka Yoshitoshi,Mitate Shichiyōsei,Q19960510,,
Mitate (Parody) of the Immortal Kume#(TNM),Parody of the Chushingura in Lanterns,Q69733232,1,0,2,series of ukiyo-e by Utagawa Kuniyoshi,Mitate chōchin gura,Q19960510,,
Mitate (Parody) of the Immortal Kume#(TNM),Mitate Hospital,Q30280715,1,0,2,"healthcare organization in Tagawa, Japan",,Q4287745|Q16917,,
Mitate (Parody) of the Immortal Kume#(TNM),Matches for Thirty-six Selected Poems,Q101243325,1,0,2,series of ukiyo-e by Utagawa Kunisada,Mitate 36 kusen|Mitate sanjūrokkusen,Q19960510,,
Mitate (Parody) of the Immortal Kume#(TNM),parody,Q170539,1,0,2,"genre of imitative work created to mock, comment on or trivialise an original work",spoof|send-up|lampoon,Q483394,Q35874,Parody
Mitate (Parody) of the Immortal Kume#(TNM),parody,Q16669008,1,0,2,literary genre,literary parody,Q223393,Q170539|Q5977103,
Mitate (Parody) of the Immortal Kume#(TNM),parody film,Q622548,1,0,2,film genre,parody movie|spoof movie|spoof film,Q201658,Q170539|Q157443,Parody film
Mitate (Parody) of the Immortal Kume#(TNM),Parody,Q136317659,1,0,2,Russian decoy drone,,,,
Mitate (Parody) of the Immortal Kume#(TNM),Parody,Q37509492,1,0,2,family name,,Q101352,,
Mitate (Parody) of the Immortal Kume#(TNM),Parodynerus,Q7139385,1,0,2,genus of hymenopterans,,Q16521,,Parodynerus
Mitate (Parody) of the Immortal Kume#(TNM),parody,Q47404700,1,0,2,artistic technique,,Q11177771,Q6004134,
Mitate (Parody) of the Immortal Kume#(TNM),parody music,Q2746731,1,0,2,composition generally of humorous or satirical intent in which turns of phrase or other features characteristic of another composer or type of composition are employed and made to appear ridiculous,musical parody,Q188451,Q5151495|Q170539,Parody music
Mitate (Parody) of the Immortal Kume#(TNM),Parody of the Mass,Q19385110,1,0,2,1998 studio album by Morgul,,Q482994,,
Mitate (Parody) of the Immortal Kume#(TNM),parody religion,Q904201,1,0,2,"belief system that challenges spiritual convictions of others, often through humor, satire, or ridicule",mock religion,,Q170539|Q9174,Parody religion
abuna-e,abuna-e,Q59912869,1,1,1,Japanese art genre,,Q1792379,Q284521|Q185905,
Chang'e flies to the mon,Chang'e,Q466462,2,0,2,Chinese mythical figure,Chang-o|Heng'e|Heng-O|Change|Chang E,Q1569856|Q10884237|Q3658341|Q15632617|Q15773317,,Chang'e
Chang'e flies to the mon,4047 Chang'E,Q152586,2,0,2,asteroid,Chang'E,Q3863,,4047 Chang'E
Chang'e flies to the mon,Chinese Lunar Exploration Program,Q860037,2,0,2,Chinese lunar space program,China Lunar Exploration Project|Chang'e program|Change program,Q60054001,,Chinese Lunar Exploration Program
Chang'e flies to the mon,Chang'e 3,Q1061879,2,0,2,lunar exploration mission operated by the China National Space Administration,,Q6703812,,Chang'e 3
Chang'e flies to the mon,Yutu,Q15273284,2,0,2,Chinese lunar rover,Yutu-1|Change3Rover|Chang'e 3 Rover,Q1007767,,Yutu (rover)
Chang'e flies to the mon,Chang'e 4,Q723045,2,0,2,Chinese lunar lander,Change 4|Chang'e4|Change4,Q6703812,,Chang'e 4
Chang'e flies to the mon,Chang'e 1,Q49044,2,0,2,Chinese lunar orbiter,,Q111914880,,Chang'e 1
Chang'e flies to the mon,Chang'e 5,Q10944018,2,0,2,Chinese lunar lander,,Q6703812|Q1093833|Q26540,,Chang'e 5
Chang'e flies to the mon,Chang-Er Chen,Q56966259,2,0,2,researcher,,Q5,,
Chang'e flies to the mon,Chang'e 2,Q831345,2,0,2,Chinese Moon orbiter,,Q111914880|Q26540,,Chang'e 2
Chang'e flies to the mon,One Hundred Aspects of the Moon,Q3541645,2,0,2,collection of ukiyo-e,,Q19960510,,One Hundred Aspects of the Moon
nishiki-e,nishiki-e,Q1683337,2,1,1,Japanese multi-colored woodblock printing,Edo-e,Q968159|Q1792379|Q1396354,Q185905,Nishiki-e
nishiki-e,nishiki-e shinbun,Q11650541,2,1,1,,nishiki-e shimbun|nishiki-e newspaper|shinbun nishiki-e|shimbun nishiki-e,Q1792379|Q106632462,Q6158891|Q1683337,
nishiki-e,Rosa 'Nishiki-E',Q83664635,2,1,1,rose cultivar,Nishiki-E,Q26817508,,
nishiki-e,One Hundred Aspects of the Moon,Q3541645,2,1,2,collection of ukiyo-e,,Q19960510,,One Hundred Aspects of the Moon
One Hundred Aspects of the Moon,One Hundred Aspects of the Moon,Q3541645,2,2,1,collection of ukiyo-e,,Q19960510,,One Hundred Aspects of the Moon
Imaashi tsukiji no fūkei,One Hundred Views of Naniwa,Q60737402,3,0,2,a series of Nishiki-e of Naniwa (the old name of Osaka),Naniwa Hyakkei,Q19960510,,
Imaashi tsukiji no fūkei,nishiki-e,Q1683337,3,0,2,Japanese multi-colored woodblock printing,Edo-e,Q968159|Q1792379|Q1396354,Q185905,Nishiki-e
Imaashi tsukiji no fūkei,nishiki-e shinbun,Q11650541,3,0,2,,nishiki-e shimbun|nishiki-e newspaper|shinbun nishiki-e|shimbun nishiki-e,Q1792379|Q106632462,Q6158891|Q1683337,
Imaashi tsukiji no fūkei,Rosa 'Nishiki-E',Q83664635,3,0,2,rose cultivar,Nishiki-E,Q26817508,,
nishiki-e,nishiki-e,Q1683337,3,1,1,Japanese multi-colored woodblock printing,Edo-e,Q968159|Q1792379|Q1396354,Q185905,Nishiki-e
nishiki-e,nishiki-e shinbun,Q11650541,3,1,1,,nishiki-e shimbun|nishiki-e newspaper|shinbun nishiki-e|shimbun nishiki-e,Q1792379|Q106632462,Q6158891|Q1683337,
nishiki-e,Rosa 'Nishiki-E',Q83664635,3,1,1,rose cultivar,Nishiki-E,Q26817508,,
nishiki-e,One Hundred Views of Naniwa,Q60737402,3,1,2,a series of Nishiki-e of Naniwa (the old name of Osaka),Naniwa Hyakkei,Q19960510,,
One Hundred Views of Naniwa,One Hundred Views of Naniwa,Q60737402,3,2,1,a series of Nishiki-e of Naniwa (the old name of Osaka),Naniwa Hyakkei,Q19960510,,
One Hundred Views of Naniwa,ukiyo-e,Q185905,3,2,2,"Japanese art genre, fl. 17th–19th c., consisting of woodblock prints and paintings of such subjects as female beauties, kabuki actors, sumo wrestlers, scenes from history and folk tales, travel scenes, landscapes, flora, fauna, and erotica",ukiyoe|uikyo-ye|ukiyoye,Q1792379|Q968159,Q603399,Ukiyo-e
One Hundred Views of Naniwa,ukiyo-e artist,Q33082999,3,2,2,Person who drew Ukiyo-e,Eshi painter|ukiyoeshi,Q28640,Q1028181|Q11606851,
One Hundred Views of Naniwa,UKIYO-E,Q115919677,3,2,2,"video artwork by Mia Makela, 2002",,Q838948,,
