data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Archival fonds: Central Union of Employees,Archival fonds: Central Union of Employees,Q66778622,0,0,1,archival fonds of German Federal Archives,,Q3052382,,
Archival fonds: Central Union of Employees,Central Union of Employees,Q97357040,0,0,2,former trade union in Germany,,Q178790,,Central Union of Employees
Archival fonds: Central Union of Employees,Central Union of Workers,Q2944732,0,0,2,trade union in Colombia,,Q2300373,,Central Union of Workers
Archival fonds: Central Union of Employees,Central Union of Workers in the Sweep and Brush Industry in Germany,Q106810836,0,0,2,former German Empire trade union (1891–1893),,Q178790,,
Archival fonds: Central Union of Employees,Central Union of Workers and Peasants of Iran,Q5061945,0,0,2,,,Q178790,,Central Union of Workers and Peasants of Iran
Archival fonds: Socialist Worker Youth,Archival fonds: Socialist Worker Youth,Q66778617,1,0,1,archival fonds of German Federal Archives,,Q3052382,,
Archival fonds: Socialist Worker Youth,Socialist Worker Youth,Q1399061,1,0,2,Socialist youth organisation in Germany and Austria (1919–1934),,Q2493450,,
Archival fonds: Socialist Worker Youth,Swynnerton,Q2323835,1,0,2,"village and civil parish in Staffordshire, England","Swynnerton, Staffordshire",Q532|Q1115575,,Swynnerton
Archival fonds: Socialist Worker Youth,Swyncombe,Q2675345,1,0,2,"village and civil parish in South Oxfordshire district, Oxfordshire, England","Swyncombe, Oxfordshire|Swyncombe, Oxon",Q5084|Q1115575,,Swyncombe
Archival fonds: Socialist Worker Youth,Swyre,Q2915171,1,0,2,"village and civil parish in Dorset, United Kingdom","Swyre, Dorset",Q532|Q1115575,,Swyre
Archival fonds: Socialist Worker Youth,Swynnerton,Q7659388,1,0,2,family name,,Q101352,,Swynnerton (surname)
Archival fonds: Socialist Worker Youth,Stert and Westbury Line,Q113245262,1,0,2,railway line in United Kingdom,SWY,Q728937|Q113990375,,
Archival fonds: Socialist Worker Youth,Swynfen Carnegie,Q7659383,1,0,2,British Royal Navy admiral (1813-1879),Swynfen Thomas Carnegie|Adm. Hon. Swynfen Thomas Carnegie|The Honourable Swynfen Thomas Carnegie,Q5,,Swynfen Carnegie
Archival fonds: Socialist Worker Youth,Sway railway station,Q2441290,1,0,2,"railway station in Sway, New Forest, Hampshire, England, UK",Sway Station|SWY,Q55488,,Sway railway station
Archival fonds: Socialist Worker Youth,Sunways,Q14628821,1,0,2,1995–1997 Swedish airline,Sunways Airlines AB|Sunways Airlines A.B.|IS|SWY,Q46970,,Sunways
