data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Ferdinand VI of Spain,Ferdinand VI of Spain,Q193157,0,0,1,"king of Spain, lived (1713-1759)",Ferdinand VI|Fernando de Borbón|Ferdinand the Learned|Ferdinand the Just,Q5,,Ferdinand VI
Ferdinand VI of Spain,Ferdinand VI of Spain,Q56399575,0,0,1,fictional character in the 2011 film Pirates of the Caribbean: On Stranger Tides,King Ferdinand,Q15632617|Q15773347,,
Ferdinand VI of Spain,Ferdinand VII of Spain,Q186256,0,0,2,King of Spain (1784–1833) (r. 1808; 1813–1833),Ferdinand the Desired|The Felon King,Q5,,Ferdinand VII
Ferdinand VI of Spain,Eugène Delacroix,Q33477,0,0,2,French painter (1798–1863),Ferdinand Victor Eugène Delacroix|Ferdinand-Victor-Eugène Delacroix|Ferdinand-Victor-Eugene Delacroix|Eugene Delacroix|Ferdinand-Eugène-Victor Delacroix|Ferdinand Victor Eugene Delacroix|Ferdinand-Eugene-Victor Delacroix|Delacroix,Q5,,Eugène Delacroix
Ferdinand VI of Spain,Ferdinand Vilhelm Jensen,Q12311221,0,0,2,Danish architect (1837-1890),,Q5,,Ferdinand Vilhelm Jensen
Ferdinand VI of Spain,Ferdinand Victor Alphons Prosch,Q796630,0,0,2,Danish physician and veterinarian (1820-1885),Victor Prosch,Q5,,Ferdinand Victor Alphons Prosch
Ferdinand VI of Spain,Ferdinand Vidimský,Q115737009,0,0,2,,,Q5,,
Ferdinand VI of Spain,Ferdinand Roybet,Q3068651,0,0,2,French painter (1840-1920),F. Roybert|F. Roybet|Ferdinand Victor Loén Roybet|Ferdinand Victor Leon Roybet|Ferdinand Léon Victor Roybet|Ferdinand Victor Léon Roybet|Ferdinand Leon Victor Roybet|Ferdinand Victor Loen Roybet|Ferdinand V. L. Roybet|ferdinand victor leon roybet|ferdinand viktor leon roybet|ferdinand roybet|f. roybet|roybet f.|Roybet|de roybet,Q5,,Ferdinand Roybet
Ferdinand VI of Spain,Ferdinand VI,Q125499039,0,0,2,painting by Jacopo Amigoni,,Q3305213,,
Ferdinand VI of Spain,Ferdinand Lot,Q719696,0,0,2,French historian and medievalist (1866–1952),Ferdinand Victor Henri Lot,Q5,,Ferdinand Lot
Ferdinand VI of Spain,Ferdinand Victor Blundstone,Q5443918,0,0,2,British sculptor,Ferdinand Blundstone|Ferdinand V. Blundstone,Q5,,Ferdinand Blundstone
Ferdinand VI of Spain,"Ferdinand VI, King of Spain",Q122924358,0,0,2,painting by Louis-Michel van Loo,King Ferdinand VI of Spain (1713-1759),Q3305213,,
Ferdinand VI of Spain,Ferdinand VI of Spain,Q193157,0,2,1,"king of Spain, lived (1713-1759)",Ferdinand VI|Fernando de Borbón|Ferdinand the Learned|Ferdinand the Just,Q5,,Ferdinand VI
Ferdinand VI of Spain,Ferdinand VI of Spain,Q56399575,0,2,1,fictional character in the 2011 film Pirates of the Caribbean: On Stranger Tides,King Ferdinand,Q15632617|Q15773347,,
Ferdinand VI of Spain,Ferdinand VII of Spain,Q186256,0,2,2,King of Spain (1784–1833) (r. 1808; 1813–1833),Ferdinand the Desired|The Felon King,Q5,,Ferdinand VII
