data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Lejenda aurea,The Golden Legend,Q140236425,0,0,2,monograph published by Princeton University Press (2012),,Q193495,,
Lejenda aurea,The Golden Legend,Q106542087,0,0,2,serialized short works,,Q7725634|Q133250,,
Lejenda aurea,The Golden Legend,Q19088511,0,0,2,,,Q3331189,,
Lejenda aurea,The Golden Legend,Q7737071,0,0,2,canata by Arthur Sullivan and Joseph Bennett,,Q105543609,,The Golden Legend (cantata)
Lejenda aurea,The Golden Legend,Q99235273,0,0,2,poem by Henry Wadsworth Longfellow,,Q7725634,,
Lejenda aurea,The golden legende,Q123332076,0,0,2,work by William Caxton,The golden legend,Q7725634|Q125309905,,
Lejenda aurea,The Golden Legend,Q61661585,0,0,2,"watercolour painting by Charles Heaphy (Alexander Turnbull Library, A-147-009)",The Golden Legend. [ca 1869],Q18761202,,
Lejenda aurea,Golden Legend,Q129493,0,0,2,collection of hagiographies compiled by Jacobus de Voragine c.1264,,Q7725634,,Golden Legend
Lejenda aurea,The Golden Legend (Legende Dorée),Q79471653,0,0,2,"print by Armand Point (French, 1861-1932); F. Champenois, Paris. (2016.233)",,Q11060274,,
Lejenda aurea,The Golden Legend: Readings on the Saints,Q136124580,0,0,2,2012,,Q3331189,,
Lejenda aurea,Legenda aurea,Q61992560,0,0,2,"version of Jacobus de Voragine 1495, Prague",,Q3331189|Q216665,,
Lejenda aurea,Legenda Aurea,Q28154694,0,0,2,Heavy metal band,,Q215380,,Legenda Aurea (band)
Lejenda aurea,Legenda aurea,Q105643317,0,0,2,medieval manuscript in the collections of the National Library of Poland,,Q48498,,
Lejenda aurea,Legenda aurea pisana,Q135653918,0,0,2,anonymous Pisan translation of Jacobus de Voragine's Legenda aurea,,Q7725634|Q125309905,,
Lejenda aurea,Legenda aurea toscana,Q135653905,0,0,2,anonymous Tuscan translation of Jacobus de Voragine's Legenda aurea,,Q7725634|Q125309905,,
Lejenda aurea,Legenda aurea catalana,Q135653890,0,0,2,anonymous Catalan translation of Jacobus de Voragine's Legenda aurea,,Q7725634|Q125309905,,
Lejenda aurea,Jacobus de Voragine,Q313460,0,0,2,"Italian Dominican friar, archbishop of Genoa and author",Iacobus de Voragine|Jakub z Voragine|Giacomo da Varagine|Jaume de Voragine|Giacomo Varagio|Jacques de Voragine|Jacobus of Voraigne|Jakub de Voragine|Jacopo da Voragine|Jacopo da Varazze|Giacomo da Voragine|Jacopo di Viraggio|Jacopo da Varagine|Giacomo da Varazze|Jacobus Varazze|Santiago de Varazze|Jacobus aus Varazze|Iacobo di Voragine|James of Voragine|Jacobus de Varagine|Iacopo da Varazze|Jacobus a Varagine|Jacobo de Voraégine|Jacobus Genuensis|Jacobus a Voragine|Jakob von Voragine|Jacobo de Varaggio|Jacques de Varazze|Iacopo da Varagine|Jacobo de Voraegine,Q5,,Jacobus de Voragine
Lejenda aurea,"Legenda aurea sanctorum, sive Lombardica historia (Passionel: Winter-ende Somerstuc)",Q62052846,0,0,2,Bodleian Library Don. d.21,,Q216665,,
Lejenda aurea,Legenda aurea (Spanish translation),Q139250564,0,0,2,"manuscript in the Biblioteca Nacional de España, Madrid, Spain",,Q87167,,
Drogo Sacrameptary,Drogo Sacramentary,Q850447,1,0,2,illuminated manuscript,,Q48498|Q586744,,Drogo Sacramentary
Drogo Sacrameptary,Drogo Sacramentary,Q104011195,1,0,2,encyclopedia article,,Q13433827,,
