data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Willemstad,Willemstad,Q132679,0,0,1,capital city of Curaçao,Williamtown|Willemtown,Q515|Q1549591,,Willemstad
Willemstad,Willemstad,Q76937,0,0,1,"city in Moerdijk, the Netherlands","Willemstad, North Brabant",Q13539802|Q677678|Q1852859|Q2039348,,"Willemstad, North Brabant"
Willemstad,Willemstad,Q5054799,0,0,1,"hamlet in Westerkwartier, Netherlands",Willemstad (Groningen),Q5084,,
Willemstad,Willemstad,Q2110458,0,0,1,"hamlet in Ooststellingwerf, Netherlands",Willemstêd,Q1484611,,
Willemstad,Willemstad,Q83649157,0,0,1,ship built in 1938,IMO 5390060,Q11446,,
Willemstad,Willemstad,Q19658210,0,0,1,"street in Appelscha, the Netherlands",,Q79007,,
Willemstad,Willemstad,Q19658212,0,0,1,"street in Marum, the Netherlands",,Q79007,,
Willemstad,Hato International Airport,Q1431168,0,0,1,airport in Curacao,Willemstad/Hato International Airport|CUR|TNCC,Q644371|Q1248784|Q94993988,,Curaçao International Airport
Willemstad,HMS Princess,Q65074271,0,0,1,1790s frigate,Williamstadt en Boetzlaar|Willemstad en Boetselaar,Q161705,,HMS Princess (1795)
Willemstad,Willemstad  municipal council,Q106374063,0,0,1,,,Q17014622,,
Willemstad,Curaçao,Q25279,0,0,2,"island state in the Caribbean, part of the Kingdom of the Netherlands",Island Territory of Curaçao|Curacau|Curaçoa|Curaςao|Curocao|ISO 3166-1:CW|Curazao|Country of Curaçao,Q15304003|Q112099|Q6256,,Curaçao
Willemstad,Curaçao,Q10223,0,0,2,"liqueur made with the dried peels of the Laraha citrus fruit, grown only on the island of Curaçao",,,Q68218896,Curaçao (liqueur)
Willemstad,Curaçao men's national football team,Q729640,0,0,2,national association football team,Curacao national association football team|Curaçao national football team|Curacao national football team|Curaçao national association football team|Curaçao men's national association football team,Q135408445,Q1194951,Curaçao national football team
Willemstad,Curaçao,Q54622776,0,0,2,main island in the country of Curaçao,,Q23442,,
Willemstad,triple sec,Q3539556,0,0,2,variety of orange liqueur,Curaçao triple sec,,Q68218896,Triple sec
Willemstad,Curaçao,Q104186199,0,0,2,plantation on the Wanica Kreek in Surinam,Curaçao (Wanica Kreek),Q188913,,
Willemstad,Curaçao,Q59115423,0,0,2,plantation on the Marechals Kreek in Surinam,Curaçao (Marechals Kreek),Q188913,,
Willemstad,Curaçao,Q64522947,0,0,2,Detective Conan character,,Q15632617|Q64541352,,
Willemstad,Curaçao and Dependencies,Q1953333,0,0,2,former Dutch colony in the Caribbean,Territory of Curaçao (1936-1948)|Netherlands Antilles (1948-1954)|Curacao and Dependencies,Q133156,,Colony of Curaçao and Dependencies
Willemstad,Curaçao Museum,Q2553677,0,0,2,museum of Curaçao,The Curaçao Museum,Q33506,,Curaçao Museum
Cardiff,Cardiff,Q10690,1,0,1,"capital city of Wales, United Kingdom","Caerdydd|Cardiff, Wales|Cardiff, South Glamorgan|Cardiff, United Kingdom|Cardiff, UK",Q1549591|Q51929311|Q515,,Cardiff
Cardiff,Cardiff City F.C.,Q18662,1,0,1,"association football club in Cardiff, Wales",Cardiff City Football Club|Cardiff City FC|Cardiff City|Cardiff|City|The Bluebirds|CCFC,Q476028,,Cardiff City F.C.
Cardiff,Cardiff,Q16865370,1,0,1,family name,,Q101352,,Cardiff (surname)
Cardiff,Cardiff,Q24342199,1,0,1,"principal area in south-east Wales, United Kingdom",Cardiff County Borough|County Borough of Cardiff|Cardiff (principal area)|Cardiff City and County|City and County of Cardiff,Q15979307|Q21503295,,City and County of Cardiff
Cardiff,Cardiff University,Q1035745,1,0,1,"public research university in Cardiff, United Kingdom",University of Cardiff|University College of South Wales and Monmouthshire|University College Cardiff|UC Cardiff,Q62078547|Q708676,,Cardiff University
Cardiff,Cardiff,Q5038364,1,0,1,"Parliamentary constituency in the United Kingdom, 1801-1918",Caerdydd,Q27971968,,Cardiff (UK Parliament constituency)
Cardiff,Cardiff,Q60576226,1,0,1,Constituency of the Parliament of England (to 1707),,Q27990982,,
Cardiff,Cardiff,Q5038359,1,0,1,"suburb of the City of Lake Macquarie, New South Wales, Australia","Cardiff, New South Wales|Cardiff, New South Wales, Australia",Q188509|Q188509,,"Cardiff, New South Wales"
Cardiff,Cardiff-by-the-Sea,Q3400992,1,0,1,"neighborhood of Encinitas, California, United States","Cardiff-by-the-Sea, California|Cardiff-by-the-Sea, CA|Cardiff|Cardiff, California",Q123705,,"Cardiff-by-the-Sea, Encinitas, California"
Cardiff,National Museum Cardiff,Q1321874,1,0,1,"Main site of the national museum of Wales, United Kingdom",Amgueddfa Genedlaethol Caerdydd|Museum of Cardiff|Cardiff Museum|National Museum & Galllery Cardiff|National Museum of Wales|Museum Cardiff|NMW|NMWC,Q24699794|Q17431399|Q207694|Q1970365,,National Museum Cardiff
Cardiff,Cardiff City FC,Q13362072,1,0,2,women's football team,,Q28140340,,Cardiff City F.C. (women)
Cardiff,2012–13 Cardiff City F.C. season,Q3468219,1,0,2,season of football team,,Q26887310,,2012–13 Cardiff City F.C. season
Cardiff,2013–14 Cardiff City F.C. season,Q15615528,1,0,2,season of football team,,Q26887310,,2013–14 Cardiff City F.C. season
Cardiff,2014–15 Cardiff City F.C. season,Q16834974,1,0,2,season of football team,,Q26887310,,2014–15 Cardiff City F.C. season
Cardiff,2018–19 Cardiff City F.C. season,Q55388245,1,0,2,season of football team,,Q26887310,,2018–19 Cardiff City F.C. season
Cardiff,2020–21 Cardiff City F.C. season,Q97353759,1,0,2,season of football team,,Q26887310,,2020–21 Cardiff City F.C. season
Cardiff,2019–20 Cardiff City F.C. season,Q65067230,1,0,2,season of football team,2019-20 Cardiff City F.C. season,Q26887310,,2019–20 Cardiff City F.C. season
Cardiff,2022–23 Cardiff City F.C. season,Q111963048,1,0,2,season of football team,,Q26887310,,2022–23 Cardiff City F.C. season
Cardiff,2024–25 Cardiff City F.C. season,Q125662678,1,0,2,126th season in existence of Cardiff City FC,,Q26887310,,2024–25 Cardiff City F.C. season
Cardiff,Cardiff Metropolitan University,Q5038449,1,0,2,"university in Cardiff, Wales","UWIC|University of Wales Institute, Cardiff|Prifysgol Fetropolitan Caerdydd|South Glamorgan Institute of Higher Education",Q3918|Q2221906|Q708676,,Cardiff Metropolitan University
Cardiff,Cardiff Metropolitan University F.C.,Q2096167,1,0,2,Welsh football club,Cardiff Metropolitan University Football Club|Cardiff Met,Q476028,,Cardiff Met F.C.
Cardiff,Cardiff School of Sport and Health Sciences,Q5038464,1,0,2,"department of Cardiff Metropolitan University, Wales",Cardiff School of Sport|Cardiff Metropolitan University School of Sport and Health Science|Cardiff Metropolitan University School of Sport,Q3918,,Cardiff School of Sport
