data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Banglcdesh Cycling Federation,Bangladesh Cycling Federation,Q107369134,0,0,2,Governing body for cycling sport in Bangladesh,,Q2485448,,Bangladesh Cycling Federation
Banglcdesh Cycling Federation,Bangladesh national cycling team,Q99646632,0,0,2,,,Q54660600,,
Bangladesh national cycling team,Bangladesh national cycling team,Q99646632,0,2,1,,,Q54660600,,
Bangladesh national cycling team,Bangladesh Cycling Federation,Q107369134,0,2,2,Governing body for cycling sport in Bangladesh,,Q2485448,,Bangladesh Cycling Federation
Football Associavion of the Czech Republic,Czech Republic women's national under-17 football team,Q23905219,1,0,2,national under-17 women's football team of Czechia,Czechia women's national under-17 football team|Czechia U17 Women's team,Q67608976|Q6979593,,Czech Republic women's national under-17 football team
Football Associavion of the Czech Republic,Football Association of the Czech Republic,Q337065,1,0,2,governing body of association football in Czechia,Football Association of Czechia|Czechia Football Association|Czechia Football Federation|Czechia FA|Czechia F.A.|Football Federation of Czechia,Q1478443|Q43229|Q2485448,,Football Association of the Czech Republic
Czech Republic women's national under-17 football team,Czech Republic women's national under-17 football team,Q23905219,1,2,1,national under-17 women's football team of Czechia,Czechia women's national under-17 football team|Czechia U17 Women's team,Q67608976|Q6979593,,Czech Republic women's national under-17 football team
Gu|ana Badminton Association,Guyana national badminton team,Q27147047,2,0,2,national badminton team,,Q29292775,,Guyana national badminton team
Guyana national badminton team,Guyana national badminton team,Q27147047,2,2,1,national badminton team,,Q29292775,,Guyana national badminton team
Guyana national badminton team,Guyana Badminton Association,Q27147391,2,2,2,badminton association,,Q2485448|Q29592127,,
Polih Cycling Federation,Polish Cycling Federation,Q589190,3,0,2,cycling organization in Poland,,Q2485448,,Polish Cycling Federation
Polih Cycling Federation,Poland national cycling team,Q87069532,3,0,2,,,Q54660600,,
Poland national cycling team,Poland national cycling team,Q87069532,3,2,1,,,Q54660600,,
Ccling Federation of Sri Lanka,Cycling Federation of Sri Lanka,Q107370415,4,0,2,governing body for cycling sport in Sri Lanka,,Q2485448,,
Ccling Federation of Sri Lanka,Sri Lanka national cycling team,Q99646688,4,0,2,,,Q54660600,,
Sri Lanka national cycling team,Sri Lanka national cycling team,Q99646688,4,2,1,,,Q54660600,,
Cycling Fedfration of Kosovo,Cycling Federation of Kosovo,Q65315160,5,0,2,,,Q2485448,,
Kosovo national cycling team,Kosovo national cycling team,Q99646716,5,2,1,,,Q54660600,,
French Ffderation of Ice Sports,French Federation of Ice Sports,Q1479391,6,0,2,national governing body,,Q2485448|Q130478340,,French Federation of Ice Sports
French Ffderation of Ice Sports,French Federation of Ice Sports,Q60647414,6,0,2,defunct sports governing body,,Q2485448|Q15893266,,
French Ffderation of Ice Sports,Didier Gailhaguet,Q797977,6,0,2,French figure skater and former president of the French Ice Sports Federation,,Q5,,Didier Gailhaguet
Didier Gailhaguet,Didier Gailhaguet,Q797977,6,1,1,French figure skater and former president of the French Ice Sports Federation,,Q5,,Didier Gailhaguet
French Federationof Ice Sports,French Federation of Ice Sports,Q1479391,7,0,2,national governing body,,Q2485448|Q130478340,,French Federation of Ice Sports
French Federationof Ice Sports,French Federation of Ice Sports,Q60647414,7,0,2,defunct sports governing body,,Q2485448|Q15893266,,
Louis Magnus,Louis Magnus,Q1871849,7,1,1,figure skater (1881–1950),,Q5,,Louis Magnus
Louis Magnus,Louis Magnus Vauvert,Q107612658,7,1,1,Norwegian pharmacist,,Q5,,
Louis Magnus,French Federation of Ice Sports,Q1479391,7,1,2,national governing body,,Q2485448|Q130478340,,French Federation of Ice Sports
Louis Magnus,French Federation of Ice Sports,Q60647414,7,1,2,defunct sports governing body,,Q2485448|Q15893266,,
