data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Durango,Durango,Q79918,0,0,1,state of Mexico,Estado de Durango|Free and Sovereign State of Durango|Tepēhuahcān,Q15149663,,Durango
Durango,Durango,Q37110074,0,0,1,family name,,Q101352,,
Durango,Durango Municipality,Q2832731,0,0,1,"municipality in the State of Durango, Mexico",Durango,Q1952852,,Durango Municipality
Durango,Durango,Q732094,0,0,1,"municipality in Biscay, Spain",,Q2074737,,"Durango, Spain"
Durango,Victoria de Durango,Q112813,0,0,1,"capital of the State of Durango, Mexico",Ciudad de Durango|Durango City|Durango,Q1549591|Q20202352,,Durango (city)
Durango,Durango,Q1012665,0,0,1,"home rule municipality in and county seat of La Plata County, Colorado, United States","Durango, Colorado|Durango, CO",Q1093829|Q62049,,"Durango, Colorado"
Durango,Durango,Q18579260,0,0,1,"town in Mexicali Municipality, State of Baja California, Mexico",Ejido Durango,Q532|Q20202352,,
Durango,Durango,Q46391134,0,0,1,"street in Černolice, Czech Republic",,Q79007,,
Durango,Durango Kid,Q10269121,0,0,1,fictional character,,Q15773347|Q1114461|Q15632617,,
Durango,General Guadalupe Victoria International Airport,Q3274472,0,0,1,airport in Mexico,Durango International Airport|DGO|MMDO|DURANGO,Q644371|Q1248784|Q94993988,,Durango International Airport
Durango,state of Mexico,Q15149663,0,0,2,federative entity of Mexico,Mexican state,Q28872924,Q107390|Q20528428|Q10864048|Q106458883,Mexican state
Durango,state governor of Mexico,Q17810142,0,0,2,governor of a Mexican state,Mexican state governor,,Q132050|Q2285706,
Durango,Mexican State Public Broadcasting System,Q6052404,0,0,2,Mexican State-owned broadcaster,SPR|Sistema Publico de Radiodifusion del Estado Mexicano,Q1126006,,Sistema Público de Radiodifusión del Estado Mexicano
Durango,Mexican state name etymologies,Q6826097,0,0,2,Wikimedia list article,,Q13406463,,List of Mexican state name etymologies
Durango,"Mexican State Development Policy and Labor Internationalism, 1945–1958",Q139767673,0,0,2,,,Q13442814,,
Durango,Mexican State-Labor Relations and the Political Implications of Free Trade,Q140047874,0,0,2,,,Q13442814,,
Durango,"Durango, Mexico",Q5316208,0,0,2,Wikimedia disambiguation page,,Q4167410,,"Durango, Mexico"
San Salvador,San Salvador,Q3110,1,0,1,capital of El Salvador,,Q1549591|Q56061|Q127499753,,San Salvador
San Salvador,San Salvador,Q7415277,1,0,1,Ship in the Spanish Navy,,Q11446,,San Salvador (Guipúzcoan squadron)
