data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Exel,Exelon,Q1383669,0,0,1,energy company headquartered in Chicago,Exelon Corporation,Q4830453|Q6881511|Q891723|Q219577,,Exelon
Exel,Exelastis,Q10759847,0,0,1,genus of insects,,Q16521,,Exelastis
Exel,"Exelby, Leeming and Londonderry",Q5419981,0,0,1,"civil parish in North Yorkshire, UK","Exelby (civil parish), North Yorkshire|Exelby, North Yorkshire|Exelby, Leeming and Newton",Q1115575,,"Exelby, Leeming and Londonderry"
Exel,Exel,Q37521461,0,0,1,family name,,Q101352,,
Exel,Exel,Q171269,0,0,1,"village in Lochem, Netherlands",,Q1484611,,
Exel,Exeliopsis,Q5419987,0,0,1,genus of insects,,Q16521,,Exeliopsis
Exel,Exellodendron,Q8846996,0,0,1,genus of plants,,Q16521,,Exellodendron
Exel,Arthur Wallis Exell,Q2865378,0,0,1,British botanist (1901–1993),Exell|A. W. Excell|Arthur Excell,Q5,,Arthur Wallis Exell
Exel,Exelis,Q5419990,0,0,1,genus of insects,,Q16521,,Exelis
Exel,Exellia,Q15961895,0,0,1,genus of plants,,Q16521,,
road bicycle racing,road bicycle racing,Q3609,0,1,1,bicycle racing sport,bicycle road cycling|bicycle road race|road bicycle race|road cycling race|road cycle racing|road bike racing|cycle race,Q2312410,Q2215841|Q3493900|Q7339484|Q119778717,Road bicycle racing
road bicycle racing,cycling race,Q15091377,0,1,1,sporting event with bicycles,bicycle race|cycle race,,Q22938576|Q121680288,
road bicycle racing,road bicycle racing at the 2013 European Youth Summer Olympic Festival,Q17354370,0,1,1,,,Q51031626,,
road bicycle racing,road bicycle racing at the 2016 Summer Olympics,Q25390440,0,1,1,,,Q26132862,,
road bicycle racing,road bicycle racing at the Summer Olympics,Q76451412,0,1,1,,,Q18608583,Q26132862,
road bicycle racing,road bicycle racing at the Olympic Games,Q44198061,0,1,1,,,Q18608583,Q18536594,
road bicycle racing,road bicycle racing in Spain,Q121030234,0,1,1,overview of road bicycle racing in Spain,,Q29791211,Q3181499,
road bicycle racing,road cycling,Q7339484,0,1,2,"form of cycling including recreational, racing, and utility cycling",,,Q53121,Road cycling
