data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
He Hong,He Hong,Q45644032,0,0,1,Ming dynasty person CBDB = 201388,Yuchou,Q5,,
He Hong,He Hong,Q45595338,0,0,1,Ming dynasty person CBDB = 312700,,Q5,,
He Hong,He Hong,Q45524328,0,0,1,Ming dynasty person CBDB = 263555,,Q5,,
He Hong,He Hong,Q45565206,0,0,1,Ming dynasty person CBDB = 280363,,Q5,,
He Hong,He Hong,Q45639966,0,0,1,Ming dynasty person CBDB = 228729,,Q5,,
He Hong,He Hong,Q45472462,0,0,1,Ming dynasty person CBDB = 320631,,Q5,,
He Hong,He Hong,Q45534273,0,0,1,Tang dynasty person CBDB = 141576,,Q5,,
He Hong,He Hong,Q45478589,0,0,1,Ming dynasty person CBDB = 294231,,Q5,,
He Hong,He Hong,Q45490435,0,0,1,Ming dynasty person CBDB = 305165,,Q5,,
He Hong,He Hong,Q45574955,0,0,1,Ming dynasty person CBDB = 259477,,Q5,,
He Hong,Hong He,Q101576907,0,0,2,researcher ORCID 0000-0001-7778-1202,,Q5,,
He Hong,Hong S. He,Q42664493,0,0,2,researcher,Hong He,Q5,,
He Hong,Hong He,Q89757638,0,0,2,researcher (ORCID 0000-0002-9234-0015),,Q5,,
He Hong,Hong He,Q45655476,0,0,2,Ming dynasty person CBDB = 287697,,Q5,,
He Hong,Hong He,Q90263257,0,0,2,researcher (ORCID 0000-0001-8476-8217),,Q5,,
He Hong,Hong He,Q92191368,0,0,2,researcher (ORCID 0000-0002-2342-8750),,Q5,,
He Hong,Hong-He Xu,Q115661590,0,0,2,researcher (ORCID 0000-0002-7842-1468),Xu Honghe|Hong He Xu|Honghe Xu|洪河 徐|Xu H H|Xu Hong He,Q5,,
He Hong,Hong He,Q89553276,0,0,2,researcher (ORCID 0000-0001-6545-903X),,Q5,,
He Hong,Hong He,Q96158798,0,0,2,researcher ORCID 0000-0003-2486-6178,,Q5,,
He Hong,Hong He,Q86944329,0,0,2,researcher (ORCID 0000-0001-5475-1641),,Q5,,
Santa Isabel,Malabo,Q3818,1,0,1,city and former capital of Equatorial Guinea,Port Clarence|Santa Isabel,Q515|Q2264924|Q1549591|Q129268952|Q5119,,Malabo
Santa Isabel,Santa Isabel,Q9333737,1,0,1,human settlement in Spain,,Q133503733,,
Santa Isabel,Santa Isabel (São Paulo Metro),Q19707218,1,0,1,,,Q28043022|Q928830,,
Santa Isabel,Santa Isabel,Q20297456,1,0,1,"human settlement in San Luis Rio Colorado, Mexico",,Q486972|Q20202352,,
Santa Isabel,Santa Isabel,Q20228266,1,0,1,"locality in Llera Municipality, Mexico",,Q20202352,,
Santa Isabel,Santa Isabel,Q20235320,1,0,1,"locality in Villaldama, Mexico",,Q20202352,,
Santa Isabel,Santa Isabel,Q20297415,1,0,1,human settlement in Mexico,,Q486972|Q20202352,,
Santa Isabel,Santa Isabel,Q20272818,1,0,1,"human settlement in Tihuatlan Municipality, Mexico",,Q486972|Q20202352,,
Santa Isabel,Santa Isabel,Q61254517,1,0,1,"town in Ahuacatlán Municipality, State of Nayarit, Mexico",,Q20202352,,
