data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Amlach power station,Amlach power station,Q27436682,0,0,1,run-of-the-river power station in Austria,Tiwag Amlach|Kraftwerk Amlach,Q1411996|Q15911738,,Amlach power station
Drava,Drava,Q171009,0,3,1,"river in Italy, Austria, Slovenia, Croatia and Hungary",Drave,Q4022|Q4366834|Q108822533,,Drava
Drava,NK Drava Ptuj,Q691752,0,3,1,association football club in Slovenia,Drava,Q476028,,NK Drava Ptuj (1933)
Drava,13122 Drava,Q1192970,0,3,1,asteroid,Drava,Q3863,,13122 Drava
Drava,Drava,Q108138790,0,3,1,protected area in Slovenia (SI3000220),,Q473972,,
Drava,Drava,Q108137838,0,3,1,protected area in Slovenia,,Q473972,,
Drava,Yugoslav monitor Drava,Q16223260,0,3,1,1914 Enns-class river monitor,SMS Enns,Q5762366,,Yugoslav monitor Drava
Drava,Dráva,Q23857551,0,3,1,article in Otto's encyclopedia,,Q13433827,,
Drava,Drava Banovina,Q1256012,0,3,1,Province of the Kingdom of Yugoslavia,,Q56061,,Drava Banovina
Drava,D/d,Q9884,0,3,1,4th letter of the basic Latin alphabet,d|dee|Delta|ˈdiː|ᴅ|letter D|delta,Q19776628,Q19776628|Q3841820,D
Drava,Drava Valley Railway,Q240451,0,3,1,"railway line in Italy, Austria and Slovenia",Drautalbahn,Q728937,,Drava Valley Railway
Aschach power station,Aschach power station,Q1705512,1,0,1,"power station in Upper Austria, Austria",,Q1411996,,
Solbergfoss power station,Solbergfoss power station,Q14437876,2,0,1,"hydroelectric power station in Indre Østfold municipality, Østfold county, Norway",Solbergfoss,Q3497167|Q1411996,,Solbergfoss Hydroelectric Power Station
Glomma,Glomma,Q214535,2,3,1,river in Norway,Glåma|Glommen|Stor-Elv,Q4022,,Glomma
Glomma,Glomma basin,Q19370970,2,3,1,drainage basin in Scandinavia,,Q285451|Q166620,,
Glomma,Glommavassdraget i Indre Østfold,Q109632082,2,3,1,Report in the serial Østfold-Natur,,Q191067,,
Glomma,Glommalinjen,Q11972224,2,3,1,,,Q57821,,
Glomma,Glommaringen,Q11972222,2,3,1,,,Q3240003,,
Glomma,Glommadal,Q5571249,2,3,1,,,Q39816,,Glommadal
Glomma,Glomman,Q10505808,2,3,1,"street in Örebro, Sweden",,Q79007,,
Glomma,Glomma sett fra Hafslund,Q136472912,2,3,1,"drawing by Heinrich August Grosch (Nasjonalmuseet, NG.K&H.B.06468)",,Q93184,,
Glomma,"Glömma, glömma",Q106273476,2,3,1,Swedish musical work,,Q105543609,,
Glomma,Bastogne,Q107473781,2,3,1,,,Q2031121,,
Glomma,Solbergfoss power station,Q14437876,2,3,2,"hydroelectric power station in Indre Østfold municipality, Østfold county, Norway",Solbergfoss,Q3497167|Q1411996,,Solbergfoss Hydroelectric Power Station
Wasserkraftwerk an der Singold,Wasserkraftwerk an der Singold,Q111534331,3,0,1,,,Q1411996,,
