data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
2015 Rostelecom Cup - pair skating free skating,2015 Rostelecom Cup - pair skating free skating,Q62050879,0,0,1,segment of a figure skating competition,,Q4380244,,
2015 Rostelecom Cup - pair skating free skating,Ksenia Stolbova,Q440649,0,0,2,figure skater,Kseniya Andreyevna Stolbova|Ksenia Andreyevna Stolbova,Q5,,Ksenia Stolbova
2015 Rostelecom Cup - pair skating free skating,2015 Rostelecom Cup,Q19906726,0,0,2,figure skating competition,Rostelecom Cup 2015,Q2990963,,2015 Rostelecom Cup
2015 Rostelecom Cup - pair skating free skating,2015 Rostelecom Cup - pair skating,Q62050880,0,0,2,part of a figure skating competition,,Q16510064,,
2015 Rostelecom Cup - pair skating free skating,2015 Rostelecom Cup - ice dancing,Q62050884,0,0,2,part of a figure skating competition,,Q16510064,,
2015 Rostelecom Cup - pair skating free skating,2015 Rostelecom Cup - men's singles,Q56751461,0,0,2,part of a figure skating competition,,Q16510064,,
2015 Rostelecom Cup - pair skating free skating,2015 Rostelecom Cup - ladies' singles,Q62050877,0,0,2,part of a figure skating competition,,Q16510064,,
2015 Rostelecom Cup - pair skating free skating,2015 Rostelecom Cup - men's singles free skating,Q62050871,0,0,2,segment of a figure skating competition,,Q4380244,,
2015 Rostelecom Cup - pair skating free skating,2015 Rostelecom Cup - pair skating short program,Q62050881,0,0,2,segment of a figure skating competition,,Q2031615,,
2015 Rostelecom Cup - pair skating free skating,2015 Rostelecom Cup - ladies' singles short program,Q62050876,0,0,2,segment of a figure skating competition,,Q2031615,,
2015 Rostelecom Cup - pair skating free skating,2015 Rostelecom Cup - ladies' singles free skating,Q62050878,0,0,2,segment of a figure skating competition,,Q4380244,,
2015 Rostelecom Cup - pair skating free skating,pair skating,Q1682809,0,0,2,discipline of figure skating,pairs skating|pairs|paired skating,Q2312410|Q10708051,Q38108,Pair skating
2015 Rostelecom Cup - pair skating free skating,free skating,Q4380244,0,0,2,segment in a figure skating competition,free skate|free program|long program,Q106635272,Q16510064,Free skating
Ksenia Stolbova,Ksenia Stolbova,Q440649,0,3,1,figure skater,Kseniya Andreyevna Stolbova|Ksenia Andreyevna Stolbova,Q5,,Ksenia Stolbova
2015–16 Grand Prix of Figure Skating Final - pair skating free skating,2015–16 Grand Prix of Figure Skating Final - pair skating free skating,Q62050813,1,0,1,segment of a figure skating competition,2015-16 Grand Prix of Figure Skating Final - pair skating free skating,Q4380244,,
2015–16 Grand Prix of Figure Skating Final - pair skating free skating,Ksenia Stolbova,Q440649,1,0,2,figure skater,Kseniya Andreyevna Stolbova|Ksenia Andreyevna Stolbova,Q5,,Ksenia Stolbova
2015–16 Grand Prix of Figure Skating Final - pair skating free skating,2015–16 Grand Prix of Figure Skating Final,Q19606172,1,0,2,figure skating competition,2015–2016 Grand Prix of Figure Skating Final|2015-16 Grand Prix of Figure Skating Final,Q2990963,,2015–16 Grand Prix of Figure Skating Final
2015–16 Grand Prix of Figure Skating Final - pair skating free skating,2015–16 Grand Prix of Figure Skating Final - ice dancing,Q62050819,1,0,2,part of a figure skating competition,2015-16 Grand Prix of Figure Skating Final - ice dancing,Q16510064,,
2015–16 Grand Prix of Figure Skating Final - pair skating free skating,2015–16 Grand Prix of Figure Skating Final - pair skating,Q62050812,1,0,2,part of a figure skating competition,2015-16 Grand Prix of Figure Skating Final - pair skating,Q16510064,,
2015–16 Grand Prix of Figure Skating Final - pair skating free skating,2015–16 Grand Prix of Figure Skating Final - men's singles,Q56255296,1,0,2,part of a figure skating competition,2015-16 Grand Prix of Figure Skating Final - men's singles,Q16510064,,
2015–16 Grand Prix of Figure Skating Final - pair skating free skating,2015–16 Grand Prix of Figure Skating Final - ladies' singles,Q62050806,1,0,2,part of a figure skating competition,2015-16 Grand Prix of Figure Skating Final - ladies' singles,Q16510064,,
2015–16 Grand Prix of Figure Skating Final - pair skating free skating,2015–16 Grand Prix of Figure Skating Final - ice dancing short dance,Q62050818,1,0,2,segment of a figure skating competition,2015-16 Grand Prix of Figure Skating Final - ice dancing short dance,Q2080304,,
2015–16 Grand Prix of Figure Skating Final - pair skating free skating,2015–16 Grand Prix of Figure Skating Final - ladies' singles short program,Q62050807,1,0,2,segment of a figure skating competition,2015-16 Grand Prix of Figure Skating Final - ladies' singles short program,Q2031615,,
