data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Centaurus A,Centaurus A,Q487255,0,0,1,Closest radio galaxy in the Constellation Centaurus,NGC 5128|New General Catalogue 5128|C77|PGC 46957,Q217012|Q726611|Q2014003|Q192078|Q195385|Q67201524|Q67206691|Q2154519|Q71965638|Q28738741|Q71962386,,Centaurus A
Centaurus A,Centaurus A/M83 Group,Q1881065,0,0,1,"complex group of galaxies in the constellations Hydra, Centaurus, and Virgo",M83 group of galaxies,Q204107|Q1491746,,Centaurus A/M83 Group
Centaurus A,Centaurus-A,Q1053499,0,0,1,band,,Q215380,,
Centaurus A,Centaurus and Nymph,Q107435994,0,0,1,painting by Arnold Böcklin,,Q3305213,,
Centaurus A,Centaurus A-dE4,Q15914200,0,0,1,galaxy in the M83 group of galaxies,LEDA 166176,Q318,,
Centaurus A,Centaurus A-dE2,Q15914173,0,0,1,galaxy in the M83 group of galaxies,,Q318,,
Centaurus A,Centaurus A-dE1,Q15913236,0,0,1,peculiar galaxy in the constellation Centaurus,LEDA 166158,Q318,,
Centaurus A,Centaurus A-dE3,Q15913120,0,0,1,galaxy in the M83 group of galaxies,,Q318,,
Centaurus A,Centaurus A,Q68214895,0,0,1,1983 scholarly article in Publications of the Astronomical Society of the Pacific,,Q13442814,,
Centaurus A,Centaurus A - NGC 5128,Q55952977,0,0,1,scientific article,,Q13442814,,
Centaurus A,NGC 5128,Q13108644,0,0,2,,,Q17362920,,
Centaurus A,NGC 5128,Q68260764,0,0,2,scientific article published in January 1991,,Q13442814,,
Centaurus A,NGC 5128 - a nearby laboratory for planetary nebulae in a giant early-type galaxy,Q62620978,0,0,2,,,Q13442814,,
Centaurus A,NGC 5128 as an isotropic rotator,Q68899503,0,0,2,scientific article published in January 2008,,Q13442814,,
Centaurus A,NGC 5128's Globular Cluster System: Is There a Dark Side?,Q59110825,0,0,2,,,Q13442814,,
Centaurus A,NGC 5128 Globular Cluster Candidates Out to 150 kpc: A Comprehensive Catalog from Gaia and Ground-based Data*,Q131404190,0,0,2,scientific article published in June 2021,,Q13442814,,
Centaurus A,NGC 5128: The Giant Beneath,Q54295692,0,0,2,scientific article,,Q13442814,,
NGC 6175,NGC 6175,Q78263917,1,0,1,radio galaxy in the constellation Hercules,,Q217012,,
NGC 6175,NGC 6175-1,Q946722,1,0,1,galaxy,,Q318,,
NGC 6175,NGC 6175-2,Q2164684,1,0,1,galaxy,,Q318,,
NGC 6175,NGC 6175,Q13088787,1,0,1,Wikimedia disambiguation page,,Q4167410,,
NGC 6175,NGC 6175 NED02,Q113840139,1,0,1,,,Q6999,,
NGC 6175,NGC 6175 NED01,Q113840138,1,0,1,,,Q6999,,
