data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Die Furche,Die Furche,Q1212798,0,0,1,Austrian weekly newspaper,,Q2305295,,Die Furche
Die Furche,Die Furchen und Wülste am Grosshirn des Menschen,Q94022875,0,0,1,,,Q13442814,,
Die Furche,Die Furche,Q18620420,0,0,1,Wikimedia disambiguation page,,Q4167410,,
Wieś i Zaścianek,Wieś i Zaścianek,Q3918268,1,0,1,,,Q2305295|Q41298,,
Baleares (weekly),Baleares (weekly),Q66823353,2,0,1,"Weekly newspaper in Spanish published in Palma, Mallorca, from 1917 to 1924",,Q732577|Q2305295,,
Baleares (weekly),Baleares,Q804890,2,0,2,1931 Canarias-class cruiser,,Q898771,,Spanish cruiser Baleares
Baleares (weekly),Baleares,Q5717230,2,0,2,1970 Baleares-class frigate,,Q161705,,Spanish frigate Baleares
Baleares (weekly),Baleares,Q88182504,2,0,2,electoral district of the Second Spanish Republic,,Q32984849,,
Baleares (weekly),Lá palama aceitosa,Q27657,2,0,2,species of plant,baleares Island date palm,Q16521,,Phoenix canariensis
Baleares (weekly),Baleares,Q125706258,2,0,2,written work by Climent Picornell Bauzà,,Q47461344,,
Baleares (weekly),Baleares,Q122787979,2,0,2,ship built in 1962,IMO 7714349,Q11446,,
Baleares (weekly),Baleares,Q125706272,2,0,2,1982 edition of written work by Climent Picornell Bauzà,,Q3331189,,
Baleares (weekly),Baleares,Q122709610,2,0,2,ship built in 1975,IMO 7336630,Q11446,,
Baleares (weekly),Baleares,Q84262391,2,0,2,ship built in 2014,,Q11446,,
Baleares (weekly),Balearic Islands,Q5765,2,0,2,archipelago in the Mediterranean Sea,Islas baleares|Balearic Isles,Q33837,,Balearic Islands
Baleares (weekly),Balearic Islands,Q107356467,2,0,2,autonomous community of Spain,,Q10742|Q2736168,,
Baleares (weekly),Balearic Islands,Q4850673,2,0,2,Spanish Congress Electoral District,,Q20220333,,Balearic Islands (Congress of Deputies constituency)
Baleares (weekly),Balearic Islands,Q107356469,2,0,2,province,,Q55379806,,
Baleares (weekly),Balearic Islands,Q107356470,2,0,2,region (1833–1982),,Q104117291,,
Baleares (weekly),Balearic Islands parliamentary election,Q6348103,2,0,2,class of election in Spain,,Q107359024,Q56316064,
Baleares (weekly),Balearic Islands,Q103891547,2,0,2,encyclopedia article,,Q13433827,,
Baleares (weekly),history of Balearic Islands,Q11925943,2,0,2,,Balearic Islands history,Q17524420,,History of the Balearic Islands
Baleares (weekly),coat of arms of Balearic Islands,Q2548644,2,0,2,,Balearic Islands coat of arms,Q14659,,Coat of arms of Balearic Islands
Baleares (weekly),Balearic Islands Football Federation,Q20106385,2,0,2,governing body of association football,FFIB,Q130416600,,Balearic Islands Football Federation
