data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
SamsungGalaxy A3,Samsung Galaxy A3,Q28725846,0,0,2,2017 Android smartphone by Samsung,,Q19723451,Q22645,Samsung Galaxy A3 (2017)
SamsungGalaxy A3,Samsung Galaxy A3 (2016),Q22908471,0,0,2,2015 Android smartphone,,Q19723444,Q17517,Samsung Galaxy A3 (2016)
SamsungGalaxy A3,Samsung Galaxy A3 2015,Q18549782,0,0,2,Android smartphone by Samsung,,Q19723451,Q22645,Samsung Galaxy A3 (2015)
SamsungGalaxy A3,Samsung Galaxy A35 5G,Q124813453,0,0,2,2024 Android-based smartphone by Samsung,Samsung Galaxy A35,Q19723451,Q22645,Samsung Galaxy A35 5G
SamsungGalaxy A3,Samsung Galaxy A30s,Q110393186,0,0,2,2019 smartphone by Samsung Electronics,Galaxy A30s,Q19723444,,Samsung Galaxy A30s
SamsungGalaxy A3,Samsung Galaxy A36 5G,Q133270095,0,0,2,2025 Android-based smartphone by Samsung,,Q19723451,Q521097,Samsung Galaxy A36 5G
SamsungGalaxy A3,Samsung Galaxy A31,Q97223461,0,0,2,mid-range Android smartphone from Samsung,Galaxy A31,Q19723451,Q22645,Samsung Galaxy A31
SamsungGalaxy A3,Samsung Galaxy A32 5G,Q106589768,0,0,2,smartphone model,Samsung Galaxy M32 5G,Q19723451,Q22645,
SamsungGalaxy A3,Samsung Galaxy A30,Q68025803,0,0,2,2019 smartphone by Samsung Electronics,Galaxy A30|A30|Samsung A30,Q19723451,Q22645,Samsung Galaxy A30
SamsungGalaxy A3,Samsung Galaxy A32,Q106311190,0,0,2,smartphone model,Galaxy A32,Q19723444,Q22645,Samsung Galaxy A32
Samsung Halaxy A3,Samsung Galaxy A3,Q28725846,1,0,2,2017 Android smartphone by Samsung,,Q19723451,Q22645,Samsung Galaxy A3 (2017)
Samsung Halaxy A3,Samsung Galaxy A3 (2016),Q22908471,1,0,2,2015 Android smartphone,,Q19723444,Q17517,Samsung Galaxy A3 (2016)
Samsung Halaxy A3,Samsung Galaxy A3 2015,Q18549782,1,0,2,Android smartphone by Samsung,,Q19723451,Q22645,Samsung Galaxy A3 (2015)
Samsung Halaxy A3,Samsung Galaxy A35 5G,Q124813453,1,0,2,2024 Android-based smartphone by Samsung,Samsung Galaxy A35,Q19723451,Q22645,Samsung Galaxy A35 5G
Samsung Halaxy A3,Samsung Galaxy A30s,Q110393186,1,0,2,2019 smartphone by Samsung Electronics,Galaxy A30s,Q19723444,,Samsung Galaxy A30s
Samsung Halaxy A3,Samsung Galaxy A36 5G,Q133270095,1,0,2,2025 Android-based smartphone by Samsung,,Q19723451,Q521097,Samsung Galaxy A36 5G
Samsung Halaxy A3,Samsung Galaxy A31,Q97223461,1,0,2,mid-range Android smartphone from Samsung,Galaxy A31,Q19723451,Q22645,Samsung Galaxy A31
Samsung Halaxy A3,Samsung Galaxy A32 5G,Q106589768,1,0,2,smartphone model,Samsung Galaxy M32 5G,Q19723451,Q22645,
Samsung Halaxy A3,Samsung Galaxy A30,Q68025803,1,0,2,2019 smartphone by Samsung Electronics,Galaxy A30|A30|Samsung A30,Q19723451,Q22645,Samsung Galaxy A30
Samsung Halaxy A3,Samsung Galaxy A32,Q106311190,1,0,2,smartphone model,Galaxy A32,Q19723444,Q22645,Samsung Galaxy A32
Samsung Galay J7,Samsung Galaxy J7,Q22075480,2,0,2,Android smartphone produced by Samsung,,Q19723451,Q521097,Samsung Galaxy J7
