data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
"A Rake's Progress, Plate 6","A Rake's Progress, Plate 6",Q104872402,0,0,1,"object from Hunterian Art Gallery, Glasgow",,Q11835431|Q18218093,,
"A Rake's Progress, Plate 6",A Rake's Progress,Q300536,0,0,2,painting series by William Hogarth,Rakes progress|Rake's Progress|A Rake’s Progress|A Rake’s Progress (series of eight)|The Rake's Progress,Q15727816,,A Rake's Progress
"A Rake's Progress, Plate 6",A Rake's Progress,Q67331074,0,0,2,print series based on the paintings by William Hogarth,,Q32759444,,
"A Rake's Progress, Plate 6",Tony Tough 2: A Rake's Progress,Q7823583,0,0,2,2006 video game,Tony Tough in a Rake's Progress|A Rake's Progress,Q7889,,Tony Tough 2: A Rake's Progress
"A Rake's Progress, Plate 6",The Orgy,Q5967685,0,0,2,painting by William Hogarth from the series A Rake's Progress,The Tavern Scene|The Tavern Scene — A Rake's Progress series|A Rake’s Progress: 3,Q3305213,,"A Rake's Progress, 3: The Tavern Scene"
"A Rake's Progress, Plate 6",The Madhouse,Q61893378,0,0,2,painting by William Hogarth from the series A Rake's Progress,In The Madhouse|In The Madhouse —A Rake's Progress series|A Rake's Progress: 8|The Rake in Bedlam,Q3305213,,
"A Rake's Progress, Plate 6",The Marriage,Q67328505,0,0,2,painting by William Hogarth from the series A Rake's Progress,A Rake's Progress:5,Q3305213,,
"A Rake's Progress, Plate 6",The Prison,Q67328510,0,0,2,painting by William Hogarth from the series A Rake's Progress,A Rake's Progress:7,Q3305213,,
"A Rake's Progress, Plate 6",The Heir,Q67328496,0,0,2,painting by William Hogarth from the series A Rake's Progress,A Rake's Progress 1,Q3305213,,
"A Rake's Progress, Plate 6",A Rake's Progress: The Young Heir Takes Possession of the Miser's Effects,Q106577268,0,0,2,print by William Hogarth,,Q11060274,,
"A Rake's Progress, Plate 6",A Rake's Progress: The Prison Scene,Q106577266,0,0,2,print by William Hogarth,,Q11060274,,
"A Rake's Progress, Plate 6",Plate 6,Q75405487,0,0,2,print in the National Gallery of Art (NGA 101158),,Q11060274,,
"A Rake's Progress, Plate 6",Plate 6,Q76442376,0,0,2,print in the National Gallery of Art (NGA 145620),,Q11060274,,
"A Rake's Progress, Plate 6",Plate 6,Q75405082,0,0,2,print in the National Gallery of Art (NGA 101105),,Q11060274,,
"A Rake's Progress, Plate 6",Plate 6: A Savoyard with a Marmot,Q77260481,0,0,2,print in the National Gallery of Art (NGA 211734),,Q11060274,,
"A Rake's Progress, Plate 6",Plate 6 (page 10): 'Disease invades the chastest temperence',Q110112568,0,0,2,engraving by William Blake,,Q11835431|Q11060274,,
"A Rake's Progress, Plate 6","Plate 6: Chapel Altarpiece, Santa Cruz: From Portfolio ""Spanish Colonial Designs of New Mexico""",Q64535546,0,0,2,drawing in the National Gallery of Art (NGA 75924),,Q93184,,
"A Rake's Progress, Plate 6","Plate 6: Chapel Altarpiece, Santa Cruz: From Portfolio ""Spanish Colonial Designs of New Mexico""",Q64535448,0,0,2,drawing in the National Gallery of Art (NGA 75506),,Q93184,,
"A Rake's Progress, Plate 6","Plate 6: From Portfolio ""Folk Art of Rural Pennsylvania""",Q64535381,0,0,2,drawing in the National Gallery of Art (NGA 75427),,Q93184,,
"A Rake's Progress, Plate 6",Plate 616: A Chipewyan Tipi Among the Aspens,Q117423968,0,0,2,"photograph by Edward S. Curtis (American, 1868–1952)",,Q125191,,
"A Rake's Progress, Plate 6",Plate 635: Agichide-Assiniboin,Q117423972,0,0,2,"photograph by Edward S. Curtis (American, 1868–1952)",,Q125191,,
"A Rake's Progress, Plate 6",Thomas Rowlandson,Q318584,0,0,2,English artist and caricaturist (1757–1827),T. Rowlandson|Thomas Rollandson|Rollandson|Th. Rowlandson|th. rowlandson|t. rowlandson|rowlandson t.|Rowlandson|Rowln|Rowlandn,Q5,,Thomas Rowlandson
"A Rake's Progress, Plate 6",Thomas Rowlandson,Q140772874,0,0,2,father of Dorothy Rowlandson,,Q5,,
"A Rake's Progress, Plate 6",Thomas Rowlandson Watercolours Collection,Q78231766,0,0,2,collection of artworks at the National Library of Wales,,Q7328910|Q2982955,,
"A Rake's Progress, Plate 6",Thomas Rowlandson,Q51588715,0,0,2,person involved in the 17th century publishing trade,,Q5,,
"A Rake's Progress, Plate 6",Thomas Rowlandson - Coventry,Q109716172,0,0,2,ink drawing by Thomas Rowlandson,,Q105870528,,
"A Rake's Progress, Plate 6",Thomas Rowlandson's Vauxhall Gardens : The Lives of a Print,Q131602484,0,0,2,journal article from 'Eighteenth-Century Life' published in 2015,Thomas Rowlandson's Vauxhall Gardens : The Lives of a Print,Q13442814,,
"A Rake's Progress, Plate 6",Thomas Rowlandson's transplanting of teeth: an analysis,Q48428904,0,0,2,"scientific article published on January 1, 2012",,Q13442814,,
"A Rake's Progress, Plate 6",William Hogarth,Q171344,0,0,2,"English painter, printmaker, pictorial satirist, social critic and editorial cartoonist (1697-1764)",Uilʹi︠a︡m Khogart|Guglielmo Hogarth|Khogart|William Horarth|Hogardt|hogarth sir w.|Hogarth|Horarth|sir wm. hogarth|Hogart|W. Hogarth|Hogard|hogarth w.,Q5,,William Hogarth
"A Rake's Progress, Plate 6",William Hogarth,Q8012395,0,0,2,Catholic bishop,,Q5,,William Hogarth (bishop)
"A Rake's Progress, Plate 6",William Hogarth,Q28047677,0,0,2,painting by William Hogarth,,Q3305213,,
"A Rake's Progress, Plate 6",William Hogarth,Q110247960,0,0,2,print by William Hogarth,,Q11060274,,
"A Rake's Progress, Plate 6",William T. Hogarth,Q115754366,0,0,2,American fisheries biologist,William Thomas Hogarth|Bill Hogarth|William Hogarth,Q5,,
"A Rake's Progress, Plate 6",Bill Hogarth,Q4909457,0,0,2,British trade unionist,William Hogarth,Q5,,Bill Hogarth
"A Rake's Progress, Plate 6",William Hogarth,Q112056691,0,0,2,temporary exhibition,,Q29023906,,
"A Rake's Progress, Plate 6",William Hogarth,Q110096917,0,0,2,etching - print made by Thomas Chambars,,Q18218093|Q11060274,,
"A Rake's Progress, Plate 6",William Hogarth,Q140337517,0,0,2,writer,,Q5,,
"A Rake's Progress, Plate 6",William Hogarth,Q110096899,0,0,2,etching - print made by Thomas Cook,,Q18218093|Q11060274,,
Borago cretica,Borago cretica,Q52513503,1,0,1,botanical illustration by Ferdinand Bauer,,Q11835431,,
Borago cretica,Borago cretica,Q52557542,1,0,1,botanical watercolour drawing by Ferdinand Bauer,,Q18761202,,
Borago cretica,Trachystemon creticum,Q3536285,1,0,1,species of plant,,Q16521,,
Borago cretica,borage,Q147075,1,0,2,species of plant,Borago officinalis|starflower,Q16521,Q11992872,Borage
Borago cretica,Borago officinalis,Q134545649,1,0,2,2005 stamp of Algeria,,Q1926935,,
Borago cretica,borage seed oil,Q4944279,1,0,2,oil derived from the seeds of Borago officinalis,Borago officinalis seed oil,Q7445643,,Borage seed oil
Borago cretica,borage leaf,Q103566559,1,0,2,leaf of Borago officinalis,Borago officinalis leaf,Q10675206|Q107122793,,
Borago cretica,borage oil,Q72451039,1,0,2,essential oil,borage extract|Borago officinalis extract|Borago officinalis oil,Q170885,,
Borago cretica,Borago officinalis L. attenuates UVB-induced skin photodamage via regulation of AP-1 and Nrf2/ARE pathway in normal human dermal fibroblasts and promotion of collagen synthesis in hairless mice,Q51411159,1,0,2,scientific article published on 27 February 2018,,Q13442814,,
Borago cretica,"Borago officinalis seed oil (BSO), a natural source of omega-6 fatty acids, attenuates fat accumulation by activating peroxisomal beta-oxidation both in C. elegans and in diet-induced obese rats",Q90456079,1,0,2,scientific article published on 01 August 2018,,Q13442814,,
Borago cretica,Cakile maritima,Q589913,1,0,2,Species of plant in family Brassicaceae,Sea Rocket,Q16521,,Cakile maritima
Borago cretica,Cakile maritima subsp. baltica,Q19399747,1,0,2,subspecies of plant,Cakile maritima baltica,Q16521,,
Borago cretica,Cakile maritima subsp. maritima,Q24688388,1,0,2,subspecies of plant,Cakile maritima maritima,Q16521,,
Borago cretica,Cakile maritima subsp. islandica,Q55830065,1,0,2,subspecies of plant,,Q16521,,
Borago cretica,Cakile maritima subsp. integrifolia,Q19608135,1,0,2,subspecies of plant,,Q16521,,
Borago cretica,Cakile maritima euxina,Q49559788,1,0,2,subspecies of plant,,Q16521,,
Borago cretica,Cakile maritima f. islandica,Q55830063,1,0,2,form of plant,,Q16521,,
Borago cretica,Cakile maritima var. geniculata,Q38542869,1,0,2,variety of plant,,Q16521,,
Borago cretica,Cakile maritima subsp. aegyptiaca,Q111528925,1,0,2,,,Q16521,,
Borago cretica,Cakile maritima var. latifolia,Q98136785,1,0,2,,,Q16521,,
Triomfboog voor het vroegere huis van de Fuggers,Triomfboog voor het vroegere huis van de Fuggers,Q56281684,2,0,1,Engraving; Made by Anoniem,,Q11835431,,
Triomfboog voor het vroegere huis van de Fuggers,Triomfboog voor het vroegere huis van de Fuggers (2),Q56282055,2,0,1,Engraving; Made by Anoniem,,Q11835431,,
Triomfboog voor het vroegere huis van de Fuggers,triumphal arch,Q143912,2,0,2,monumental structure in the shape of an archway,commemorative arch|honorific arch,,Q97466153,Triumphal arch
Triomfboog voor het vroegere huis van de Fuggers,Triomfboog van Genua (achterzijde),Q56259099,2,0,2,Etch; Made by Peeter I van der Borcht (ca. 1535 - 1608),,Q18218093,,
Triomfboog voor het vroegere huis van de Fuggers,Triomfboog als ingang van het paleis bij St. Michiels,Q56281692,2,0,2,Engraving; Made by Anoniem,,Q11835431,,
Triomfboog voor het vroegere huis van de Fuggers,Triomfboog van de stad Antwerpen (5),Q56282783,2,0,2,Print,,Q22669664,,
Triomfboog voor het vroegere huis van de Fuggers,Triomfboog van de Milanezen,Q56259074,2,0,2,Etch; Made by Peeter I van der Borcht (ca. 1535 - 1608),,Q18218093,,
Triomfboog voor het vroegere huis van de Fuggers,"Triomfboog ter ere van de H. Eugenius, bisschop van Toledo",Q56281675,2,0,2,Engraving; Made by Anoniem,,Q11835431,,
