data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Iraimbilanja,Iraimbilanja,Q15220615,0,0,1,Currency unit,,Q8142,,Iraimbilanja
Iraimbilanja,Iraimbilanja,Q24579030,0,0,1,Malagasy rock group,,Q215380,,
Iraimbilanja,ariary,Q4584,0,0,1,currency of Madagascar,Madagascan ariary|Malagasy ariary,Q8142|Q7048891,,Malagasy ariary
Europa,Europa,Q165170,1,0,1,"Phoenician character in Greek mythology, daughter of Agenor",Europe|Evropa,Q22988604|Q15632617,,Europa (consort of Zeus)
Europa,Europa,Q3734793,1,0,1,"32nd quarter of Rome, Italy",,Q1074955,,
Europa,Europe PubMed Central,Q5412157,1,0,1,database of biomedical research,HielohitooEurope PMC|UKPMhC|Arsingoli,Q1789476|Q1916557|Q4117139|Q7096323,,Europe PubMed Central
Europa,Europa,Q104554890,1,0,1,female given name,Europa (given name)|Europa (first name),Q11879590,,
Europa,Europa,Q3734794,1,0,1,seaplane carrier of the Italian Regia Marina,Italian seaplane carrier Europa|Manila,Q12859788|Q525365,,Italian seaplane carrier Europa
Europa,Europa,Q37135786,1,0,1,family name,,Q101352,,
Europa,Europa,Q3143,1,0,1,Galilean moon of Jupiter,Jupiter II|Europa (moon),Q61702557|Q1086783,,Europa (moon)
Europa,Europa,Q5412020,1,0,1,cargo ship,MV William Lester,Q105999,,Europa (AK-81)
Europa,Member of the European Parliament,Q27169,1,0,1,person who has been elected to serve as a popular representative in the European Parliament,MEP|europarliamentarian|eurodeputy,,Q1055894|Q486839,Member of the European Parliament
Europa,EP Europace,Q2596718,1,0,1,journal,"European Pacing, Arrhythmias, and Cardiac Electrophysiology : Journal  of the Working Groups on Cardiac Pacing, Arrhythmias, and Cardiac Cellular Electrophysiology of the European Society of Cardiology|Europace : Journal  of the Working Groups on Cardiac Pacing, Arrhythmias, and Cardiac Cellular Electrophysiology of the European Society of Cardiology|Europace (London, England)|Europace",Q5633421|Q16024164,,EP Europace
Europa,Io,Q3123,1,0,2,innermost of the 4 Galilean moons of Jupiter,Jupiter I|Io (moon),Q61702557|Q1086783,,Io (moon)
Europa,Jupiter I,Q137755421,1,0,2,ship built in 2010,,Q11446,,
Europa,Ganymede,Q3169,1,0,2,Galilean moon of Jupiter,Jupiter III,Q61702557|Q85793519|Q1086783,,Ganymede (moon)
Europa,Callisto,Q3134,1,0,2,second largest Galilean moon of Jupiter and third largest in the solar system,Jupiter IV,Q61702557|Q1086783,,Callisto (moon)
Europa,Io,Q98906253,1,0,2,Io as depicted in Star Trek,Jupiter I|Star Trek Io,Q108061284,,
Europa,Sinope,Q17433,1,0,2,moon of Jupiter,Jupiter IX,Q61702557|Q1632885,,Sinope (moon)
Europa,Jupiter Island,Q2154628,1,0,2,town in Florida,"Jupiter Island, FL",Q15127012,,"Jupiter Island, Florida"
Europa,Jupiter Inlet Colony,Q2036793,1,0,2,"town in Palm Beach County, Florida, United States","Jupiter Inlet Beach Colony|Jupiter Inlet Colony, FL",Q15127012,,"Jupiter Inlet Colony, Florida"
Europa,Jupiter,Q2110728,1,0,2,classical astrological planet,Jupiter in astrology|astrological Jupiter,Q1135397|Q1460138,,Jupiter (astrology)
Euro,Europe PubMed Central,Q5412157,2,0,1,database of biomedical research,HielohitooEurope PMC|UKPMhC|Arsingoli,Q1789476|Q1916557|Q4117139|Q7096323,,Europe PubMed Central
Euro,euro,Q4916,2,0,1,currency of most countries in the European Union,,Q8142|Q25401445,,Euro
Euro,Euro,Q64899055,2,0,1,given name,,Q12308941,,
Euro,Euro,Q105978809,2,0,1,2021 song by SCH,,Q55850593,,
Euro,Europe,Q46,2,0,1,terrestrial continent located in north-western Eurasia,European continent|The Old Continent|European Continent|European Peninsula|Old Continent,Q2418896|Q5107|Q82794|Q2221906,,Europe
Euro,European Journal of Inorganic Chemistry,Q899591,2,0,1,peer-reviewed scientific journal,,Q5633421|Q737498|Q73364223,,European Journal of Inorganic Chemistry
Euro,Europeana,Q234110,2,0,1,digital collection of European cultural heritage operated by the Europeana Foundation,,Q212805,,Europeana
Euro,European Journal of Organic Chemistry,Q899286,2,0,1,journal,Eur. J. Org. Chem.,Q5633421|Q737498,,European Journal of Organic Chemistry
Euro,European Nature Information System,Q374924,2,0,1,,EUNIS|European University Information Systems,Q7094076|Q4117139|Q8513,,European Nature Information System
Euro,Eurostat,Q217659,2,0,1,statistics agency of the European Union,European Statistical Office,Q131376155|Q480242,,Eurostat
Euro,currency,Q8142,2,0,2,generally accepted medium of exchange for goods or services,monetary unit|unit of money|money unit|currencies,,Q11105360|Q47574|Q1368|Q65240001,Currency
Euro,Curren$y,Q1144846,2,0,2,American rapper (born 1981),Shante Scott Franklin|Juke|Spitta Andretti|Shante Franklin|Shante Anthony Franklin|Currency,Q5,,Currensy
Euro,Currency Press,Q5194999,2,0,2,specialist performing arts publisher in Australia,,Q2085381,,Currency Press
Euro,Currency,Q63520572,2,0,2,"parish of Cook County, New South Wales, Australia",Parish of Currency|Currency Parish,Q28931760,,
Euro,Almoravid dinar,Q12212542,2,0,2,a gold dinar coin minted under the Almoravid dynasty,currency,Q8142,,Almoravid dinar
Euro,Currency,Q9197165,2,0,2,album by Lil Keke,,Q482994,,Currency (album)
Euro,Currency.com,Q110462331,2,0,2,cryptocurrency exchange,"Currency Com US LLC , Currency Com, Currency Com Limited, Currency.com",Q4830453|Q13440398,,
Euro,peso,Q4730,2,0,2,currency of Mexico,MX$|Mexican centavo|MXN|Mexican nuevo peso|currency of Mexico|Mexican new peso|Mexican peso,Q8142|Q1643989|Q244696,,Mexican peso
Euro,Currency,Q5194988,2,0,2,2009 Malayalam film,,Q11424,,Currency (film)
Euro,Currency,Q33696093,2,0,2,essay by George Lang,,Q47461344,,
Euro,Economic and Monetary Union of the European Union,Q212141,2,0,2,set of States of the European Union that form a single market and use a single currency,European Economic and Monetary Union|European Monetary Union|EMU,Q1125321|Q3623811,,Economic and Monetary Union of the European Union
Euro,"European Monetary Union, Euro and Impacts of Euro on TRNC Economy Based on a Possible Membership of TRNC to EMU",Q128137980,2,0,2,scholarly article,,Q13442814,,
Euro,European Monetary Union and the New Political Economy of Adjustment,Q57916406,2,0,2,,,Q13442814,,
Euro,European Monetary Union reform preferences of French and German parliamentarians,Q128161023,2,0,2,scholarly article,,Q13442814,,
Euro,European monetary union and the outsiders,Q58255781,2,0,2,,,Q13442814,,
Lumi,Lumi,Q11879779,3,0,1,female given name,,Q11879590,,
Lumi,LUMI,Q107619153,3,0,1,European supercomputer,,Q121117,,LUMI
Lumi,Lumi,Q6703213,3,0,1,Edward Vesala album,,Q482994,,Lumi (album)
