data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Algiers,Algiers,Q3561,0,0,1,capital city of Algeria,,Q486972|Q515|Q5119,,Algiers
Algiers,Algiers,Q19954293,0,0,1,album by Algiers,,Q482994,,Algiers (Algiers album)
Algiers,Algiers Province,Q141026,0,0,1,province of Algeria,DZ-16|Algiers|Province of Algiers,Q240601,,Algiers Province
Algiers,Algiers band,Q20012828,0,0,1,"Algiers is an American Rock band from Atlanta, Georgia, United States",,Q215380,,Algiers (band)
Algiers,Algiers,Q4724224,0,0,1,"community within the city of New Orleans, Louisiana, United States","Algiers, New Orleans|Algiers, Louisiana",Q123705|Q17343829,,"Algiers, New Orleans"
Algiers,Algiers,Q1414527,0,0,1,1938 film directed by John Cromwell,,Q11424,,Algiers (1938 film)
Algiers,Algiers,Q3095611,0,0,1,railway station in Algeria,,Q55488|Q1567913,,Algiers railway station
Algiers,Algiers,Q16800436,0,0,1,human settlement in United States of America,"Algiers, Indiana",Q17343829,,"Algiers, Indiana"
Algiers,Algiers,Q4724226,0,0,1,Calexico album,,Q482994,,Algiers (Calexico album)
Algiers,Algiers,Q6962073,0,0,1,Israeli rock band,,Q5741069,,
Algiers,"ALGIERS, ALGERIA, NORTH AFRICA, WORLD WAR II ; BRITISH PLANE ATTACKS GERMAN MINELAYER (NAID 15642)",Q67689140,0,0,2,item in the National Archives and Records Administration's holdings,,Q18593264,,
Algiers,"ALGIERS, ALGERIA, NORTH AFRICA ; RE-ENACTED SCENES FOR PRACTICE LANDING OPERATIONS (NAID 15604)",Q67688875,0,0,2,item in the National Archives and Records Administration's holdings,,Q18593264,,
Antananarivo,Antananarivo,Q3915,1,0,1,capital and largest city of Madagascar,Tananarive|Iarivo|Analamanga,Q1549591|Q108178728,,Antananarivo
Antananarivo,Antananarivo Province,Q489821,1,0,1,region of Madagascar,,Q864133,,Antananarivo Province
Antananarivo,Antananarivo-Avaradrano,Q3030868,1,0,1,district of Madagascar,Antananarivo-Avaradrano (district),Q3556789,,Antananarivo-Avaradrano District
Antananarivo,University of Antananarivo,Q1443595,1,0,1,public university in Madagascar,Tananarive University|Antananarivo University|univ-antananarivo.mg,Q3918,,University of Antananarivo
Antananarivo,Antananarivo,Q65280779,1,0,1,,,Q486972,,
Antananarivo,Antananarivo III,Q136958641,1,0,1,,,Q3556789,,
Antananarivo,Antananarivo II,Q132167568,1,0,1,,,Q3556789,,
Antananarivo,Antananarivo IV,Q131843774,1,0,1,,,Q3556789,,
Antananarivo,Antananarivo VI,Q136959282,1,0,1,,,Q123964119|Q3556789,,
Antananarivo,Antananarivo I,Q136957433,1,0,1,,,Q3556789,,
Antananarivo,Tana,Q80441075,1,0,2,female given name,,Q11879590,,
Antananarivo,Tana,Q27181153,1,0,2,family name,Tana (family name)|Tana (surname),Q101352,,
Antananarivo,Tana,Q9081721,1,0,2,genus of insects,,Q16521,,Tana (fly)
Antananarivo,Tana,Q17389366,1,0,2,genus of plants,,Q16521,,Tana bojeriana
Antananarivo,Tana Municipality,Q483964,1,0,2,"municipality in Finnmark, Norway",Deanu gielda,Q755707,,Tana Municipality
Antananarivo,Tana,Q3299283,1,0,2,1958 film by Kristaq Dhamo,,Q11424,,Tana (film)
Antananarivo,Tana,Q41158613,1,0,2,genus of mammals,,Q16521,,
Antananarivo,Tanacetum,Q54016,1,0,2,genus of plants,,Q16521,,Tanacetum
Antananarivo,Tanacetum vulgare,Q27079,1,0,2,species of plant,tansy|bitter buttons,Q16521,Q157957|Q21028485,Tansy
Antananarivo,Tanacetum parthenium,Q818481,1,0,2,species of plant,feverfew|featherfew,Q16521,,Tanacetum parthenium
Gitega,Gitega Province,Q720843,2,0,1,province of Burundi,,Q476075,,Gitega Province
Gitega,Gitega,Q167551,2,0,1,capital of Burundi,Kitega,Q515,,Gitega
Gitega,Gitega Airport,Q2030362,2,0,1,airport serving Gitega in Burundi,GID|Gitega,Q1248784,,Gitega Airport
Gitega,Gitega,Q31457932,2,0,1,,,Q12357832,,
Gitega,Commune of Gitega,Q5154013,2,0,1,"commune in Gitega Province, Burundi",,Q1577513,,Commune of Gitega
Gitega,Gitega Sector,Q18814517,2,0,1,Sector in Nyarugenge District of Rwanda,,Q3058029,,Gitega (Rwanda)
Gitega,Gitega,Q21333066,2,0,1,watercourse in Burundi,,Q355304,,
Gitega,Gitega prison fire,Q109982536,2,0,1,2021 disaster in Burundi,,Q1190554|Q168983,,Gitega prison fire
Gitega,Gitega Regional Hospital,Q127962619,2,0,1,"hospital in Gitega Province, Burundi",,Q16917,,Gitega Regional Hospital
Gitega,Gitega's French Alliance,Q119947350,2,0,1,cultural centre and an establishment offering courses in French as a foreign language,,Q1329623,,
Gitega,Burundi,Q967,2,0,2,sovereign state in Africa,Republic of Burundi|bi|Republika y'Uburundi|Gouvernement du Burundi,Q3624078|Q123480|Q6256,,Burundi
Gitega,Burundi men's national football team,Q459110,2,0,2,national association football team,Burundi national football team,Q135408445,Q1194951,Burundi national football team
Gitega,Burundi,Q2928649,2,0,2,album by Michel Portal,,Q482994,,
Gitega,Burundiaphis,Q18103546,2,0,2,genus of insects,,Q16521,,
