data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Liston,Liston,Q16872304,0,0,1,family name,,Q101352,,Liston (surname)
Liston,Liston,Q2704418,0,0,1,"village and civil parish in Essex, United Kingdom","Liston, Essex",Q532|Q1115575,,"Liston, Essex"
Liston,Liston,Q65073514,0,0,1,"street in Corfu, Greece",,Q79007|Q369730,,Liston (Corfu)
Liston,Liston,Q29353428,0,0,1,given name,,Q202444,,
Liston,Aaron Liston,Q18986750,0,0,1,botanist,Liston|Aaron Irving Liston|A. I. Liston|Aaron I. Liston,Q5,,
Liston,Liston,Q3834931,0,0,1,square that is met in cities which were once under venetian rule,,Q177749,,Liston (square)
Liston,Listonella anguillarum,Q6646558,0,0,1,species of bacterium,,Q16521,,Listonella anguillarum
Liston,Listonella,Q6646554,0,0,1,genus of bacteria,,Q16521,,Listonella
Liston,Listonella anguillara,Q61955028,0,0,1,,,Q16521,,
Liston,Liston,Q6646540,0,0,1,"town in New South Wales, Australia","Liston, New South Wales|Liston, New South Wales, Australia",Q3957|Q3257686,,"Liston, New South Wales"
Ninda,Ninda,Q31248106,1,0,1,mountain in Rwanda,,Q8502,,
Ninda,ninda,Q28151167,1,0,1,ancient Mesopotamian unit of volume,akalu,Q1302471,,
Ninda,Ninda,Q10336957,1,0,1,,,Q1841580,,
Ninda,Ninda,Q6612827,1,0,1,"town in Victoria, Australia","Ninda, Victoria|Ninda, Victoria, Australia",Q3957,,Ninda
Ninda,Ninda,Q39549708,1,0,1,river in Zambia,,Q4022,,
Ninda,Ninda,Q21407004,1,0,1,river in Angola,,Q4022,,
Ninda,Ninda,Q108087348,1,0,1,"Fenland of national importance in Savièse, canton Valais, Switzerland",VS-1801,Q473972,,
Ninda,Nindamos,Q6043147,1,0,1,fictional village in the island of Númenor,,Q82551957,,
