data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
HD 135297,HD 135297,Q12065384,0,0,1,star,,Q6243|Q1141942|Q67206691,,
BK Gru,BK Gru,Q5715694,1,0,1,variable star,,Q1142192|Q1141942|Q2247863|Q67206785|Q2168098,,
CPD-59 921A,CPD-59 921A,Q66636085,2,0,1,star in the constellation Carina,HD 64784,Q523|Q13890|Q1141942,,
CPD-59 921A,Epsilon Reticuli B,Q85522697,2,0,2,white dwarf in the constellation Reticulum,CPD-59 324B|WD 0415-594|WDS J04165-5918B|HD 27442B|eps Ret B|CCDM J04165-5918B|IDS 04148-5932 B|ε Reticuli B|ε Ret B,Q5871|Q13890|Q71798788,,
CPD-59 921A,HD 305437,Q78758466,2,0,2,star in the constellation Carina,,Q67206691|Q1993624|Q523,,
CPD-59 921A,CPD-59 2490,Q77597506,2,0,2,star in the constellation Carina,,Q523,,
CPD-59 921A,CPD-59 2574,Q77590407,2,0,2,star in the constellation Carina,,Q523|Q11387|Q2154519,,
CPD-59 921A,HD 307188,Q67859482,2,0,2,star in the constellation Centaurus,,Q13890|Q523,,
CPD-59 921A,CPD-59 2605,Q77584962,2,0,2,star in the constellation Carina,,Q523|Q71797766|Q67206691,,
CPD-59 921A,HD 306978,Q67859478,2,0,2,star in the constellation Centaurus,,Q13890|Q523|Q67206691,,
CPD-59 921A,CPD-59 1738,Q87017838,2,0,2,star in the constellation Carina,,Q523|Q67206691|Q13890,,
CPD-59 921A,V572 Carina,Q86237905,2,0,2,spectroscopic binary in the Carina constellation,,Q1993624|Q2154519|Q24452,,
CPD-59 921A,Frumkin Correction of Corrosion Electric Field Generated by 921A Steel,Q118331498,2,0,2,,,Q13442814,,
HD 171247,HD 171247,Q7268325,3,0,1,star,,Q6243|Q1141942|Q13890|Q67206785|Q71798788,,
HD 171247,star,Q523,3,0,2,astronomical object consisting of a luminous spheroid of plasma held together by its own gravity,celestial star|stars|celestial stars|the stars|stellar,Q17444909,Q6999|Q1027098|Q1146001,Star
HD 171247,Star Trek,Q1092,3,0,2,science fiction media franchise,Star Trek franchise|StarTrek,Q196600,,Star Trek
HD 171247,Star,Q37529922,3,0,2,family name,,Q101352,,
HD 171247,Star Wars,Q462,3,0,2,epic space opera multimedia franchise created by George Lucas,,Q196600|Q431289|Q130371093,,Star Wars
HD 171247,Star,Q381936,3,0,2,international racing sailing class,,Q106179098|Q3511280,Q474161,Star (keelboat)
HD 171247,celebrity,Q211236,3,0,2,prominent person who commands some degree of public fascination and appears in the media,famous person|prominent person|famous persons|celebrities|public figures|star|icon,Q12737077|Q214339,Q215627,Celebrity
HD 171247,STAR,Q3480422,3,0,2,"public transport network in Rennes, France",,Q18325841,,
HD 171247,Starnberg,Q61936,3,0,2,"city in Bavaria, Germany",,Q134626|Q42744322,,Starnberg
HD 171247,Star TV,Q2067812,3,0,2,Turkey-based cable television channel,Magic Box|Star Magic Box,Q1616075,,Star TV (Turkey)
HD 171247,Starz Entertainment,Q515869,3,0,2,Canadian-American entertainment company,Lions Gate Entertainment Corporation|Lionsgate,Q891723|Q4830453|Q6881511,,Starz Entertainment
HD 171247,planetary system,Q206717,3,0,2,set of non-stellar objects in orbit around a star,star system|sun system|planet system,Q17444909,Q15053549,Planetary system
HD 171247,star system,Q595871,3,0,2,"type of astronomical object, stars which orbit each other",stellar system|multiple star|multiple stars|multiple star system|sun system,Q17444909,Q15053549|Q6999,Star system
HD 171247,star system,Q2333293,3,0,2,"creating, promoting and exploiting stars in Hollywood films",star machine,Q58778,Q580995,Star system (filmmaking)
HD 171247,STAR System World Kickboxing Ratings,Q7394680,3,0,2,"the premier rating service for international kickboxing,",,Q43229,,STAR System World Kickboxing Ratings
HD 171247,Star System Tenopia,Q135106451,3,0,2,novel by Richard Brightfield,,Q7725634,,
HD 171247,Star Systems,Q130379854,3,0,2,"Artists' loft, studio and performing arts space in Boston's South End",24 Thayer|Star Systems loft,Q746628|Q8719053|Q699405,,
HD 171247,Star system,Q106848031,3,0,2,episode of Le Jour où tout a basculé,,Q21191270,,
HD 171247,STAR,Q7394670,3,0,2,interbank network,,Q4830453,,STAR (interbank network)
HD 171247,Star system,Q113173696,3,0,2,,,Q215380,,
HD 171247,How to Lose Friends & Alienate People,Q770158,3,0,2,2008 film by Robert B. Weide,,Q11424,,How to Lose Friends & Alienate People (film)
HD 99563,HD 99563,Q12071042,4,0,1,variable star,,Q1142192|Q50053|Q6243|Q1141942|Q67206691,,
HD 99563,HD 99563B,Q89591838,4,0,1,star in the constellation Crater,,Q523,,
HD 99563,HD 99563A,Q89591894,4,0,1,star in the constellation Crater,,Q523,,
HD 99563,star,Q523,4,0,2,astronomical object consisting of a luminous spheroid of plasma held together by its own gravity,celestial star|stars|celestial stars|the stars|stellar,Q17444909,Q6999|Q1027098|Q1146001,Star
HD 99563,Star Trek,Q1092,4,0,2,science fiction media franchise,Star Trek franchise|StarTrek,Q196600,,Star Trek
HD 99563,Star,Q37529922,4,0,2,family name,,Q101352,,
HD 99563,Star Wars,Q462,4,0,2,epic space opera multimedia franchise created by George Lucas,,Q196600|Q431289|Q130371093,,Star Wars
HD 99563,Star,Q381936,4,0,2,international racing sailing class,,Q106179098|Q3511280,Q474161,Star (keelboat)
HD 99563,celebrity,Q211236,4,0,2,prominent person who commands some degree of public fascination and appears in the media,famous person|prominent person|famous persons|celebrities|public figures|star|icon,Q12737077|Q214339,Q215627,Celebrity
HD 99563,STAR,Q3480422,4,0,2,"public transport network in Rennes, France",,Q18325841,,
HD 99563,Starnberg,Q61936,4,0,2,"city in Bavaria, Germany",,Q134626|Q42744322,,Starnberg
HD 99563,Star TV,Q2067812,4,0,2,Turkey-based cable television channel,Magic Box|Star Magic Box,Q1616075,,Star TV (Turkey)
HD 99563,Starz Entertainment,Q515869,4,0,2,Canadian-American entertainment company,Lions Gate Entertainment Corporation|Lionsgate,Q891723|Q4830453|Q6881511,,Starz Entertainment
HD 99563,planetary system,Q206717,4,0,2,set of non-stellar objects in orbit around a star,star system|sun system|planet system,Q17444909,Q15053549,Planetary system
HD 99563,star system,Q595871,4,0,2,"type of astronomical object, stars which orbit each other",stellar system|multiple star|multiple stars|multiple star system|sun system,Q17444909,Q15053549|Q6999,Star system
HD 99563,star system,Q2333293,4,0,2,"creating, promoting and exploiting stars in Hollywood films",star machine,Q58778,Q580995,Star system (filmmaking)
HD 99563,STAR System World Kickboxing Ratings,Q7394680,4,0,2,"the premier rating service for international kickboxing,",,Q43229,,STAR System World Kickboxing Ratings
HD 99563,Star System Tenopia,Q135106451,4,0,2,novel by Richard Brightfield,,Q7725634,,
