data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Nilavagilu,Nilavagilu,Q7036902,0,0,1,"village in Hunsur tehsil, Mysore district",,Q56436498,,Nilavagilu
Nilavagilu,Nilavagilu,Q66457401,0,0,1,village in Chikmagaluru District,,Q56436498,,
Nilavagilu,Nilavagilu Betta,Q31209638,0,0,1,,,Q740445,,
Nilavagilu,Nilavagilukaval,Q98846289,0,0,1,"village in Hunsur tehsil, Mysore district",,Q56436498,,
Nilavagilu,Chikkaballapura district,Q1072629,0,0,2,"district of Karnataka, India",,Q1149652,,Chikkaballapura district
Nilavagilu,Chikkaballapur,Q1023689,0,0,2,"town in Karnataka, India",Chikkaballapura,Q3957,,Chikkaballapur
Nilavagilu,Chikkaballapur railway station,Q31292016,0,0,2,railway station in Karnataka India,,Q55488,,
Nilavagilu,2020 COVID-19 pandemic in Chikkaballapura district,Q88247025,0,0,2,Corona statistics,"2020 coronavirus outbreak in Chikkaballapura district|2020 Chikkaballapura district COVID-19 pandemic|Chikkaballapura district COVID-19 pandemic|2020 COVID pandemic in Chikkaballapura district|2020 COVID-19 pandemic in Chikkaballapura district, India|COVID-19 pandemic in Chikkaballapura district, India",Q3241045,,
Jhilimili,Jhilimili,Q6191068,1,0,1,village in Bankura district,,Q56436498,,Jhilimili
Jhilimili,Jhilimili,Q60761082,1,0,1,,,Q56436498,,
Jhilimili,Jhilimili Sub-centre,Q61411374,1,0,1,Sub-centre in West Bengal,,Q61278455,,
Jhilimili,Jhilimili Primary Health Centre,Q61441936,1,0,1,Primary Health Centre in West Bengal,,Q7243073,,
Jhilimili,Jhilimili Coalfield,Q6191065,1,0,1,,,Q2887554,,Jhilimili Coalfield
Jhilimili,Jhilimili Girl's Jr. High School,Q67457321,1,0,1,,,Q19855165|Q64063386|Q22713629,,
Jhilimili,Jhilimili High School,Q67457325,1,0,1,,,Q19855165|Q64062731|Q11902693,,
Jhilimili,Jhilimili SSK,Q73624864,1,0,1,"primary school in Jhargram district, West Bengal, India",,Q9842|Q19855165|Q11902693,,
Jhilimili,Jhilimili Branch Post Office,Q69784111,1,0,1,,,Q61443690,,
Jhilimili,Jhilimili J.B.S,Q67457327,1,0,1,"primary school in Bankura district, West Bengal, India",,Q19855165|Q9842|Q11902693,,
Jayrambati,Jayrambati,Q6167955,2,0,1,village in Bankura district,,Q56436498,,Jayrambati
Jayrambati,Jayrambati,Q60652295,2,0,1,village in India,,Q56436498,,
