data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Labasa,Labasa,Q26423002,0,0,1,"village in Muna Regency, Southeast Sulawesi, Indonesia",,Q26211545,,
Labasa,Labasa,Q579556,0,0,1,town in Fiji,,Q3957,,Labasa
Labasa,Laba Sari,Q26219135,0,0,1,"village in Karangasem Regency, Bali, Indonesia",Labasari|Desa Labasari,Q26211545,,
Labasa,Labasan,Q37182578,0,0,1,family name,,Q101352,,
Labasa,Labasa F.C.,Q1557366,0,0,1,association football club,,Q476028,,Labasa F.C.
Labasa,Labasa,Q6466779,0,0,1,former electoral constituency of Fiji,,,,"Labasa (Open Constituency, Fiji)"
Labasa,Labasa,Q6466777,0,0,1,former electoral constituency in Fiji,,,,"Labasa (Indian Communal Constituency, Fiji)"
Labasa,Achmed Labasanov,Q4673831,0,0,1,Russian martial artist,Labasanov Achmed,Q5,,
Labasa,Labasa Airport,Q6387085,0,0,1,airport in Fiji,LBS|NFNL,Q1248784|Q94993988,,Labasa Airport
Labasa,Labasa Mill Tramway,Q56907616,0,0,1,rail line,,Q256324,,Labasa Mill Tramway
Labasa,Labasa River,Q6466783,0,0,2,river in Fiji,,Q4022,,Labasa River
Labasa,Labasa district,Q136480708,0,0,2,,,Q56061,,
Labasa,Labasa College,Q16931766,0,0,2,,,,,Labasa College
Newmarket,Newmarket,Q1382713,1,0,1,"market town in Suffolk, England","Newmarket, Suffolk",Q3957|Q1115575|Q18511725,,"Newmarket, Suffolk"
Newmarket,Newmarket,Q33831623,1,0,1,"civil parish in Suffolk, United Kingdom",,Q14757767|Q1115575,,
Newmarket,Newmarket,Q52999,1,0,1,"town in York Region, Ontario, Canada","Newmarket, Ontario|Newmarket, ON|Town of Newmarket",Q3957|Q15210668,,"Newmarket, Ontario"
Newmarket,Newmarket,Q14935250,1,0,1,"railway station in Flemington, Melbourne, Victoria, Australia",Newmarket railway station|Newmarket station|NKT,Q55488|Q22808404,,"Newmarket railway station, Melbourne"
Newmarket,Newmarket,Q2304578,1,0,1,town in New Hampshire,"Newmarket, New Hampshire|Newmarket NH|Newmarket N.H.|Newmarket, NH",Q2154459,,"Newmarket, New Hampshire"
Newmarket,Newmarket,Q664903,1,0,1,"suburb of Auckland, New Zealand","Newmarket, Auckland|Newmarket, New Zealand",Q188509|Q3957,,"Newmarket, New Zealand"
Newmarket,Newmarket,Q4328368,1,0,1,"village in Munster, Ireland",,Q486972,,"Newmarket, County Cork"
Newmarket,Trelawnyd,Q7837982,1,0,1,"village in Flintshire, Wales, United Kingdom",Newmarket,Q532,,Trelawnyd
Newmarket,Newmarket,Q59724626,1,0,1,"electoral district in County Cork, Ireland",,Q2500304,,
Newmarket,Newmarket,Q59723745,1,0,1,"electoral district in County Clare, Ireland",,Q2500304,,
Newmarket,Newmarket Racecourse,Q16998889,1,0,2,horse racing venue in England,,Q11822917,,Newmarket Racecourse
Newmarket,Newmarket,Q1382713,2,0,1,"market town in Suffolk, England","Newmarket, Suffolk",Q3957|Q1115575|Q18511725,,"Newmarket, Suffolk"
Newmarket,Newmarket,Q33831623,2,0,1,"civil parish in Suffolk, United Kingdom",,Q14757767|Q1115575,,
Newmarket,Newmarket,Q52999,2,0,1,"town in York Region, Ontario, Canada","Newmarket, Ontario|Newmarket, ON|Town of Newmarket",Q3957|Q15210668,,"Newmarket, Ontario"
Newmarket,Newmarket,Q14935250,2,0,1,"railway station in Flemington, Melbourne, Victoria, Australia",Newmarket railway station|Newmarket station|NKT,Q55488|Q22808404,,"Newmarket railway station, Melbourne"
Newmarket,Newmarket,Q2304578,2,0,1,town in New Hampshire,"Newmarket, New Hampshire|Newmarket NH|Newmarket N.H.|Newmarket, NH",Q2154459,,"Newmarket, New Hampshire"
Newmarket,Newmarket,Q664903,2,0,1,"suburb of Auckland, New Zealand","Newmarket, Auckland|Newmarket, New Zealand",Q188509|Q3957,,"Newmarket, New Zealand"
Newmarket,Newmarket,Q4328368,2,0,1,"village in Munster, Ireland",,Q486972,,"Newmarket, County Cork"
Newmarket,Trelawnyd,Q7837982,2,0,1,"village in Flintshire, Wales, United Kingdom",Newmarket,Q532,,Trelawnyd
