data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
University of Chicago,University of Chicago,Q131252,0,0,1,"private university in Chicago, Illinois",Chicago University|U of C|UChicago|uchicago.edu|U Chicago|Univ. of Chicago,Q902104|Q23002054|Q15936437,,University of Chicago
University of Chicago,University of Chicago Law School,Q1036763,0,0,1,law school,University of Chicago School of Law|UChicago Law School,Q1321960,,University of Chicago Law School
University of Chicago,University of Chicago Press,Q1814982,0,0,1,publisher in the United States,,Q479716|Q1320047,,University of Chicago Press
University of Chicago,Booth School of Business,Q2963304,0,0,1,"graduate business school located in Chicago, Illinois, at the University of Chicago",University of Chicago Booth School of Business|University of Chicago Graduate School of Business,Q1143635,,University of Chicago Booth School of Business
University of Chicago,Pritzker School of Medicine,Q7245998,0,0,1,medical school at the University of Chicago,Chicago School of Medicine|University of Chicago School of Medicine|University of Chicago College of Medicine,Q494230,,Pritzker School of Medicine
University of Chicago,UChicago Medicine,Q7895258,0,0,1,American medical network (2006-),University of Chicago Medical Center|University of Chicago Medicine,Q16917|Q163740,,University of Chicago Medical Center
University of Chicago,University of Chicago Laboratory Schools,Q3551351,0,0,1,"private secondary school in Chicago, United States",,Q3914,,University of Chicago Laboratory Schools
University of Chicago,University of Chicago Law Review,Q7895257,0,0,1,journal,The University of Chicago Law Review,Q746654,,University of Chicago Law Review
University of Chicago,University of Chicago Divinity School,Q7895255,0,0,1,private seminary in Chicago,,Q2385804,,University of Chicago Divinity School
University of Chicago,University of Chicago Library,Q7895259,0,0,1,library,Library of the University of Chicago|The University of Chicago Library,Q856234|Q2085381,,University of Chicago Library
mixed-sex education,mixed-sex education,Q541394,0,1,1,system of education where males and females are educated together,coeducation|mixed-gender education|co-education,,Q8434,Mixed-sex education
mixed-sex education,University of Chicago,Q131252,0,1,2,"private university in Chicago, Illinois",Chicago University|U of C|UChicago|uchicago.edu|U Chicago|Univ. of Chicago,Q902104|Q23002054|Q15936437,,University of Chicago
mixed-sex education,University of Chicago Law School,Q1036763,0,1,2,law school,University of Chicago School of Law|UChicago Law School,Q1321960,,University of Chicago Law School
mixed-sex education,University of Chicago Press,Q1814982,0,1,2,publisher in the United States,,Q479716|Q1320047,,University of Chicago Press
mixed-sex education,Booth School of Business,Q2963304,0,1,2,"graduate business school located in Chicago, Illinois, at the University of Chicago",University of Chicago Booth School of Business|University of Chicago Graduate School of Business,Q1143635,,University of Chicago Booth School of Business
mixed-sex education,Pritzker School of Medicine,Q7245998,0,1,2,medical school at the University of Chicago,Chicago School of Medicine|University of Chicago School of Medicine|University of Chicago College of Medicine,Q494230,,Pritzker School of Medicine
mixed-sex education,UChicago Medicine,Q7895258,0,1,2,American medical network (2006-),University of Chicago Medical Center|University of Chicago Medicine,Q16917|Q163740,,University of Chicago Medical Center
mixed-sex education,University of Chicago Laboratory Schools,Q3551351,0,1,2,"private secondary school in Chicago, United States",,Q3914,,University of Chicago Laboratory Schools
mixed-sex education,University of Chicago Law Review,Q7895257,0,1,2,journal,The University of Chicago Law Review,Q746654,,University of Chicago Law Review
mixed-sex education,University of Chicago Divinity School,Q7895255,0,1,2,private seminary in Chicago,,Q2385804,,University of Chicago Divinity School
mixed-sex education,University of Chicago Library,Q7895259,0,1,2,library,Library of the University of Chicago|The University of Chicago Library,Q856234|Q2085381,,University of Chicago Library
University of Chicago Press,University of Chicago Press,Q1814982,0,2,1,publisher in the United States,,Q479716|Q1320047,,University of Chicago Press
University of Oregon,University of Oregon,Q766145,1,0,1,"public research university in Eugene, Oregon, USA",UO|Oregon|U of O|uoregon.edu|UOregon,Q875538|Q15936437|Q23002039,,University of Oregon
University of Oregon,Oregon Health and Science University,Q282097,1,0,1,"public university in Portland, Oregon, USA",OHSU|Oregon Health and Sciences University|Oregon Health & Science University; OHSU|University of Oregon Health Sciences Center|Oregon Health Sciences University|Oregon Health and Science University|Oregon Health & Science University,Q875538|Q23002039,,Oregon Health and Science University
University of Oregon,Oregon Ducks men's basketball,Q7101188,1,0,1,basketball team representing the University of Oregon,Oregon Ducks men's basketball team|Oregon Ducks basketball team|Oregon Ducks basketball|Ducks men's basketball team|Ducks men's basketball|Ducks basketball team|Ducks basketball|Oregon men's basketball team|Oregon men's basketball|Oregon basketball team|Oregon basketball|University of Oregon Ducks men's basketball team|University of Oregon Ducks men's basketball|University of Oregon Ducks basketball team|University of Oregon Ducks basketball|University of Oregon men's basketball team|University of Oregon men's basketball|University of Oregon basketball team|University of Oregon basketball|O Ducks men's basketball team|O Ducks men's basketball|O Ducks basketball team|O Ducks basketball,Q13393265|Q18558301,,Oregon Ducks men's basketball
University of Oregon,University of Oregon,Q105651530,1,0,1,"bus stop in Eugene, Oregon",U. of Oregon Hayward Field|Hayward Field|University of Oregon Hayward Field|University of Oregon School of Law|School of Law|Knight Law Center,Q953806,,
University of Oregon,Oregon Ducks,Q200410,1,0,1,intercollegiate sports teams of the University of Oregon,University of Oregon sports teams|University of Oregon Ducks,Q2367225,,Oregon Ducks
University of Oregon,University of Oregon College of Education,Q19882082,1,0,1,college within University of Oregon,College of Education|COE|University of Oregon School of Education|School of Education,Q180958,,
University of Oregon,University of Oregon Department of Computer Science,Q18636191,1,0,1,academic department at University of Oregon,University of Oregon Department of Computer and Information Science|Department of Computer Science at the University of Oregon,Q2467461,,UO Computer and Information Science Department
University of Oregon,University of Oregon Anthropology Department,Q98469225,1,0,1,academic department at University of Oregon,University of Oregon Department of Anthropology,Q2467461,,
University of Oregon,University of Oregon Department of Data Science,Q104799361,1,0,1,academic department at the University of Oregon,UO Data Science Department|University of Oregon Data Science Department,Q2467461,,
University of Oregon,University of Oregon Food Studies Program,Q104602905,1,0,1,education program at University of Oregon,"UO Food Studies Program|Food Studies Program, University of Oregon|University of Oregon's Food Studies Program",Q133261589,,
mixed-sex education,mixed-sex education,Q541394,1,1,1,system of education where males and females are educated together,coeducation|mixed-gender education|co-education,,Q8434,Mixed-sex education
mixed-sex education,University of Oregon,Q766145,1,1,2,"public research university in Eugene, Oregon, USA",UO|Oregon|U of O|uoregon.edu|UOregon,Q875538|Q15936437|Q23002039,,University of Oregon
mixed-sex education,Oregon Health and Science University,Q282097,1,1,2,"public university in Portland, Oregon, USA",OHSU|Oregon Health and Sciences University|Oregon Health & Science University; OHSU|University of Oregon Health Sciences Center|Oregon Health Sciences University|Oregon Health and Science University|Oregon Health & Science University,Q875538|Q23002039,,Oregon Health and Science University
mixed-sex education,Oregon Ducks men's basketball,Q7101188,1,1,2,basketball team representing the University of Oregon,Oregon Ducks men's basketball team|Oregon Ducks basketball team|Oregon Ducks basketball|Ducks men's basketball team|Ducks men's basketball|Ducks basketball team|Ducks basketball|Oregon men's basketball team|Oregon men's basketball|Oregon basketball team|Oregon basketball|University of Oregon Ducks men's basketball team|University of Oregon Ducks men's basketball|University of Oregon Ducks basketball team|University of Oregon Ducks basketball|University of Oregon men's basketball team|University of Oregon men's basketball|University of Oregon basketball team|University of Oregon basketball|O Ducks men's basketball team|O Ducks men's basketball|O Ducks basketball team|O Ducks basketball,Q13393265|Q18558301,,Oregon Ducks men's basketball
mixed-sex education,University of Oregon,Q105651530,1,1,2,"bus stop in Eugene, Oregon",U. of Oregon Hayward Field|Hayward Field|University of Oregon Hayward Field|University of Oregon School of Law|School of Law|Knight Law Center,Q953806,,
mixed-sex education,Oregon Ducks,Q200410,1,1,2,intercollegiate sports teams of the University of Oregon,University of Oregon sports teams|University of Oregon Ducks,Q2367225,,Oregon Ducks
mixed-sex education,University of Oregon College of Education,Q19882082,1,1,2,college within University of Oregon,College of Education|COE|University of Oregon School of Education|School of Education,Q180958,,
mixed-sex education,University of Oregon Department of Computer Science,Q18636191,1,1,2,academic department at University of Oregon,University of Oregon Department of Computer and Information Science|Department of Computer Science at the University of Oregon,Q2467461,,UO Computer and Information Science Department
mixed-sex education,University of Oregon Anthropology Department,Q98469225,1,1,2,academic department at University of Oregon,University of Oregon Department of Anthropology,Q2467461,,
mixed-sex education,University of Oregon Department of Data Science,Q104799361,1,1,2,academic department at the University of Oregon,UO Data Science Department|University of Oregon Data Science Department,Q2467461,,
mixed-sex education,University of Oregon Food Studies Program,Q104602905,1,1,2,education program at University of Oregon,"UO Food Studies Program|Food Studies Program, University of Oregon|University of Oregon's Food Studies Program",Q133261589,,
mixed-sex education,Hayward Field,Q1568417,1,1,2,"track and field stadium, located in the northwest United States in Eugene, Oregon",,Q483110,,Hayward Field
mixed-sex education,Hayward Field,Q49499194,1,1,2,"park in Worcester County, Massachusetts, United States of America",,Q22698,,
mixed-sex education,Hayward Field ends its days on sad note,Q107393555,1,1,2,news article,,Q5707594,,
Hayward Field,Hayward Field,Q1568417,1,2,1,"track and field stadium, located in the northwest United States in Eugene, Oregon",,Q483110,,Hayward Field
Hayward Field,University of Oregon,Q105651530,1,2,1,"bus stop in Eugene, Oregon",U. of Oregon Hayward Field|Hayward Field|University of Oregon Hayward Field|University of Oregon School of Law|School of Law|Knight Law Center,Q953806,,
Hayward Field,Hayward Field,Q49499194,1,2,1,"park in Worcester County, Massachusetts, United States of America",,Q22698,,
Hayward Field,Hayward Field ends its days on sad note,Q107393555,1,2,1,news article,,Q5707594,,
