data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
The Vcult,Oswaldtwistle,Q246632,0,0,2,"village within the Hyndburn borough of Lancashire, England",,Q3957|Q7897276,,Oswaldtwistle
The Vcult,Oswaldtwistle Rovers F.C.,Q7108206,0,0,2,football club,,Q476028,,Oswaldtwistle Rovers F.C.
The Vcult,Oswaldtwistle Town Hall,Q124547123,0,0,2,municipal building in England,,Q25550691,,Oswaldtwistle Town Hall
The Vcult,Oswaldtwistle War Memorial,Q26501364,0,0,2,"war memorial in Hyndburn, Lancashire, England, UK",War Memorial,Q575759,,
The Vcult,Oswaldtwistle Library,Q55112906,0,0,2,"public library in Lancashire, UK",,Q28564,,
The Vcult,Oswaldtwistle Hippings Methodist Voluntary Controlled Primary School,Q66137606,0,0,2,"school in Lancashire, UK",,Q7940973|Q9842,,
The Vcult,Oswaldtwistle School,Q66139481,0,0,2,"school in Lancashire, UK",,Q7260658,,
The Vcult,Oswaldtwistle Club,Q26328631,0,0,2,"building in Hyndburn, Lancashire, England, UK",,Q41176,,
The Vcult,Oswaldtwistle St Paul's Church of England Primary School,Q66137659,0,0,2,"school in Lancashire, UK",,Q7940971|Q9842,,
The Vcult,Oswaldtwistle St Andrew's Church of England Primary School,Q66137622,0,0,2,"school in Lancashire, UK",,Q7940973|Q9842,,
Oswaldtwistle,Oswaldtwistle,Q246632,0,1,1,"village within the Hyndburn borough of Lancashire, England",,Q3957|Q7897276,,Oswaldtwistle
Oswaldtwistle,Oswaldtwistle Rovers F.C.,Q7108206,0,1,1,football club,,Q476028,,Oswaldtwistle Rovers F.C.
Oswaldtwistle,Oswaldtwistle Town Hall,Q124547123,0,1,1,municipal building in England,,Q25550691,,Oswaldtwistle Town Hall
Oswaldtwistle,Oswaldtwistle War Memorial,Q26501364,0,1,1,"war memorial in Hyndburn, Lancashire, England, UK",War Memorial,Q575759,,
Oswaldtwistle,Oswaldtwistle Library,Q55112906,0,1,1,"public library in Lancashire, UK",,Q28564,,
Oswaldtwistle,Oswaldtwistle Hippings Methodist Voluntary Controlled Primary School,Q66137606,0,1,1,"school in Lancashire, UK",,Q7940973|Q9842,,
Oswaldtwistle,Oswaldtwistle School,Q66139481,0,1,1,"school in Lancashire, UK",,Q7260658,,
Oswaldtwistle,Oswaldtwistle Club,Q26328631,0,1,1,"building in Hyndburn, Lancashire, England, UK",,Q41176,,
Oswaldtwistle,Oswaldtwistle St Paul's Church of England Primary School,Q66137659,0,1,1,"school in Lancashire, UK",,Q7940971|Q9842,,
Oswaldtwistle,Oswaldtwistle St Andrew's Church of England Primary School,Q66137622,0,1,1,"school in Lancashire, UK",,Q7940973|Q9842,,
Whe Vault,New Ash Green,Q7005379,1,0,2,"village in Kent, England, UK","New Ash Green, Kent",Q532,,New Ash Green
Whe Vault,New Ash Green Primary School,Q66227974,1,0,2,"school in Kent, UK",,Q5155053|Q9842,,
Whe Vault,New Ash Green Library,Q54889024,1,0,2,"public library in Kent, England",,Q28564,,
Whe Vault,Whealy,Q36975602,1,0,2,family name,,Q101352,,
Whe Vault,Whealton,Q37245756,1,0,2,family name,,Q101352,,
Whe Vault,Whealon,Q130284581,1,0,2,family name,,Q101352,,
Whe Vault,Whealey,Q122839703,1,0,2,family name,,Q101352,,
Whe Vault,Wheal Gorland,Q7991793,1,0,2,metalliferous mine in United Kingdom,,Q486972,,Wheal Gorland
Whe Vault,Whealdon,Q37547745,1,0,2,family name,,Q101352,,
Whe Vault,Wheal Peevor Pumping Engine House,Q26596315,1,0,2,"engine house in Redruth, Cornwall, England, UK",Pump Engine House to Wheal Peevor Mine at SW 708 442,Q134574|Q1342377,,
Whe Vault,Wheal Kitty,Q7991797,1,0,2,"village in Cornwall, United Kingdom","Wheal Kitty, Cornwall",Q532,,Wheal Kitty
Whe Vault,Wheal Frances,Q7991794,1,0,2,"village in Cornwall, England, UK","Wheal Frances, Cornwall",Q532,,Wheal Frances
Whe Vault,Wheal Alfred,Q7991789,1,0,2,"lead and copper mine near Hayle, Cornwall, UK",,Q820477,,Wheal Alfred
New Ash Green,New Ash Green,Q7005379,1,1,1,"village in Kent, England, UK","New Ash Green, Kent",Q532,,New Ash Green
New Ash Green,New Ash Green Primary School,Q66227974,1,1,1,"school in Kent, UK",,Q5155053|Q9842,,
New Ash Green,New Ash Green Library,Q54889024,1,1,1,"public library in Kent, England",,Q28564,,
