data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Marioos,Mario,Q3362622,0,0,2,male given name,Mario (first name)|Mario (given name),Q12308941,,Mario (name)
Marioos,Mario,Q12379,0,0,2,fictional character in the Mario video game franchise,Super Mario|Mario Mario|Mr. Video|Jumpman|Mario (character),Q15632617|Q87576284|Q80447738|Q15773317|Q15773347|Q1569167|Q386208|Q33093124|Q17564712|Q15711870,,Mario
Marioos,Mário,Q18193880,0,0,2,male given name,Mário (first name)|Mário (given name),Q12308941,,Mário
Marioos,Mario,Q177131,0,0,2,American R&B singer (born 1986),Mario Dewar Barrett,Q5,,Mario (American singer)
Marioos,Mario,Q12497070,0,0,2,"subdistrict in Makassar City, South Sulawesi, Indonesia",,Q965568,,
Marioos,Mario,Q12497069,0,0,2,"village in Libureng District, Bone Regency, South Sulawesi, Indonesia",,Q26211545,,
Marioos,Mario video game series,Q97371666,0,0,2,video game franchise,,Q7058673,,
Marioos,Mario,Q12497073,0,0,2,"village in Mare District, Bone Regency, South Sulawesi, Indonesia",,Q26211545,,
Marioos,Mario,Q12497065,0,0,2,"village in Sidenreng Rappang Regency, South Sulawesi, Indonesia",,Q26211545,,
Marioos,Marion,Q18686588,0,0,2,female given name,Marion (first name)|Marion (given name),Q11879590,,
Marioos,Mario Bros.,Q610968,0,0,2,1983 Japanese arcade game,,Q7889,,Mario Bros.
Marioos,Super Mario 64 DS,Q1142888,0,0,2,2004 platform video game developed by Nintendo,Super Mario Bros. 6 for Nintendo DS|Super Mario Brothers 6 for Nintendo DS|Super Mario Bros 64 for Nintendo DS|Mario Bros 64 for Nintendo DS|Mario Bros. 64 for Nintendo DS|Super Mario Bros. 64 for Nintendo DS|Super Mario 64 for Nintendo DS|Mario 64 for Nintendo DS,Q7889,,Super Mario 64 DS
Marioos,Mario Bros.,Q37817870,0,0,2,video game series,Mario Brothers,Q7058673,,
Marioos,Game & Watch: Mario Bros.,Q6437814,0,0,2,1983 Game & Watch game,Mario Bros.,Q7889,,Mario Bros. (Game & Watch)
Marioos,Mario Bros.,Q53481826,0,0,2,fictional sibling group in the Mario franchise,Mario Brothers|Mario & Luigi|Mario and Luigi,Q21191150,,
Marioos,Super Mario Bros. 3,Q639619,0,0,2,1988 platform video game developed by Nintendo,Super Mario Bros 3|Super Mario Brothers 3|Mario 3|Super Mario 3|SMB3|SMB 3|Mario Bros. 3,Q7889,,Super Mario Bros. 3
Marioos,Mario Bros. II,Q886260,0,0,2,1987 video game,,Q7889,,
Marioos,Mario Bros. Special,Q3848374,0,0,2,1984 video game,,Q7889,,Mario Bros. Special
Marioos,Super Mario Bros. 2,Q854479,0,0,2,1988 platform video game developed by Nintendo,Super Mario Bros 2|Super Mario Brothers 2|Mario 2|Super Mario 2|Super Mario USA|SMB2|SMB 2|Mario Bros. 2|Mario Bros 2,Q7889,,Super Mario Bros. 2
Marioos,New Super Mario Bros. Wii,Q170410,0,0,2,2009 side-scrolling multiplayer platform video game,Super Mario Bros. Wii|Mario Bros. Wii|SMB Wii|NSMB Wii|NSMBW,Q7889,,New Super Mario Bros. Wii
Suogai Mas,,,1,0,0,,,,,
Sungal Mas,,,2,0,0,,,,,
Gnoa,Greater New Orleans Archivists,Q107959258,3,0,1,professional society in United States,gnoarchivists.org|GNOA,Q829080,,
Gnoa,Gnoakouari,Q24853727,3,0,1,mountain in Guinea,,Q8502,,
Gnoa,Roger Gnoan Mbala,Q3439025,3,0,1,Ivorian film director (1943–2023),,Q5,,Roger Gnoan M'Bala
Tian Rng,Tian Rong,Q5363040,4,0,2,qi aristocrat and rebel leader during the Chu–Han Contention,,Q5,,Tian Rong
Tian Rng,Tian Rong,Q45618592,4,0,2,"person, CBDB = 249757",,Q5,,
Tian Rng,Tian Rong,Q45625449,4,0,2,Ming dynasty person CBDB = 281737,,Q5,,
Tian Rng,Tian Rong,Q45659999,4,0,2,Ming dynasty person CBDB = 239848,,Q5,,
Tian Rng,Tian Rong,Q45583717,4,0,2,Ming dynasty person CBDB = 275499,,Q5,,
Tian Rng,Tian Rong,Q45667872,4,0,2,Ming dynasty person CBDB = 324942,,Q5,,
Tian Rng,Tian Rong,Q45591149,4,0,2,Qing dynasty person CBDB=73218,Nancun|Duanyun|Zhuoyuan,Q5,,
Tian Rng,Tian Rong,Q117079954,4,0,2,container ship built in 1992,IMO 9032044,Q17210,,
Tian Rng,Tian Rong,Q65910526,4,0,2,"person, CBDB ID = 379941",,Q5,,
