data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Barmash,Barmash,Q2617991,0,0,1,"municipal unit in Korçë, Albania",,Q1781058|Q5154045,,Barmash
Barmash,Barmash,Q13037395,0,0,1,village in Albania,,Q532,,
Barmash,Barmashi,Q123592702,0,0,1,,,Q101352,,
Barmash,Barmashurka,Q1072346,0,0,1,"river in Udmurtia, Russia",,Q4022,,
Barmash,Barmash incident,Q137168904,0,0,1,1943 attack in Albania,,Q180684,,Barmash incident
Barmash,Barmashwa Branch Post Office,Q71619890,0,0,1,,,Q61443690,,
Barmash,Pamela Barmash,Q126014178,0,0,1,,"Barmash, Pamela,",Q5,,
Barmash,Barmash,Q29534675,0,0,1,Wikimedia disambiguation page,,Q4167410,,
Lekas,Lekas,Q123819849,1,0,1,,,Q202444,,
Lekas,Lekas,Q37516459,1,0,1,family name,,Q101352,,
Lekas,Lekas,Q2617954,1,0,1,"municipal unit in Korçë, Albania",,Q1781058|Q5154045,,Lekas
Lekas,Lecco,Q6237,1,0,1,Italian comune in Lombardy,,Q747074,,Lecco
Lekas,Lekas,Q13041504,1,0,1,village in Albania,,Q532,,
Lekas,Lekas Arvanitis,Q116219783,1,0,1,,,Q5,,
Lekas,Leck,Q28001,1,0,1,municipality in Germany,,Q116457956,,"Leck, Nordfriesland"
Lekas,Lekåsa församling,Q10556764,1,0,1,,,Q615980,,
Lekas,Leek,Q835096,1,0,1,"former municipality in the province of Groningen, the Netherlands",,Q2039348,,"Leek, Netherlands"
Lekas,Lekåsa Church,Q10556765,1,0,1,"church building in Essunga Municipality, Sweden",,Q16970|Q1497375,,
Zagori,Zagori,Q2712111,2,0,1,"historical and geographical region of Epirus, Greece",,Q82794|Q1620908,,Zagori
Zagori,Zagori Municipality,Q9386001,2,0,1,"municipality in Epirus, Greece",,Q1349648,,
Zagori,Zagori,Q532999,2,0,1,former municipality of Albania,Zagoria|Komuna e Zagorit,Q1781058|Q5154045,,"Zagori, Albania"
Zagori,Zagori,Q108049140,2,0,1,protected area in Albania,AL03,Q473972,,
Zagori,Zagori,Q107052291,2,0,1,Region in Southern Albania,,Q82794,,
Zagori,Zagoritis,Q8064426,2,0,1,family name,Zagoritis (surname),Q101352,,Zagoritis
Zagori,Zagoriče,Q3135672,2,0,1,"village in Pelagonia, North Macedonia",,Q532,,Zagoriče
Zagori,Zagoria Nature Park,Q124474430,2,0,1,Managed Nature Reserve,Zagori,Q179049,,
Zagori,Zagori,Q104380414,2,0,1,ship built in 2019,IMO 9857042,Q11446,,
Zagori,Zagorista,Q8064428,2,0,1,genus of insects,,Q16521,,Zagorista
Zagori,Zagorje,Q2343538,2,0,2,"settlement in the Municipality of Kršan, Istria County, Croatia",,Q4845841,,"Zagorje, Kršan"
Zagori,Zagorje ob Savi,Q15930,2,0,2,city in Slovenia,,Q515,,Zagorje ob Savi
Zagori,Zagorje,Q1646547,2,0,2,"village in Pivka municipality, south-western Slovenia",,Q486972|Q18564289,,"Zagorje, Pivka"
Zagori,Hrvatsko zagorje,Q743502,2,0,2,historical and geographical region in northern Croatia,Zagorje|Croatian hinterland,Q1620908|Q3502482,,Hrvatsko Zagorje
Zagori,Zagorje,Q3463302,2,0,2,"place in Styria, Municipality of Kozje, Slovenia",,Q486972,,"Zagorje, Kozje"
Zagori,Zagorje,Q3041724,2,0,2,village in Bosnia and Herzegovina,,Q486972,,"Zagorje, Posušje"
Zagori,Zagorje,Q3046344,2,0,2,"village in Berane, Montenegro",,Q532,,"Zagorje, Berane Municipality"
Zagori,Zagorje ob Savi Municipality,Q13378328,2,0,2,municipality of Slovenia,Zagorje ob Savi,Q328584,,Municipality of Zagorje ob Savi
Zagori,Zogaj,Q8073412,2,0,2,village in Kosovo,Zagora|Zagorje,Q532|Q28822032,,"Zagorë, Vushtrri"
Zagori,Zagorje Railway Station,Q19937418,2,0,2,"railway station in Zagorje ob Savi Municipality, Slovenia",,Q55488,,
Derjan,Derjan,Q2712250,3,0,1,"municipal unit in Dibër, Albania",,Q1781058|Q5154045,,Derjan
Derjan,Derjan,Q11052400,3,0,1,"village in Dibër County, Albania",,Q532,,
Derjan,Derjan,Q5392522,3,0,1,,,Q4131030,,
Derjan,Derzhanivka,Q4158929,3,0,1,"village in Nosivka Raion, Chernihiv Oblast, Ukraine",,Q21672098,,
Derjan,Derzhanivska silska rada,Q20898864,3,0,1,,Derzhanivka Silska Rada|Derzhanivka Rural Council,Q4414033,,
Derjan,Derzhanivka,Q4158922,3,0,1,"village in Dunaivtsi Raion, Khmelnytsky Oblast, Ukraine",,Q21672098,,
Derjan,Derzhanivka Volost,Q16697669,3,0,1,volost of the Russian Empire,Derzhanivska volost,Q20732405,,
Derjan,Derzhanivka,Q4158924,3,0,1,"village in Koziatyn Raion, Vinnytsia Oblast, Ukraine",,Q21672098,,
Derjan,Derzhanivka,Q4158925,3,0,1,"village in Khmilnyk Raion, Vinnytsia Oblast, Ukraine",,Q21672098,,
Derjan,Derzhanivka,Q4158923,3,0,1,"village in Olevsk Raion, Zhytomyr Oblast, Ukraine",,Q21672098,,
Temal,Temal,Q41019219,4,0,1,family name,,Q101352,,
Temal,Temal,Q2542501,4,0,1,"municipal unit in Shkodër, Albania",,Q1781058|Q5154045,,Temal
Temal,Temalang,Q24036346,4,0,1,"village in Sarolangun Regency, Jambi, Indonesia",,Q26211545,,
Temal,Temalang,Q12520636,4,0,1,"village in Malinau Regency, North Kalimantan, Indonesia",,Q26211545,,
Temal,Temalacaco,Q20287054,4,0,1,"town in Axtla Municipality, State of San Luis Potosí, Mexico",,Q20202352,,
Temal,Temalacatzingo,Q50006734,4,0,1,"town in Olinalá Municipality, State of Guerrero, Mexico",,Q20202352,,
Temal,Temalisi Fakahokotau,Q109682834,4,0,1,New Zealand netball player,,Q5,,Temalisi Fakahokotau
Temal,Temalesi King,Q119040542,4,0,1,oral health researcher in Fiji,T King,Q5,,
Temal,Temalacatl (sacrificial stone),Q106772441,4,0,1,,,Q3305213,,
Temal,Temalangeni Dlamini,Q196281,4,0,1,Swazi track runner,Temalangeni Mbali Dlamini,Q5,,Temalangeni Dlamini
Komsi,Komsi,Q47498384,5,0,1,family name,,Q101352,,
Komsi,Komsi,Q2713331,5,0,1,"municipal unit in Dibër, Albania",,Q1781058|Q5154045,,Komsi
Komsi,Komsienicki sieĺsaviet,Q4230141,5,0,1,sieĺsaviet of Belarus,,Q15071808,,
Komsi,Komsi,Q12907202,5,0,1,"village in Dibër County, Albania",,Q532,,
Komsi,Komsi,Q10976182,5,0,1,"village in Otepää Rural Municipality, Valga County, Estonia",,Q51049922,,"Komsi, Estonia"
Komsi,Komsieničy,Q20611929,5,0,1,agrotown in Belarus,,Q1989945,,
Komsi,Kõmsi,Q2343807,5,0,1,"village in Lääneranna Rural Municipality, Pärnu County, Estonia",,Q51049922,,Kõmsi
Komsi,Komsina,Q6501774,5,0,1,village in Belarus,,Q65661087,,
Komsi,Komsilga Department,Q6428633,5,0,1,"department in Kadiogo Province, Burkina Faso",,Q2566190,,Komsilga Department
Komsi,Komsi,Q108614092,5,0,1,"village in Teuva, Finland",,Q532,,
Belsh,Belsh,Q816187,6,0,1,town in Albania,Belshi,Q486972,,Belsh
Belsh,Belsh municipality,Q13037405,6,0,1,municipality in Albania,Bashkia e Belshit,Q768307,,
Belsh,Belships,Q816182,6,0,1,Norwegian shipping company,Belships ASA|BEL,Q4830453|Q6881511|Q891723|Q818912,,Belships
Belsh,Belsha,Q37293608,6,0,1,family name,,Q101352,,
Belsh,Belshazzar,Q225198,6,0,1,Biblical king of Babylonia in the Book of Daniel,Balthazar,Q20643955,,Belshazzar
