data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
IJsseloord,IJsseloord,Q13731198,0,0,1,,,Q91203,,
IJsseloord,IJsseloord,Q19268649,0,0,1,"street in Woerden, the Netherlands",,Q79007,,
IJsseloord,IJsseloordweg,Q19268655,0,0,1,"street in Arnhem, the Netherlands",,Q79007,,
Arnhem,Arnhem,Q1310,0,1,1,"city, municipality and capital of province Gelderland, the Netherlands",,Q2039348|Q515|Q1852859|Q707813|Q13539802,,Arnhem
Arnhem,Arnhem,Q3261679,0,1,1,1985 video game,,Q7889,,Arnhem (video game)
Arnhem,Arnhem,Q84574863,0,1,1,sailing ship that visited Australia in April 1623,Aernem,Q170483,,
Arnhem,Arnhem,Q134570972,0,1,1,electoral district in the Netherlands (1848-1918),,Q130377399,,
Arnhem,Arnhem,Q5356197,0,1,1,"electoral division of the Northern Territory, Australia",electoral division of Arnhem,Q5356265,,Electoral division of Arnhem
Arnhem,Arnhem,Q2581700,0,1,1,Australian Aboriginal languages,Macro-Gunwinyguan languages|Arnhem languages,Q25295,Q205143,Macro-Gunwinyguan languages
Arnhem,13209 Arnhem,Q843665,0,1,1,asteroid,Arnhem,Q3863,,13209 Arnhem
Arnhem,Arnhem,Q2093437,0,1,1,17th-century Dutch vessel,,Q11446,,Arnhem (ship)
Arnhem,1980 Summer Paralympics,Q908341,0,1,1,1980 edition of the Summer Paralympics,Summer Paralympics 1980|Arnhem 1980,Q3327913|Q114609228,,1980 Summer Paralympics
Arnhem,Arnhemia,Q8204731,0,1,1,genus of plants,,Q310890,,Arnhemia (plant)
Arnhem,Nijmegen,Q47887,0,1,2,"municipality in Gelderland, Netherlands",Nimeguen|Gemeente Nijmegen|Municipality of Nijmegen,Q2039348,,Nijmegen
Arnhem,Nijmegen,Q13188714,0,1,2,city in the Netherlands,,Q515|Q13539802|Q1852859|Q707813,,
Arnhem,Elias van Nijmegen,Q1924931,0,1,2,18th century painter from the Northern Netherlands (1667-1755),Elias van Nymegen|Elias Van Nijmegen|Elias van Nymeguen|elias van nymegen|Nymeguen|Nymwegen|Von Nymeguen|Nijmegen|E. van Nymegen,Q5,,Elias van Nijmegen
Arnhem,N.E.C.,Q318348,0,1,2,Dutch association football club from Nijmegen,NEC Nijmegen|Nijmegen Eendracht Combinatie|NEC,Q476028,,NEC Nijmegen
Arnhem,Nijmegen-Oost,Q100954005,0,1,2,one of nine statistical quarters of Nijmegen,Nijmegen East,Q2983893,,
Arnhem,Nijmegen-Noord,Q4371466,0,1,2,one of nine statistical quarters of Nijmegen,Waalsprong|Nijmegen North,Q2983893,,
Arnhem,Nijmegen breakage syndrome,Q1250362,0,1,2,human disease,"Berlin breakage syndrome|Microcephaly, normal intelligence and immunodeficiency (disorder)|Seemanova syndrome|Microcephaly, normal intelligence and immunodeficiency|NBS|AT V1|Microcephaly-immunodeficiency-lymphoreticuloma syndrome|Seemanova Syndrome 2|Microcephaly With Normal Intelligence, Immunodeficiency, and Lymphoreticular Malignancies|Ataxia-Telangiectasia Variant V2|Nonsyndromal microcephaly autosomal recessive with normal intelligence|Immunodeficiency, Microcephaly, and Chromosomal Instability|Immunodeficiency-microcephaly-chromosomal instability syndrome|Seemanova syndrome type 2|Ataxia-telangiectasia, variant 1|NIJMEGEN BREAKAGE SYNDROME|Ataxia-Telangiectasia Variant V1|Microcephaly with normal intelligence immunodeficiency and lymphoreticular malignancies|Microcephaly immunodeficiency lymphoreticuloma|Nonsyndromal Microcephaly, Autosomal Recessive, With Normal Intelligence|ataxia telangiectasia variant 1 (AT-V1)",Q929833|Q112193867,Q10267817|Q1117773|Q55785290|Q55785399|Q55785655|Q55785846|Q55785832|Q179630|Q55788864,Nijmegen breakage syndrome
Arnhem,Nijmegen railway station,Q801257,0,1,2,railway station in the Dutch city of Nijmegen,,Q55488,,Nijmegen railway station
Arnhem,Nijmegen Steenmeijer,Q108799071,0,1,2,photographer,,Q5,,
Arnhem,Nijmegen-Nieuw-West,Q62748975,0,1,2,one of nine statistical quarters of Nijmegen,Nijmegen New West,Q2983893,,
Arnhem,Apeldoorn,Q101918,0,1,2,"municipality in the province of Gelderland, Netherlands",,Q2039348,,Apeldoorn
Arnhem,Apeldoorn,Q3018561,0,1,2,"city in Gelderland, the Netherlands",,Q1852859|Q515|Q56061,,
Arnhem,5885 Apeldoorn,Q532109,0,1,2,asteroid,Apeldoorn,Q3863,,5885 Apeldoorn
Arnhem,Apeldoorn railway station,Q800395,0,1,2,railway station,,Q55488,,Apeldoorn railway station
Arnhem,Apeldoorn ring road,Q1940593,0,1,2,highway in the Netherlands,,Q510662,,
Arnhem,Apeldoorn public library bus service,Q61638474,0,1,2,Apeldoorn public library bus service with 23 stops in Apeldoorn and surroundings,,Q28564|Q11396180|Q720920,,
Arnhem,Apeldoorn,Q106603512,0,1,2,electoral district in the Netherlands (1888–1918),,Q130377399,,
Arnhem,Apeldoorn–Deventer railway,Q801850,0,1,2,railway line in Netherlands,,Q728937,,Apeldoorn–Deventer railway
Arnhem,Richard Kerkhoven,Q60275332,0,1,2,Dutch painter (1846–1931),Apeldoorn Richard Kerkhoven|R. Kerkhoven,Q5,,
Arnhem,Apeldoornseweg,Q18939589,0,1,2,"street in Arnhem, the Netherlands",,Q79007,,
Arnhem,Doesburg,Q165736,0,1,2,"city and municipality in Gelderland, the Netherlands",,Q707813|Q2039348|Q515|Q677678|Q1852859|Q13539802,,Doesburg
Arnhem,Theo van Doesburg,Q160422,0,1,2,"Dutch architect, painter, draughtsman and writer (1883–1931)",Christiaan Emil Maria Kupper|I. K. Bonset|Christiaan Emil Maria Kupper Doesburg|Christian Emil Marie Kupper|Theo Van Doesburg|Christiaan Emil Marie Küppers|Aldo Camini|C. E. M. Küpper|I.K. Bonset|Doesburg|Theo van Doesburg (Christian Emil Marie Küpper)|in de stijl van Theo van Doesburg,Q5,,Theo van Doesburg
Arnhem,Doesburg,Q37527999,0,1,2,family name,,Q101352,,
Arnhem,Doesburgedessa,Q21221396,0,1,2,genus of insects,,Q16521,,
Arnhem,Doesburgia,Q15868856,0,1,2,genus of insects,,Q16521,,Doesburgia
Arnhem,Doesburgia celebiana,Q14848969,0,1,2,species of beetle,,Q16521,,
Arnhem,Doesburg,Q109465536,0,1,2,,,Q43229,,
Arnhem,Doesburgella,Q123697806,0,1,2,genus of insects,,Q16521,,
Arnhem,Doesburgedessa linnei,Q21252265,0,1,2,species of insect,,Q16521,,
Arnhem,Doesburgedessa armata,Q21252241,0,1,2,species of insect,,Q16521,,
Arnhem,Ede,Q19851029,0,1,2,male given name (see also Q137004578 for the female given name),Ede (first name)|Ede (given name),Q12308941,,
Arnhem,Ede,Q26555,0,1,2,municipality in the center of the Netherlands,"Ede, Netherlands",Q2039348,,"Ede, Netherlands"
Arnhem,Ede,Q37272661,0,1,2,family name,,Q101352,,
Arnhem,Ede,Q2473978,0,1,2,"village in Ede, Netherlands",,Q3957|Q1852859|Q515,,
Arnhem,Eden,Q27355703,0,1,2,family name,,Q101352,,Eden (surname)
Arnhem,pulmonary edema,Q857667,0,1,2,fluid accumulation in the air spaces and parenchyma of the lungs,pulmonary oedema|edema pulmonary|plicní edém|pulmonary congestion,Q112193867|Q112965645,Q767485|Q42183538,Pulmonary edema
Arnhem,Eden,Q301637,0,1,2,"non-metropolitan district of Cumbria, England, UK (1974-2023)","Eden, Cumbria|Eden District",Q1187580,,Eden District
Arnhem,Eden Hazard,Q214204,0,1,2,Belgian footballer (born 1991),Eden Michael Walter Lucien Hazard,Q5,,Eden Hazard
Arnhem,Yoruba,Q34311,0,1,2,Niger-Congo language spoken in West Africa,Yoruba language,Q33742|Q1288568,Q137793665|Q33430,Yoruba language
Arnhem,Eder,Q16869766,0,1,2,family name,,Q101352,,Eder (surname)
Arnhem,Tiel,Q73221,0,1,2,"municipality in Gelderland, the Netherlands",,Q2039348,,Tiel
Arnhem,Tiel,Q21148570,0,1,2,given name,Tiel (given name)|Tiel (first name),Q202444,,
Arnhem,Tiel,Q33506500,0,1,2,"human settlement in Tiel, Netherlands",,Q13539802|Q1852859|Q3957|Q707813,,
Arnhem,Tielt,Q651811,0,1,2,"city in West Flanders, Belgium",,Q493522|Q15273785,,Tielt
Arnhem,Tiel,Q134572483,0,1,2,electoral district in the Netherlands (1850-1918),,Q130377399,,Tiel (electoral district)
Arnhem,Tielt-Winge,Q984892,0,1,2,"municipality in Flemish Brabant, Belgium",,Q493522,,Tielt-Winge
Arnhem,Tielman Susato,Q547783,0,1,2,Flemish Renaissance composer,,Q5,,Tielman Susato
Arnhem,Tielemans,Q21508081,0,1,2,family name,,Q101352,,Tielemans
Arnhem,Tiel,Q36871939,0,1,2,family name,,Q101352,,
Arnhem,Tielens,Q83438990,0,1,2,family name,,Q101352,,
Arnhem,Zutphen,Q109535,0,1,2,"city in Zutphen, Netherlands",,Q515|Q13539802|Q1852859|Q707813,,Zutphen
Arnhem,Zutphen,Q15858232,0,1,2,"municipality in Gelderland, the Netherlands",,Q2039348,,
Arnhem,Zutphen,Q51899371,0,1,2,family name,,Q101352,,
Arnhem,Kepulauan Sumur,Q24830449,0,1,2,,Zutfen-Eilanden|Zuthen Eilanden|Zutphen-Eilanden|Zutphen Islands|Hounds Islands,Q33837,,
Arnhem,Zutphen,Q6171938,0,1,2,crater on Mars,,Q55818|Q1475691,,
Arnhem,Zutphen County,Q1541869,0,1,2,historical fief in the Netherlands,,Q353344,,County of Zutphen
Arnhem,Zutphen railway station,Q801671,0,1,2,railway station in the Netherlands,,Q55488,,Zutphen railway station
Arnhem,Zutphen,Q108613696,0,1,2,"town in Ottawa County, Michigan, USA",,Q486972,,
Arnhem,Zutphen–Glanerbeek railway,Q3424809,0,1,2,railway line in the Netherlands,,Q728937,,Zutphen–Glanerbeek railway
Arnhem,electoral district Zutphen,Q134572670,0,1,2,electoral district in the Netherlands (1848-1918),,Q130377399,,
