data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Kadena Air Base,Kadena Air Base,Q608289,0,0,1,"United States Air Force base in Japan, former Japanese WW2 airfield",Kadena Air Force Base|RODN|Kadena airfield|Yara Hikojo,Q245016|Q695850|Q85881832,,Kadena Air Base
Kadena Air Base,Kadena Air Base,Q21176177,0,0,1,Commons gallery,,Q21167233,,
Camp David,Camp David,Q139712312,1,0,1,,,Q571,,
Camp David,Camp David,Q309202,1,0,1,country retreat of the President of the United States,Naval Support Facility Thurmont|NSF Thurmont|Shangri-La|Camp Hi-Catoctin|Camp 3|USS Shangri La|WPA Camp #3|WPA Camp 3,Q245016|Q481289,,Camp David
Camp David,Rosa 'Camp David',Q1029803,1,0,1,rose cultivar,Camp David,Q26817508,,Rosa 'Camp David'
Camp David,Camp David,Q111905466,1,0,1,episode of Veep,,Q21191270,,
Camp David,Camp David,Q50540636,1,0,1,German fashion label,,Q1618899,,Camp David (fashion)
Camp David,Camp David Accords,Q309204,1,0,1,1978 political agreement between Egypt and Israel,,Q625298,,Camp David Accords
Camp David,Camp David,Q116163475,1,0,1,"a gay bathhouse located in Las Vegas, Nevada",Camp David Men's Health Club,Q1531507,,
Camp David,Camp David,Q131416154,1,0,1,,,Q1762059,,
Camp David,Camp David Hard Wire Sound Recordings (NAID 17408783),Q63899075,1,0,1,series in the National Archives and Records Administration's holdings,,Q2668072,,
Camp David,Camp David Study Table Telephone Recordings (NAID 17409122),Q63899081,1,0,1,series in the National Archives and Records Administration's holdings,,Q2668072,,
