data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Nahori Tea Garden (Balasom),Nahori Tea Garden (Balasom),Q60789399,0,0,1,village in India,,Q56436498|Q1827414,,
Liza Hill Tea Garden,Liza Hill Tea Garden,Q60788730,1,0,1,village in India,,Q56436498|Q1827414,,
Tea Garden Monte Verità,Tea Garden Monte Verità,Q108640947,2,0,1,,Tea House Monte Verità,Q4990623|Q1827414,,
Edenvale Tea Garden,Edenvale Tea Garden,Q60789525,3,0,1,village in India,,Q56436498|Q1827414,,
Dimdima Tea Garden,Dimdima Tea Garden,Q60794312,4,0,1,,Demdima,Q56436498|Q1827414,,
Luksan Tea Garden,Luksan Tea Garden,Q60794241,5,0,1,,,Q56436498|Q1827414,,
Debpara Tea Garden (D),Debpara Tea Garden (D),Q60795179,6,0,1,,,Q56436498|Q1827414,,
Lebong & Mineral Spring Tea Garden,Lebong & Mineral Spring Tea Garden,Q60788799,7,0,1,"village in West Bengal, India",,Q56436498|Q1827414,,Lebong & Mineral Spring Tea Garden
Lebong & Mineral Spring Tea Garden,Lebong Tea Garden,Q60788764,7,0,2,village in India,,Q56436498|Q1827414,,
Saptiguri Khelaghar Tea Garden,Saptiguri Khelaghar Tea Garden,Q60789575,8,0,1,village in India,,Q56436498|Q1827414,,
Darjiling Hilldoars Tea Garden,Darjiling Hilldoars Tea Garden,Q60789310,9,0,1,,,Q56436498|Q1827414,,
Chunia Jhora Tea Garden,Chunia Jhora Tea Garden,Q60794524,10,0,1,village in India,,Q56436498|Q1827414,,
Washabari Tea Garden,Washabari Tea Garden,Q60793893,11,0,1,,,Q56436498|Q1827414,,
Maharani Tea Garden,Maharani Tea Garden,Q60789523,12,0,1,village in India,,Q56436498|Q1827414,,
Teesta Valley Tea Garden,Teesta Valley Tea Garden,Q60788884,13,0,1,"village in West Bengal, India",,Q56436498|Q1827414,,Teesta Valley Tea Garden
Gopalpur Tea Garden,Gopalpur Tea Garden,Q60794333,14,0,1,village in India,,Q56436498|Q1827414,,
Gatia Tea Garden,Gatia Tea Garden,Q60794237,15,0,1,village in India,,Q56436498|Q1827414,,
Nipuchhapur Tea Garden,Nipuchhapur Tea Garden,Q60794007,16,0,1,,,Q56436498|Q1827414,,
Lopchu Tea Estate,Lopchu Tea Estate,Q96390793,17,0,1,"tea garden in [Rangli Rangliot, India",,Q1827414,,Lopchu Tea Estate
