data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
White River,White River,Q1813795,0,0,1,"river in Arkansas and Missouri, United States",,Q4022,,White River (Arkansas–Missouri)
White River,Branco River,Q1165761,0,0,1,principal affluent of the Rio Negro,Rio Branco|White River,Q4022,,Branco River
White River,White River Junction,Q1898562,0,0,1,"unincorporated village and census-designated place in the town of Hartford, Windsor County, Vermont","White River Junction, Vermont",Q498162,,"White River Junction, Vermont"
White River,White River,Q2430262,0,0,1,"river in Indiana, United States",,Q4022,,White River (Indiana)
White River,White River,Q2126786,0,0,1,"river in Nebraska and South Dakota, United States",,Q4022,,White River (Missouri River tributary)
White River,White River,Q4468443,0,0,1,"river in Uintah County, Utah and Rio Blanco County, Colorado in the United States",,Q4022,,White River (Green River tributary)
White River,White River,Q2046203,0,0,1,"place in Mpumalanga, South Africa",,Q3957|Q486972,,"White River, Mpumalanga"
White River,Whiteriver,Q1818354,0,0,1,"census-designated place in Navajo County, Arizona, United States","Whiteriver, Arizona|Whiteriver, AZ|White River|White River, Arizona|White River, AZ",Q498162,,"Whiteriver, Arizona"
White River,White River,Q2269699,0,0,1,"city and seat of Mellette County, South Dakota, United States","White River, South Dakota|White River, SD",Q1093829,,"White River, South Dakota"
White River,White River,Q3567786,0,0,1,"river in Washington State, United States",,Q4022,,White River (Puyallup River)
White River,White River (Michigan),Q16879097,0,0,2,Wikimedia disambiguation page,,Q4167410,,White River (Michigan)
Temagami,Temagami River,Q1664410,1,0,1,"river in Ontario, Canada",,Q4022,,Temagami River
Temagami,Temagami,Q368855,1,0,1,"municipality in Nipissing District, Ontario, Canada",Timagami,Q15284|Q14762300,,Temagami
Temagami,Temagami First Nation,Q7697972,1,0,1,"First Nation band in Ontario, Canada",,Q2882257,,Teme Augama Anishinabek
Temagami,Temagami Railway Station,Q3097847,1,0,1,"railway station in Ontario, Canada",,Q55488,,Temagami station
Temagami,Temagami,Q115226291,1,0,1,"dispersed rural community in Ontario, Canada",,Q56885635,,
Temagami,Temagami Subdivision,Q111927917,1,0,1,railway line in Canada,,Q728937,,
Temagami,temagamite,Q3983083,1,0,1,telluride mineral,IMA1973-018,Q12089225,Q927407,Temagamite
Temagami,Copperfields mine,Q5168825,1,0,1,"abandoned mine on Temagami island, Temagani lake",Temagami mine,Q820477,,Copperfields Mine
Temagami,Temagami Water Aerodrome,Q3914836,1,0,1,"airport in Temagami, Canada",,Q3143713,,Temagami Water Aerodrome
Temagami,Temagami greenstone belt,Q7697979,1,0,1,"greenstone belt in Northeastern Ontario, Canada",,Q595991,,Temagami Greenstone Belt
Temagami,"Temagami, Ontario",Q137188957,1,0,2,episode of Still Standing (S9 E6),,Q21191270,,
