col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Steinkreuz in Rothenburg (1),,[0]
Steinkreuz in Neunkirchen (3),,[0]
Penitence cross in Všehrdy,,[0]
Kreuzstein und Steinkreuz in Rengersricht,sandstone,"[0, 1]"
Steinkreuz Wirbertshofen,limestone,"[0, 1]"
Steinkreuz nördlich von Wernsbach,sandstone,"[0, 1]"
Kreuzstein Winkelhof,sandstone,"[0, 1]"
Steinkreuz zwischen Worzeldorf und Kornburg,sandstone,"[0, 1]"
Kreuzstein Tittinger Höhe,,[0]
Scheibenkreuzstein in Spalt,sandstone,"[0, 1]"
Steinkreuz in Hohlach,,[0]
Steinkreuze Kornburg,,[0]
Penitence crosses in Kostelní,,[0]
Penitence cross in Těšovice,,[0]
Steinkreuz in Großgründlach 1,,[0]
Steinkreuz in Niederndorf,,[0]
Gedenkkreuz,,[0]
Gedenkkreuz,sandstone,"[0, 1]"
Gedenkkreuz,sandstone,"[0, 1]"
