col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
FBS 2304+440,1.5001,666.6222,[0]
SBSS 0809+531,1.1023,907.194,[0]
EC 20344-2055,0.4196,,[0]
USNO-B1.0 1289-00160315,0.3538,,[0]
GALEX J053656.5+395516,1.2928,773.515,[0]
GALEX J204709.6+121015,1.2331,810.964,[0]
GALEX J213730.9+221908,1.2506,799.616,[0]
KUV 05008+1218,0.1806,,[0]
GALEX J082556.7+130754,1.1297,885.1908,[0]
LSE 44,1.5196,658.0679,[0]
JL 35,0.6058,1650.7098,[0]
KIC 6522967,0.0838,,[0]
KUV 13065+2739,0.4313,,[0]
EC 13555-1552,0.9633,,[0]
SDSS J213007.10+115154.6,0.2106,150.0,[0]
EC 09376-1125,0.6983,,[0]
