col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Metzad,Gush Etzion Regional Council,"[0, 1]"
Ganei Tal,Hof Aza Regional Council,"[0, 1]"
Ganei Modi'in,Mateh Binyamin Regional Council,"[0, 1]"
Immanuel,Judea and Samaria Area,"[0, 1]"
Nahal Ginat,,[0]
Etz Efraim,Shomron Regional Council,"[0, 1]"
Alfei Menashe,Qalqilya Governorate,"[0, 1]"
"Nimrod, Golan Heights",Golan Regional Council,"[0, 1]"
Migdalim,Shomron Regional Council,"[0, 1]"
Otniel,Har Hevron Regional Council,"[0, 1]"
Neve Daniel,Gush Etzion Regional Council,"[0, 1]"
Shim'a,Har Hevron Regional Council,"[0, 1]"
Sha'al,Golan Regional Council,"[0, 1]"
Shomron Regional Council,Judea and Samaria Area,"[0, 1]"
Mahane Givon,Giv'at Ze'ev,"[0, 1]"
Mevo Horon,Judea and Samaria Area,"[0, 1]"
