col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
V* AM Nor,238.78844070182,[0]
2MASS J19501322+4112081,297.5550940706357,[0]
TYC 3146-1145-1,290.6137361045315,[0]
KOI-319,290.11753555667,[0]
TYC 3146-218-1,291.0289123494742,[0]
TYC 3146-875-1,291.34188417,[0]
TYC 3146-1185-1,291.2715049794956,[0]
TYC 3146-1099-1,291.921402854096,[0]
2MASS J18530317+4037505,283.2632127958061,[0]
2MASS J18593509+4046513,284.8961868253575,[0]
TYC 3140-139-1,297.217564500656,[0]
KOI-12,297.45372213108,[0]
TYC 3140-704-1,295.7439484705719,[0]
