col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Albert Reynolds,,7.0,[0]
Gabrielle,,2.0,[0]
Nick Griffin,,4.0,[0]
Xavier Woods,92.0,2.0,[0]
Akihiro Yamaguchi,67.0,,[0]
Jan Hempel,62.0,,[0]
Francisco Guerrero,59.0,3.0,[0]
Wilhelm Kaisen,,4.0,[0]
Jane Wyatt,,3.0,[0]
James Chapman,92.0,,[0]
Hubert Humphrey,,4.0,[0]
Olli-Pekka Karjalainen,118.0,,[0]
Darren Fletcher,74.0,,[0]
Tohru Watanabe,82.0,2.0,[0]
John Travolta,,3.0,[0]
Robert Lewandowski,81.0,,[0]
Claudia Rath,65.0,,[0]
Elisabeth Theurer,60.0,,[0]
John Bruton,,4.0,[0]
Elizabeth Berkley,,1.0,[0]
Rudolf Arendt,,2.0,[0]
John Candy,,2.0,[0]
