col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Verdigre Township,35.73,440,[0]
Valley Township,35.85,671,[0]
Union Township,35.83,751,[0]
Union Township,34.97,446,[0]
Union Township,50.29,395,[0]
Union Township,36.08,468,[0]
Ulysses Township,36.29,460,[0]
Turkey Creek Township,35.99,659,[0]
Triumph Township,70.29,858,[0]
Timber Creek Township,37.71,556,[0]
Thornton Township,36.16,669,[0]
Thayer Township,23.95,421,[0]
Sutton Township,34.6,532,[0]
Summit Township,35.73,497,[0]
Summit Township,60.04,351,[0]
Stuart Township,134.92,657,[0]
Stocking Township,34.46,371,[0]
Steel Creek Township,65.77,530,[0]
Stanton Township,35.9,501,[0]
St. Charles Township,29.67,413,[0]
St. Bernard Township,35.62,534,[0]
Springdale Township,30.69,621,[0]
Springbank Township,35.73,459,[0]
