col0,col1,"Metadata:CTA:[0, 1],CPA:[[0, 1]]"
Light for the World,,[0]
WorldFish,,[0]
Raise,Clara Gaymard,"[0, 1]"
Saurer,,[0]
Werwolf,,[0]
Freeview,,[0]
National Front,,[0]
UnidosUS,,[0]
Lomnice nad Popelkou,,[0]
Barretstown,Paul Newman,"[0, 1]"
Church of Scientology,L. Ron Hubbard,"[0, 1]"
Akki,,[0]
Zollverein,,[0]
Society of Mary,Jean-Claude Colin,"[0, 1]"
Programme for International Student Assessment,,[0]
MOVE,,[0]
Ludwig Institute for Cancer Research,Daniel K. Ludwig,"[0, 1]"
App Store,,[0]
Ontario,,[0]
Unia,,[0]
Rhodius,,[0]
International Development Research Centre,,[0]
Lega Nord,Umberto Bossi,"[0, 1]"
Helicopter Association International,,[0]
