col0,col1,col2,"Metadata:CTA:[0, 2],CPA:[[0, 1], [0, 2]]"
Watertoren,Bergambacht,Netherlands,"[0, 1, 2]"
Vesilinna,Yliopistonmäki,Finland,"[0, 1, 2]"
Watertoren,Sint-Joris-Weert,Belgium,"[0, 1, 2]"
Watertoren,Reet,Belgium,"[0, 1, 2]"
Wasserturm,Eschersheim,Germany,"[0, 1, 2]"
Water Tower,Southbourne,United Kingdom,"[0, 1, 2]"
"Kimmerghame House, Water Tower",Kimmerghame House,United Kingdom,"[0, 1, 2]"
Water Tower,Boscombe,United Kingdom,"[0, 1, 2]"
Gamla vattentornet,Norrköping,Sweden,"[0, 1, 2]"
Watertoren,Ostend,Belgium,"[0, 1, 2]"
Vodojem,Sady S. K. Neumanna,Czech Republic,"[0, 1, 2]"
water tower,Klostermansfeld station,Germany,"[0, 1, 2]"
Wasserturm,Reinhardshain,Germany,"[0, 1, 2]"
Watertower,Holyhead,United Kingdom,"[0, 1, 2]"
Wasserturm,Freimann,Germany,"[0, 1, 2]"
Wasserturm,Torgau,Germany,"[0, 1, 2]"
Hiekkaharju water tower,Simonkylä,Finland,"[0, 1, 2]"
Hiekkaharju water tower,Hiekkaharju,Finland,"[0, 1, 2]"
Watertoren,Hoogeveen,Netherlands,"[0, 1, 2]"
Watertoren,Vught,Netherlands,"[0, 1, 2]"
