col0,col1,col2,col3,"Metadata:CTA:[0],CPA:[[0, 3], [0, 1], [0, 2]]"
Vanadzor,1828-01-01,90525,Lori Region,"[0, 3]"
Spitak,,15000,Lori Region,"[0, 3]"
Metsamor,1979-01-01,9870,Armavir Region,"[0, 3]"
Alaverdi,1899-01-01,13000,Tumanyan District,"[0, 3]"
Meghri,0906-01-01,4580,Meghri Region,"[0, 3]"
Abovyan,,44400,Abovyan raion,"[0, 3]"
Aparan,,6400,Echmiadzinsky Uyezd,"[0, 3]"
Tsaghkadzor,,1200,Hrazdan,"[0, 3]"
Artik,1939-01-01,19543,Aleksandropol County,"[0, 3]"
Berd,0898-01-01,9864,Kazakhsky Uyezd,"[0, 3]"
Yeghvard,,10656,Persian Armenia,"[0, 3]"
