col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Namedyer Werth,15.49,[0]
Breeser Grund,187.19,[0]
Berger Bachtal,15.95,[0]
Regnitzer Weiher,3.2,[0]
Brucker Lache,114.13,[0]
Hohenstein,1085.34,[0]
Rechtes Mainufer bei Sommerach,19.45,[0]
Ahrenviöler Südermoor,7.0,[0]
Bokeler Heide,19.73,[0]
Steinhorster Becken,82.6,[0]
Weltenburger Enge,559.38,[0]
Hollener Moor,59.24,[0]
Fischbeker Heide,763.0,[0]
Kollrunger Moor,279.76,[0]
Fleinsee/Altluneberger See,,[0]
Driefeler Wiesen,66.04,[0]
Kronswarder und südöstlicher Teil des Großen Binnensees,151.0,[0]
