col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 2], [0, 1]]"
Cal Canal,680.0,,[0]
La Riba,366.0,,[0]
West House,,Chelsea,"[0, 2]"
Casa Gasset,622.0,,[0]
Llwyn-cus,230.7,Treflys,"[0, 2]"
Cal Llobet,542.0,,[0]
Casa Roca,535.0,,[0]
Dresden House,25.3,Monmouth,"[0, 2]"
Tregwynt,54.4,Pencaer,"[0, 2]"
Cal Baldiri,21.0,,[0]
Torre Vilardell,138.0,,[0]
Park House,62.0,Fishguard and Goodwick,"[0, 2]"
Park House,108.9,Newtown and Llanllwchaiarn,"[0, 2]"
Park House,137.8,Forden with Leighton and Trelystan,"[0, 2]"
Park House,88.5,Ynysawdre,"[0, 2]"
Park House,29.0,Stackpole and Castlemartin,"[0, 2]"
Kingsley House,26.1,Monmouth,"[0, 2]"
East House,34.0,Cowbridge with Llanblethian,"[0, 2]"
Can Bou,43.0,,[0]
Bank House,188.0,Montgomery,"[0, 2]"
Bank House,65.5,Llandeilo,"[0, 2]"
Bank House,59.0,Abergavenny,"[0, 2]"
Bank House,65.3,Llandovery,"[0, 2]"
Bank House,22.6,Carmarthen,"[0, 2]"
