col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
EM* LkHA 224,0.785,[0]
[SVV2002] CH3OH Maser,0.5801,[0]
EM* LkHA 194,0.2457,[0]
EM* LkHA 132,0.2447,[0]
EM* LkHA 176,1.2011,[0]
EM* AS 441,1.393,[0]
EM* AS 442,1.1581,[0]
EM* LkHA 193,0.3187,[0]
EM* LkHA 371,1.2836,[0]
EM* LkHA 167,0.8279,[0]
EM* LkHA 170,1.2912,[0]
EM* AS 444,1.1352,[0]
EM* LkHA 168,0.4903,[0]
EM* LkHA 183,0.2683,[0]
EM* LkHA 169,1.1963,[0]
EM* AS 443,1.1823,[0]
EM* LkHA 192,0.407,[0]
EM* LkHA 147,0.4564,[0]
EM* LkHA 131,1.0427,[0]
EM* LkHA 257,1.2584,[0]
