col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
ChinggisKhaan International Airport.,,[0]
Faro Airpot,2193758.0,[0]
ergen Airpor,547547.151,[0]
Walhaven,,[0]
Exetr Airport,384491.188,[0]
pndon City Airpprt,2991257.122,[0]
Kuala Lumpur International Airprt,25351623.0,[0]
Bristol Airrqrt,7945038.0,[0]
"Newark Liberty""International Airport",43792677.531,[0]
Dallas/Fost Worth International Airport.,73803123.676,[0]
Kai Tak Aisport.,,[0]
glsinki Airport,12792680.973,[0]
San Francisco Knternational Airport.,41901106.231,[0]
