col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Loch Leven,61708820,5.0,[0]
Ketelmeer,84000000,13.0,[0]
Obertrumer See,84630000,4.9,[0]
Lake Roxburgh,107000000,28.5,[0]
Mattsee,61400000,4.5,[0]
Lake Bonney,64800000,7.0,[0]
Plansee,123700000,5.0,[0]
Altausseer See,72700000,2.6,[0]
Staffelsee,74880000,4.6,[0]
Skagern,3321620000,21.0,[0]
Lake Moeris,978600000,50.0,[0]
Puula,3059000000,50.0,[0]
Bolmen,1069990000,35.0,[0]
Pielinen,8999000000,100.0,[0]
Heaven Lake,2091660000,4.85,[0]
Siljan,8089000000,52.0,[0]
Lough Neagh,3600000000,30.0,[0]
Mueller Lake,20000000,2.6,[0]
Lenore Lake,24100000,13.0,[0]
Loch Oich,24166227,6.5,[0]
Laguna Colorada,21000000,10.7,[0]
Titisee,22500000,1.87,[0]
Lake Hoare,17500000,4.2,[0]
