col0,col1,col2,"Metadata:CTA:[0, 2],CPA:[[0, 1], [0, 2]]"
Hunton Group,New South Wales,Australian continent,"[0, 1, 2]"
Border Group,Western Australia,Australian continent,"[0, 1, 2]"
Salvation Group,Western Australia,Australian continent,"[0, 1, 2]"
Mansfield Group,Victoria,Australian continent,"[0, 1, 2]"
Kent Group,Tasmania,Australian continent,"[0, 1, 2]"
Eldon Group,Tasmania,Australian continent,"[0, 1, 2]"
Sulphur Springs Group,Western Australia,Australian continent,"[0, 1, 2]"
Victoria Group,Antarctic Treaty area,Antarctica,"[0, 1, 2]"
Maitland Group,New South Wales,Australian continent,"[0, 1, 2]"
Mission Group,Western Australia,Australian continent,"[0, 1, 2]"
Mariner Group,Antarctic Treaty area,Antarctica,"[0, 1, 2]"
Cathedral Group,New South Wales,Australian continent,"[0, 1, 2]"
