col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Minato Bridge,983.0,,[0]
Grand Narrows Bridge,1694.0,,[0]
Achdorfer Eisenbahnbrücke,329.0,8.0,[0]
Browns River Covered Bridge,,1.0,[0]
Kvernbergsund bru,153.0,,[0]
Greifenbachviadukt,180.6,,[0]
Schuylkill Arsenal Railroad Bridge,,9.0,[0]
Dona Amélia Bridge,840.0,,[0]
Million Dollar Bridge,480.0,4.0,[0]
Abetxuko Bridge,,3.0,[0]
Old Walterdale Bridge,214.2,,[0]
Kräutlstein Bridge,367.0,,[0]
BAB 73 Brückenbauwerk 67-1,101.77,,[0]
Pont Tessier,,1.0,[0]
Pont Thiffault,41.73,,[0]
