col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Phillis Wheatley,17.6,12.8,[0]
Mensura,152.0,90.0,[0]
Mensura,152.0,90.0,[0]
Cheapside Cross,22.2,17.1,[0]
Cheapside Cross,22.5,17.5,[0]
"Crosby Hall, London",21.4,29.5,[0]
Confession,253.0,188.0,[0]
Crosby Hall,27.9,21.0,[0]
Saint Mark,259.0,193.0,[0]
Saint Mark,259.0,193.0,[0]
Job Receiving The ill- News of His Misfortunes,210.0,250.0,[0]
Job Receiving The ill- News of His Misfortunes,210.0,250.0,[0]
The Baptism of Christ,199.0,266.0,[0]
Christ Carrying the Cross,157.0,116.0,[0]
Christ Carrying the Cross,116.0,83.0,[0]
Il Castello che al Presente si Dice Sant'Angelo Anticamente Fu il Sepolcro de Adriano,44.1,38.1,[0]
Il Castello che al Presente si Dice Sant'Angelo Anticamente Fu il Sepolcro de Adriano,46.7,33.7,[0]
The Fall of the Rebel Angels,21.5,14.9,[0]
Brinkburn Priory,27.0,37.5,[0]
Europa,153.0,90.0,[0]
