col0,col1,"Metadata:CTA:[0, 1],CPA:[[0, 1]]"
2007 Iwate gubernatorial election,governor of Iwate Prefecture,"[0, 1]"
1942 Colorado gubernatorial election,Governor of Colorado,"[0, 1]"
1966 Colorado gubernatorial election,Governor of Colorado,"[0, 1]"
1962 Colorado gubernatorial election,Governor of Colorado,"[0, 1]"
1958 Colorado gubernatorial election,Governor of Colorado,"[0, 1]"
1956 Colorado gubernatorial election,Governor of Colorado,"[0, 1]"
1954 Colorado gubernatorial election,Governor of Colorado,"[0, 1]"
1952 Colorado gubernatorial election,Governor of Colorado,"[0, 1]"
1950 Colorado gubernatorial election,Governor of Colorado,"[0, 1]"
1948 Colorado gubernatorial election,Governor of Colorado,"[0, 1]"
1946 Colorado gubernatorial election,Governor of Colorado,"[0, 1]"
1944 Colorado gubernatorial election,Governor of Colorado,"[0, 1]"
1819 Alabama gubernatorial election,Governor of Alabama,"[0, 1]"
1821 Alabama gubernatorial election,Governor of Alabama,"[0, 1]"
1977 American Samoan gubernatorial election,Governor of American Samoa,"[0, 1]"
1813 Delaware gubernatorial election,Governor of Delaware,"[0, 1]"
1944 Ohio gubernatorial election,Governor of Ohio,"[0, 1]"
1942 Ohio gubernatorial election,Governor of Ohio,"[0, 1]"
1940 Ohio gubernatorial election,Governor of Ohio,"[0, 1]"
1995 Osaka gubernatorial election,Governor of Osaka Prefecture,"[0, 1]"
2020 Tokyo gubernatorial election,Governor of Tokyo,"[0, 1]"
1964 Michigan gubernatorial election,Governor of Michigan,"[0, 1]"
1962 Michigan gubernatorial election,Governor of Michigan,"[0, 1]"
1960 Michigan gubernatorial election,Governor of Michigan,"[0, 1]"
1958 Michigan gubernatorial election,Governor of Michigan,"[0, 1]"
