col0,col1,"Metadata:CTA:[0, 1],CPA:[[0, 1]]"
The Good Wife,Shirley Jackson,"[0, 1]"
Younger,Brian Evenson,"[0, 1]"
The Spanish Lady,Alice Munro,"[0, 1]"
Myrrha,Gary Jennings,"[0, 1]"
Blood Sacrifice,Susan Shwartz,"[0, 1]"
Sword Blades and Poppy Seed,Joanna Russ,"[0, 1]"
Freefall,Eric James Stone,"[0, 1]"
Tourists,Rammel Chan,"[0, 1]"
Hush!,Anton Chekhov,"[0, 1]"
What a Thought,Shirley Jackson,"[0, 1]"
Karma,Rishi Reddi,"[0, 1]"
Another Story,Ursula K. Le Guin,"[0, 1]"
Cortes Island,Alice Munro,"[0, 1]"
Nettles,Alice Munro,"[0, 1]"
A Night In,,[0]
Sublimation,Jennifer Haigh,"[0, 1]"
"Lust, Caution",Eileen Chang,"[0, 1]"
Tagahoovis,Oskar Luts,"[0, 1]"
Gas,Alfred Hitchcock,"[0, 1]"
Mnemosyne,Catherine MacLeod,"[0, 1]"
One Giant Leap,,[0]
Wireless,Rudyard Kipling,"[0, 1]"
