col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
"Stela dedicated to Amon-Re of Ipet, Meretseger and Amenhotep I by Parahotep, servant in the Place of the Truth Limestone",30.0,20.5,[0]
Stela dedicated to Neith and Ptah by Wadjmes Limestone,26.5,17.5,[0]
women in ceremonial dress-E 13108,61.0,39.0,[0]
Postschneckenstele,5.0,,[0]
Stele Johann Julius Hecker,0.8,,[0]
Stele of the Vultures,1.8,1.3,[0]
Offering stele-MAHG 23473,53.0,32.0,[0]
stela dedicated to the god Wepwawet by the lady Mehytabsu,24.0,14.7,[0]
stele for Ernst Busch,190.0,,[0]
Lamashtu plaque AO 7088,7.0,6.4,[0]
God holding a bird-AO 27140,8.6,,[0]
Victory stele-AO 2678,34.5,28.5,[0]
Funerary stela showing the deceased with his arms lifted in prayer Limestone,46.0,26.0,[0]
Monument to City of Military Glory (Petrozavodsk),11.8,,[0]
