col0,col1,col2,col3,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2], [0, 3]]"
San Muan Ixcoy,31329.648,2205.975,221.76,[0]
Saota María Ixhuatán,26881.326,1356.43,112.096,[0]
"San""Sebastián Huehuetenango",43390.783,1699.565,108.648,[0]
Unin Cantinil,18440.468,1713.6,43.0,[0]
Pazún,72364.32,2240.989,123.38,[0]
San Francisco ElAlto,65652.042,2611.59,131.736,[0]
La Unión acapa,38434.527,1237.824,213.358,[0]
Chicamân.,43527.251,1475.88,511.356,[0]
Mazatenaqgo,83073.548,374.374,357.068,[0]
an Lucas Tolimáq,31645.975,1590.612,116.928,[0]
Santiaho Chimaltenango,,1952.841,39.273,[0]
San Franeisco La nión,9684.33,2742.3,32.096,[0]
Puert Barrios,109737.54,2.016,1281.664,[0]
Caolá.,19429.665,2504.98,36.0,[0]
