col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
HD 109764,8.7968680966433,[0]
Delta Pavonis,-66.18206743589695,[0]
HD 46431,-36.94002370024,[0]
HD 86147,4.2420786619392,[0]
Gliese 93,-53.9890278657416,[0]
HD 203607,-25.2024849722188,[0]
GJ 1048,-23.5213239927947,[0]
HD 84812,65.5932276885545,[0]
Mu Horologii,-59.73777459103999,[0]
HD 126214,-14.7134696317042,[0]
32 Tauri,22.47797357482,[0]
20 Cancri,18.33216179258,[0]
HD 192680,51.2397204550795,[0]
Eta Aurigae,41.23447574166194,[0]
HD 129422,-62.8756501516399,[0]
HD 203,-23.1075409941581,[0]
41 Capricorni,-23.26285717881,[0]
Iota Microscopii,-43.98848405998,[0]
81 Leonis,16.45653684378,[0]
