col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Pamukkale Üniversitesi Hastaneleri,,[0]
Uniklinik Köln,,[0]
Caritas-Hospital St. Josef Regensburg,311.0,[0]
Copenhagen University Hospital,,[0]
The University of Tokyo Hospital,1210.0,[0]
Inje University Haeundae Paik Hospital,,[0]
Children's Hospital of Suzhou University,,[0]
An-Najah National University Hospital,127.0,[0]
Hospital Universitario de La Princesa,524.0,[0]
Ankara University Cebeci Hospital,,[0]
Hospital de Son Llàtzer,419.0,[0]
Inje University Ilsan Paik Hospital,,[0]
Juntendo University Nerima Hospital,,[0]
Muğla State Hospital,,[0]
Prince of Wales Hospital,1770.0,[0]
Panyananthapikhu Chonprathan Medical Centre,,[0]
HRH Maha Chakri Sirindhorn Medical Centre,500.0,[0]
Sungkyunkwan University Samsung Changwon Hospital,,[0]
Hôpital Ibn Sina-Rabat,,[0]
Balıkesir University Faculty of Medicine,,[0]
Wonkwang University Sabon Hospital,,[0]
Hospital Rafael Méndez de Lorca,287.0,[0]
Hospital Clínico Universitario de Valladolid,777.0,[0]
university hospital center of Liège,1038.0,[0]
Dışkapı Yıldırım Beyazıt Eğitim ve Araştırma Hastanesi,,[0]
