col0,col1,col2,"Metadata:CTA:[0, 1, 2],CPA:[[0, 1], [0, 2]]"
1998 Okolo Slovenska,,1997 Okolo Slovenska,"[0, 2]"
1994 Okolo Slovenska,,1993 Okolo Slovenska,"[0, 2]"
1970 Okolo Slovenska,,1969 Okolo Slovenska,"[0, 2]"
1955 Okolo Slovenska,,1954 Okolo Slovenska,"[0, 2]"
1988 Okolo Slovenska,,1987 Okolo Slovenska,"[0, 2]"
2018 Okolo Slovenska,Fabio Jakobsen,2017 Okolo Slovenska,"[0, 1, 2]"
2012 Okolo Slovenska,,2011 Okolo Slovenska,"[0, 2]"
1968 Okolo Slovenska,,1967 Okolo Slovenska,"[0, 2]"
1992 Okolo Slovenska,,1991 Okolo Slovenska,"[0, 2]"
1958 Okolo Slovenska,,1957 Okolo Slovenska,"[0, 2]"
1973 Okolo Slovenska,,1972 Okolo Slovenska,"[0, 2]"
2000 Okolo Slovenska,,1999 Okolo Slovenska,"[0, 2]"
1980 Okolo Slovenska,,1979 Okolo Slovenska,"[0, 2]"
1982 Okolo Slovenska,,1981 Okolo Slovenska,"[0, 2]"
1983 Okolo Slovenska,,1982 Okolo Slovenska,"[0, 2]"
2010 Okolo Slovenska,,2009 Okolo Slovenska,"[0, 2]"
2024 Okolo Slovenska,,2023 Okolo Slovenska,"[0, 2]"
2023 Okolo Slovenska,,2022 Okolo Slovenska,"[0, 2]"
2003 Okolo Slovenska,,2002 Okolo Slovenska,"[0, 2]"
2004 Okolo Slovenska,,2003 Okolo Slovenska,"[0, 2]"
