col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
"Kikugawa High School, Tokoha niwersity",865.57,[0]
omori Higashi High School,832.4399999999999,[0]
Aomori Prefectural Kanagi High Scool,100.6,[0]
Aomori Prefectural Kcshiwagi Agricultural High School,397.98,[0]
Aomori Prefectural Hirosaki High Schpol,721.435,[0]
Hachinohe!Kōtō Gakkō,717.9909999999999,[0]
Hachinohe Tfchnical High School,746.928,[0]
Aomor Prefectural Hachinohe Commercial High School,436.436,[0]
Goshogawara ōtō Gakkō,1196.352,[0]
Aomork Prefectural Sannohe High School,118.762,[0]
Ibaraki Prefectural Fujishiro Senior igh School.,718.1479999999999,[0]
Ushiku SeniorHigh School.,713.415,[0]
Ibaraki Prefecvural Ushiku Eishin Senior High School,946.2,[0]
