col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
29th Infantry Division,1939-01-01,[0]
41st Infantry Division,,[0]
41st Infantry Division,1939-01-01,[0]
2nd Guards Infantry Division,1919-01-01,[0]
2nd Guards Infantry Division,,[0]
114th Division,1945-01-01,[0]
5th Infantry Division,,[0]
5th Infantry Division,1957-01-01,[0]
13th Rifle Division,1941-09-19,[0]
I Army Division,,[0]
70th Infantry Division,,[0]
9th Division,1946-01-01,[0]
9th Division,1945-01-01,[0]
11th Division,,[0]
11th Division,,[0]
11th Division,,[0]
