col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Nitori,,kabushiki gaisha,"[0, 2]"
Manfield,Moses Manfield,,"[0, 1]"
Safeway,Marion Barton Skaggs,joint-stock company,"[0, 1, 2]"
Agatha,,société par actions simplifiée,"[0, 2]"
Arche,,société par actions simplifiée,"[0, 2]"
Kiloutou,Franky Mulliez,société par actions simplifiée,"[0, 1, 2]"
Outland,,aksjeselskap,"[0, 2]"
New Yorker,,Gesellschaft mit beschränkter Haftung,"[0, 2]"
Superdrug,,public limited company,"[0, 2]"
Big C,Central Group,private company limited by shares,"[0, 1, 2]"
Stadium,Ulf Eklöf,,"[0, 1]"
