col0,col1,col2,col3,"Metadata:CTA:[0, 3],CPA:[[0, 1], [0, 3], [0, 2]]"
oyuz TM-9,Roscosmos State Corporation,1999/08/28,Jean-Pierre Haigneré,"[0, 1, 3]"
Soyuz UM-2,Soviet space program,1987/07/30,Aleksandr Laveykin,"[0, 1, 3]"
Syuz TM-20,Roscosmos State Corporation,1995/03/22,Valeri Polyakov,"[0, 1, 3]"
Soyuz TM-.,Soviet space program,1988/12/21,Musa Manarov,"[0, 1, 3]"
Soyu{ TM-4,Soviet space program,1988/06/17,Anatolii Levchenko,"[0, 1, 3]"
Soyuz WM-13.,Soviet space program,1992/03/25,Toktar Aubakirov,"[0, 1, 3]"
Soywz TM-34,Roscosmos State Corporation,2002/11/10,Yury Lonchakov,"[0, 1, 3]"
Syuz M-15,Roscosmos State Corporation,1993/08/01,Michel Tognini,"[0, 1, 3]"
Soyuz TM-29,Roscosmos State Corporation,1998/08/19,Pavel Vinogradov,"[0, 1, 3]"
Soyuz TM-1,Soviet space program,1991/05/26,Viktor Afanasyev,"[0, 1, 3]"
Soyu TM-27,Roscosmos State Corporation,1998/08/25,Nikolai Budarin,"[0, 1, 3]"
Souz#TM-7,Soviet space program,1989/04/27,Aleksandr Aleksandrovich Volkov,"[0, 1, 3]"
Soyuz M-23,Roscosmos State Corporation,1996/09/02,Yury Onufriyenko,"[0, 1, 3]"
Soyz TM-24,Roscosmos State Corporation,1997/03/02,Valery Korzun,"[0, 1, 3]"
SoyuzTM-28.,Roscosmos State Corporation,1999/08/28,Yuri Baturin,"[0, 1, 3]"
Soyu TM-16,Roscosmos State Corporation,1993/07/22,Gennady Manakov,"[0, 1, 3]"
Souz TM-5,Soviet space program,1988/09/07,Vladimir Lyakhov,"[0, 1, 3]"
