col0,col1,col2,"Metadata:CTA:[0, 1, 2],CPA:[[0, 1], [0, 2]]"
Bay of Qoboto,meisho-e,Thirty-six Views of Mount Fuji,"[0, 1, 2]"
Mitate (Parody) of the Immortal Kume#(TNM),abuna-e,,"[0, 1]"
Chang'e flies to the mon,nishiki-e,One Hundred Aspects of the Moon,"[0, 1, 2]"
Imaashi tsukiji no fūkei,nishiki-e,One Hundred Views of Naniwa,"[0, 1, 2]"
Saint nuphrius,,A series of small pictures of saints and biblical scenes,"[0, 2]"
Senju in MusashiProvince,meisho-e,Thirty-six Views of Mount Fuji,"[0, 1, 2]"
he Small Triumphal Car or the Burgundian Marriage (right art),,The Small Triumphal Car or the Burgundian Marriage,"[0, 2]"
Fuji from the Tea Plantation at Katakura in Surua Province,meisho-e,Thirty-six Views of Mount Fuji,"[0, 1, 2]"
Mihonomatsubarb,meisho-e,Famous Views of the 60-odd Provinces,"[0, 1, 2]"
Young Girl Crossing a Bridge aftr Snow,mitate-e,,"[0, 1]"
In no Koku,ukiyo-e,Twelve Hours in the Pleasure Quarters of the Yoshiwara,"[0, 1, 2]"
The peasants are roofing the choir of the Church while the nave temains unroofed,,"Illustrations from ""The priest of Kalenberg""","[0, 2]"
Baptism of Christ in the river Joran,,"Illustrations from ""Horologium Devotionis""","[0, 2]"
The Priest Raigoof Mii Temple.,nishiki-e,New Forms of the Thirty-six Ghosts,"[0, 1, 2]"
"The Postal News, n. 491",nishiki-e shinbun,The Postal News,"[0, 1, 2]"
Mono-omoi Ko,ukiyo-e,Kasen Koi no Bu,"[0, 1, 2]"
A Memorial Portrait og Onoe Kikugorō IV.,nishiki-e,,"[0, 1]"
Expulsion fro the Paradise,religious art,Little Passion,"[0, 1, 2]"
The!Cruifixion,religious art,Great Passion,"[0, 1, 2]"
"sakuva River, Miyato River, Great Riverdank",meisho-e,One Hundred Famous Views of Edo,"[0, 1, 2]"
Frontispide,,Little Passion,"[0, 2]"
