col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
oruSudan,Red Sea,,"[0, 1]"
Kelsingborg.,Helsingborg Municipality,Brockhaus and Efron Encyclopedic Dictionary,"[0, 1, 2]"
Mauto,Mozambique,Brockhaus and Efron Encyclopedic Dictionary,"[0, 1, 2]"
Vlsakhapatnam,Visakhapatnam (urban) mandal,New International Encyclopedia,"[0, 1, 2]"
Shaghai,Shanghai International Settlements,Desktop Encyclopedic Dictionary,"[0, 1, 2]"
Santa Ctuz de Tenerife,Captaincy General of the Canary Islands,,"[0, 1]"
Nwana,Mwanza Region,New Encyclopedic Dictionary,"[0, 1, 2]"
Wittmud,Wittmund,Topographia Westphaliae,"[0, 1, 2]"
Buhanan,Grand Bassa County,,"[0, 1]"
Tallnn,Estonia,Small Brockhaus and Efron Encyclopedic Dictionary,"[0, 1, 2]"
Berera,Sahil,Internetowa encyklopedia PWN,"[0, 1, 2]"
Ngoya,Owari Domain,New Encyclopedic Dictionary,"[0, 1, 2]"
Toba,Toba Domain,,"[0, 1]"
ibrhville,Gabon,Great Soviet Encyclopedia (1926–1947),"[0, 1, 2]"
LaGoulette,,Great Soviet Encyclopedia (1926–1947),"[0, 2]"
Koka,Kotka-Hamina sub-region,Finlandssvenska bebyggelsenamn,"[0, 1, 2]"
imassol,,Great Soviet Encyclopedia (1926–1947),"[0, 2]"
Oulu,Oulu Province,Finlandssvenska bebyggelsenamn,"[0, 1, 2]"
Kisara{w,Jōzai Domain,,"[0, 1]"
Reni,Reni Urban Hromada,Brockhaus and Efron Encyclopedic Dictionary,"[0, 1, 2]"
